Linux 5.15.0-141-generic (node7) 	06/18/2025 	_x86_64_	(20 CPU)

12:37:31 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:37:32 PM  all   15.44    0.00    0.96    1.81    0.00    0.10    0.00    0.00    0.00   81.69
12:37:33 PM  all   17.27    0.00    0.60    0.35    0.00    0.05    0.00    0.00    0.00   81.72
12:37:34 PM  all    3.86    0.00    0.80    1.00    0.00    0.00    0.00    0.00    0.00   94.33
12:37:35 PM  all    1.15    0.00    0.80    0.40    0.00    0.05    0.00    0.00    0.00   97.60
12:37:36 PM  all   17.27    0.00    0.91    0.05    0.00    0.00    0.00    0.00    0.00   81.77
12:37:37 PM  all   16.86    0.00    0.60    0.10    0.00    0.00    0.00    0.00    0.00   82.44
12:37:38 PM  all   15.20    4.00    1.17    0.25    0.00    0.05    0.00    0.00    0.00   79.33
12:37:39 PM  all    2.62    5.64    1.11    0.30    0.00    0.25    0.00    0.00    0.00   90.08
12:37:40 PM  all    2.80    5.16    1.65    0.05    0.00    0.05    0.00    0.00    0.00   90.29
12:37:41 PM  all    2.97    4.94    1.16    0.05    0.00    0.25    0.00    0.00    0.00   90.63
12:37:42 PM  all    2.47    4.94    1.21    0.00    0.00    0.15    0.00    0.00    0.00   91.23
12:37:43 PM  all    2.07    5.00    1.31    0.05    0.00    0.30    0.00    0.00    0.00   91.26
12:37:44 PM  all    2.27    4.84    1.66    0.00    0.00    0.00    0.00    0.00    0.00   91.23
12:37:45 PM  all    2.32    5.00    1.21    0.00    0.00    0.15    0.00    0.00    0.00   91.31
12:37:46 PM  all    2.57    4.94    1.31    0.05    0.00    0.25    0.00    0.00    0.00   90.88
12:37:47 PM  all    2.67    5.30    0.96    0.00    0.00    0.05    0.00    0.00    0.00   91.02
12:37:48 PM  all    2.43    5.06    1.11    0.00    0.00    0.00    0.00    0.00    0.00   91.39
12:37:49 PM  all    2.22    5.35    1.41    0.00    0.00    0.15    0.00    0.00    0.00   90.87
12:37:50 PM  all    2.72    5.10    1.11    0.00    0.00    0.15    0.00    0.00    0.00   90.92
12:37:51 PM  all    3.50    4.90    1.25    0.05    0.00    0.15    0.00    0.00    0.00   90.14
12:37:52 PM  all    2.29    5.03    1.42    0.00    0.00    0.05    0.00    0.00    0.00   91.21
12:37:53 PM  all    2.76    4.92    1.46    0.00    0.00    0.15    0.00    0.00    0.00   90.70
12:37:54 PM  all    2.41    5.17    1.41    0.00    0.00    0.10    0.00    0.00    0.00   90.91
12:37:55 PM  all    2.42    5.15    1.31    0.05    0.00    0.00    0.00    0.00    0.00   91.06
12:37:56 PM  all    2.22    5.20    1.46    0.00    0.00    0.00    0.00    0.00    0.00   91.11
12:37:57 PM  all    2.87    4.98    0.80    0.00    0.00    0.05    0.00    0.00    0.00   91.30
12:37:58 PM  all    2.38    5.07    1.32    0.05    0.00    0.10    0.00    0.00    0.00   91.08
12:37:59 PM  all    2.97    5.39    1.06    0.00    0.00    0.05    0.00    0.00    0.00   90.54
12:38:00 PM  all    2.26    5.32    1.31    0.00    0.00    0.25    0.00    0.00    0.00   90.86
12:38:01 PM  all    2.32    5.10    1.26    0.10    0.00    0.05    0.00    0.00    0.00   91.16
12:38:02 PM  all    3.22    4.52    1.66    0.00    0.00    0.10    0.00    0.00    0.00   90.50
12:38:03 PM  all    2.32    5.19    1.46    0.00    0.00    0.05    0.00    0.00    0.00   90.98
12:38:04 PM  all    2.62    4.99    1.56    0.05    0.00    0.00    0.00    0.00    0.00   90.78
12:38:05 PM  all    2.43    5.11    0.86    0.00    0.00    0.20    0.00    0.00    0.00   91.41
12:38:06 PM  all    2.52    5.09    1.61    0.00    0.00    0.30    0.00    0.00    0.00   90.48
12:38:07 PM  all    2.67    4.89    1.01    0.15    0.00    0.25    0.00    0.00    0.00   91.02
12:38:08 PM  all   20.14    0.00    1.41    0.20    0.00    0.05    0.00    0.00    0.00   78.20
12:38:09 PM  all   21.84    2.02    2.12    0.10    0.00    0.10    0.00    0.00    0.00   73.81
