Linux 5.15.0-141-generic (node7) 	06/18/2025 	_x86_64_	(20 CPU)

01:10:06 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:10:07 PM  all   15.83    0.00    0.76    1.56    0.00    0.10    0.00    0.00    0.00   81.75
01:10:08 PM  all   18.54    0.00    1.26    0.45    0.00    0.05    0.00    0.00    0.00   79.70
01:10:09 PM  all    3.86    0.00    0.75    0.80    0.00    0.05    0.00    0.00    0.00   94.53
01:10:10 PM  all    3.72    0.00    0.60    0.20    0.00    0.00    0.00    0.00    0.00   95.48
01:10:11 PM  all   29.70    0.00    3.07    0.15    0.00    0.00    0.00    0.00    0.00   67.09
01:10:12 PM  all   93.51    0.00    6.49    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:10:13 PM  all   92.30    0.00    7.70    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:10:14 PM  all   92.65    0.00    7.35    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:10:15 PM  all   92.95    0.00    7.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:10:16 PM  all   92.55    0.00    7.45    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:10:17 PM  all   91.85    0.00    8.15    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:10:18 PM  all   92.25    0.00    7.75    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:10:19 PM  all   90.41    0.00    9.59    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:10:20 PM  all   91.70    0.00    8.30    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:10:21 PM  all   92.04    0.00    7.96    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:10:22 PM  all   93.44    0.00    6.56    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:10:23 PM  all   93.75    0.00    6.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:10:24 PM  all   93.40    0.00    6.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:10:25 PM  all   76.26    0.00    7.91    0.00    0.00    0.00    0.00    0.00    0.00   15.82
01:10:26 PM  all   19.98    0.00    4.82    0.25    0.00    0.00    0.00    0.00    0.00   74.95
01:10:27 PM  all   20.08    0.00    3.91    0.05    0.00    0.05    0.00    0.00    0.00   75.91
01:10:28 PM  all   20.37    0.00    4.26    0.00    0.00    0.05    0.00    0.00    0.00   75.31
01:10:29 PM  all   19.67    0.00    4.20    0.00    0.00    0.05    0.00    0.00    0.00   76.08
01:10:30 PM  all   19.72    0.00    4.26    0.00    0.00    0.05    0.00    0.00    0.00   75.97
01:10:31 PM  all   19.42    0.00    5.06    0.00    0.00    0.25    0.00    0.00    0.00   75.28
