Linux 5.15.0-141-generic (node7) 	06/18/2025 	_x86_64_	(20 CPU)

05:12:35 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:12:36 PM  all   15.30    0.00    0.90    1.76    0.00    0.15    0.00    0.00    0.00   81.90
05:12:37 PM  all   16.90    0.00    1.10    0.55    0.00    0.10    0.00    0.00    0.00   81.34
05:12:38 PM  all    3.71    0.00    0.65    0.65    0.00    0.10    0.00    0.00    0.00   94.89
05:12:39 PM  all    1.15    0.00    0.50    0.50    0.00    0.15    0.00    0.00    0.00   97.71
05:12:40 PM  all   16.98    0.00    1.15    0.10    0.00    0.10    0.00    0.00    0.00   81.67
05:12:41 PM  all   17.78    0.00    0.95    0.05    0.00    0.00    0.00    0.00    0.00   81.22
05:12:42 PM  all   14.52    3.67    1.05    0.35    0.00    0.30    0.00    0.00    0.00   80.11
05:12:43 PM  all    1.96    6.38    1.21    0.00    0.00    0.10    0.00    0.00    0.00   90.36
05:12:44 PM  all    2.41    6.03    1.11    0.00    0.00    0.05    0.00    0.00    0.00   90.40
05:12:45 PM  all    2.36    6.32    1.15    0.00    0.00    0.10    0.00    0.00    0.00   90.07
05:12:46 PM  all    1.81    6.08    1.46    0.05    0.00    0.15    0.00    0.00    0.00   90.46
05:12:47 PM  all    2.36    6.18    1.10    0.00    0.00    0.15    0.00    0.00    0.00   90.21
05:12:48 PM  all    1.91    5.94    1.46    0.00    0.00    0.10    0.00    0.00    0.00   90.59
05:12:49 PM  all    2.21    5.77    1.40    0.00    0.00    0.40    0.00    0.00    0.00   90.22
05:12:50 PM  all    2.72    5.90    1.11    0.05    0.00    0.05    0.00    0.00    0.00   90.16
05:12:51 PM  all    2.01    6.24    1.01    0.00    0.00    0.00    0.00    0.00    0.00   90.74
05:12:52 PM  all    2.11    6.08    1.26    0.05    0.00    0.15    0.00    0.00    0.00   90.35
05:12:53 PM  all    2.31    6.12    1.10    0.05    0.00    0.05    0.00    0.00    0.00   90.37
05:12:54 PM  all    2.22    6.39    0.81    0.00    0.00    0.05    0.00    0.00    0.00   90.53
05:12:55 PM  all    1.97    6.05    1.31    0.00    0.00    0.10    0.00    0.00    0.00   90.57
05:12:56 PM  all    2.21    5.93    1.31    0.10    0.00    0.15    0.00    0.00    0.00   90.30
05:12:57 PM  all    2.35    5.75    1.50    0.00    0.00    0.10    0.00    0.00    0.00   90.30
05:12:58 PM  all    2.52    6.34    1.01    0.00    0.00    0.15    0.00    0.00    0.00   89.99
05:12:59 PM  all    2.41    5.83    1.66    0.30    0.00    0.15    0.00    0.00    0.00   89.65
05:13:00 PM  all    2.31    5.93    1.26    0.00    0.00    0.10    0.00    0.00    0.00   90.40
05:13:01 PM  all    2.66    6.18    1.16    0.00    0.00    0.10    0.00    0.00    0.00   89.90
05:13:02 PM  all    2.06    5.92    1.56    0.00    0.00    0.05    0.00    0.00    0.00   90.42
05:13:03 PM  all    2.26    5.79    1.11    0.00    0.00    0.15    0.00    0.00    0.00   90.69
05:13:04 PM  all    2.21    5.89    1.31    0.00    0.00    0.05    0.00    0.00    0.00   90.54
05:13:05 PM  all    2.32    5.75    1.36    0.00    0.00    0.05    0.00    0.00    0.00   90.51
05:13:06 PM  all    2.71    5.41    1.30    0.05    0.00    0.20    0.00    0.00    0.00   90.33
05:13:07 PM  all    2.32    6.05    1.31    0.00    0.00    0.05    0.00    0.00    0.00   90.27
05:13:08 PM  all   18.78    5.91    1.95    0.35    0.00    0.10    0.00    0.00    0.00   72.91
05:13:09 PM  all    8.33    6.12    1.40    0.00    0.00    0.15    0.00    0.00    0.00   83.99
05:13:10 PM  all    5.72    5.67    1.40    0.00    0.00    0.25    0.00    0.00    0.00   86.95
05:13:11 PM  all    4.69    5.95    1.36    0.00    0.00    0.25    0.00    0.00    0.00   87.75
05:13:12 PM  all   17.45    0.80    1.75    0.05    0.00    0.05    0.00    0.00    0.00   79.90
05:13:13 PM  all   16.82    0.95    1.40    0.05    0.00    0.00    0.00    0.00    0.00   80.78
05:13:14 PM  all    3.69    4.24    1.50    0.05    0.00    0.10    0.00    0.00    0.00   90.42
05:13:15 PM  all    3.84    4.29    1.35    0.00    0.00    0.10    0.00    0.00    0.00   90.42
05:13:16 PM  all    3.41    4.26    1.45    0.05    0.00    0.00    0.00    0.00    0.00   90.83
05:13:17 PM  all    3.94    4.39    1.40    0.10    0.00    0.10    0.00    0.00    0.00   90.08
05:13:18 PM  all    3.83    4.38    1.69    0.00    0.00    0.05    0.00    0.00    0.00   90.04
05:13:19 PM  all    3.86    4.11    1.66    0.00    0.00    0.10    0.00    0.00    0.00   90.27
05:13:20 PM  all    3.89    4.14    1.60    0.35    0.00    0.10    0.00    0.00    0.00   89.92
05:13:21 PM  all    4.03    4.28    1.54    0.00    0.00    0.00    0.00    0.00    0.00   90.14
05:13:22 PM  all    3.41    4.31    1.25    0.05    0.00    0.10    0.00    0.00    0.00   90.88
05:13:23 PM  all    4.48    3.94    1.40    0.05    0.00    0.00    0.00    0.00    0.00   90.13
05:13:24 PM  all    3.95    4.30    1.35    0.00    0.00    0.10    0.00    0.00    0.00   90.29
05:13:25 PM  all    3.95    4.20    1.30    0.00    0.00    0.00    0.00    0.00    0.00   90.56
05:13:26 PM  all    5.09    4.40    1.25    0.00    0.00    0.10    0.00    0.00    0.00   89.16
05:13:27 PM  all    3.56    4.11    1.46    0.00    0.00    0.00    0.00    0.00    0.00   90.87
05:13:28 PM  all    4.34    4.29    1.70    0.00    0.00    0.10    0.00    0.00    0.00   89.58
05:13:29 PM  all    4.19    4.19    1.69    0.00    0.00    0.05    0.00    0.00    0.00   89.89
05:13:30 PM  all    3.41    4.57    1.10    0.00    0.00    0.10    0.00    0.00    0.00   90.81
05:13:31 PM  all    3.46    4.51    1.35    0.00    0.00    0.05    0.00    0.00    0.00   90.63
05:13:32 PM  all    3.50    4.25    1.35    0.10    0.00    0.15    0.00    0.00    0.00   90.65
05:13:33 PM  all    3.45    4.55    1.35    0.00    0.00    0.15    0.00    0.00    0.00   90.50
05:13:34 PM  all    4.15    4.15    1.20    0.00    0.00    0.05    0.00    0.00    0.00   90.45
05:13:35 PM  all    3.83    4.13    1.74    0.05    0.00    0.05    0.00    0.00    0.00   90.19
05:13:36 PM  all    4.25    4.25    1.10    0.00    0.00    0.10    0.00    0.00    0.00   90.30
05:13:37 PM  all    4.29    1.69    1.99    0.00    0.00    0.00    0.00    0.00    0.00   92.03
