Linux 5.15.0-141-generic (node7) 	06/18/2025 	_x86_64_	(20 CPU)

05:55:45 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:55:46 PM  all   16.98    0.00    1.05    1.85    0.00    0.10    0.00    0.00    0.00   80.01
05:55:47 PM  all   17.40    0.00    0.95    0.35    0.00    0.00    0.00    0.00    0.00   81.29
05:55:48 PM  all    3.26    0.00    0.95    0.65    0.00    0.05    0.00    0.00    0.00   95.08
05:55:49 PM  all    2.77    0.00    2.27    0.35    0.00    0.00    0.00    0.00    0.00   94.61
05:55:50 PM  all   22.68    0.00    2.10    0.05    0.00    0.00    0.00    0.00    0.00   75.16
05:55:51 PM  all   94.30    0.00    5.70    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:55:52 PM  all   93.15    0.00    6.80    0.00    0.00    0.05    0.00    0.00    0.00    0.00
05:55:53 PM  all   93.14    0.00    6.86    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:55:54 PM  all   92.96    0.00    7.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:55:55 PM  all   91.65    0.00    8.35    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:55:56 PM  all   92.45    0.00    7.55    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:55:57 PM  all   92.95    0.00    7.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:55:58 PM  all   91.77    0.00    8.23    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:55:59 PM  all   91.98    0.00    8.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:56:00 PM  all   93.25    0.00    6.75    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:56:01 PM  all   92.15    0.00    7.80    0.00    0.00    0.05    0.00    0.00    0.00    0.00
05:56:02 PM  all   93.15    0.00    6.85    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:56:03 PM  all   94.20    0.00    5.80    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:56:04 PM  all   84.39    0.00    7.75    0.10    0.00    0.00    0.00    0.00    0.00    7.75
05:56:05 PM  all   14.26    0.00    4.15    0.00    0.00    0.00    0.00    0.00    0.00   81.59
05:56:06 PM  all   12.74    0.00    3.70    0.10    0.00    0.00    0.00    0.00    0.00   83.47
05:56:07 PM  all   12.41    0.00    4.20    0.05    0.00    0.00    0.00    0.00    0.00   83.34
05:56:08 PM  all   13.11    0.00    3.57    0.00    0.00    0.05    0.00    0.00    0.00   83.27
05:56:09 PM  all   12.66    0.00    3.95    0.00    0.00    0.10    0.00    0.00    0.00   83.29
05:56:10 PM  all   15.57    0.00    3.92    0.05    0.00    0.15    0.00    0.00    0.00   80.31
05:56:11 PM  all   17.15    0.00    4.28    0.00    0.00    0.15    0.00    0.00    0.00   78.42
05:56:12 PM  all   15.97    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   79.91
05:56:13 PM  all   14.11    0.00    4.48    0.30    0.00    0.05    0.00    0.00    0.00   81.06
05:56:14 PM  all   13.87    0.00    4.21    0.00    0.00    0.10    0.00    0.00    0.00   81.82
05:56:15 PM  all   16.86    0.00    5.02    0.15    0.00    0.20    0.00    0.00    0.00   77.77
05:56:16 PM  all   14.46    0.00    5.00    0.20    0.00    0.15    0.00    0.00    0.00   80.19
05:56:17 PM  all   13.54    0.00    4.48    0.00    0.00    0.20    0.00    0.00    0.00   81.78
05:56:18 PM  all   13.30    0.00    4.32    0.00    0.00    0.20    0.00    0.00    0.00   82.19
05:56:19 PM  all   13.86    0.00    4.47    0.05    0.00    0.10    0.00    0.00    0.00   81.52
05:56:20 PM  all   13.45    0.00    4.17    0.00    0.00    0.10    0.00    0.00    0.00   82.28
05:56:21 PM  all   14.16    0.00    4.17    0.10    0.00    0.20    0.00    0.00    0.00   81.37
05:56:22 PM  all   14.16    0.00    4.48    0.05    0.00    0.00    0.00    0.00    0.00   81.31
05:56:23 PM  all   14.58    0.00    4.21    0.00    0.00    0.30    0.00    0.00    0.00   80.91
05:56:24 PM  all   13.95    0.00    3.76    0.00    0.00    0.05    0.00    0.00    0.00   82.24
05:56:25 PM  all   14.48    0.00    4.01    0.05    0.00    0.30    0.00    0.00    0.00   81.16
05:56:26 PM  all   14.46    0.00    4.02    0.05    0.00    0.15    0.00    0.00    0.00   81.33
05:56:27 PM  all   18.77    0.00    5.17    0.00    0.00    0.25    0.00    0.00    0.00   75.82
05:56:28 PM  all    6.42    0.00    1.80    0.05    0.00    0.05    0.00    0.00    0.00   91.68
05:56:29 PM  all    0.55    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   99.05
