Linux 5.15.0-141-generic (node7) 	06/18/2025 	_x86_64_	(20 CPU)

07:57:18 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:57:19 PM  all   15.48    0.00    1.05    1.65    0.00    0.10    0.00    0.00    0.00   81.72
07:57:20 PM  all   17.46    0.00    1.10    0.30    0.00    0.00    0.00    0.00    0.00   81.14
07:57:21 PM  all    2.40    0.00    0.45    0.70    0.00    0.00    0.00    0.00    0.00   96.44
07:57:22 PM  all    0.50    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   99.15
07:57:23 PM  all    1.20    0.00    0.20    0.10    0.00    0.00    0.00    0.00    0.00   98.50
07:57:24 PM  all   18.13    0.00    1.15    0.25    0.00    0.10    0.00    0.00    0.00   80.37
07:57:25 PM  all   18.09    0.00    0.85    0.00    0.00    0.05    0.00    0.00    0.00   81.01
07:57:26 PM  all   17.10   33.49    3.40    0.41    0.00    0.05    0.00    0.00    0.00   45.56
07:57:27 PM  all    4.34   47.78    5.15    0.00    0.00    0.05    0.00    0.00    0.00   42.68
07:57:28 PM  all    5.54   45.46    5.69    0.00    0.00    0.05    0.00    0.00    0.00   43.26
07:57:29 PM  all    4.39   46.70    5.21    0.00    0.00    0.00    0.00    0.00    0.00   43.69
07:57:30 PM  all    4.31   47.09    5.22    1.47    0.00    0.05    0.00    0.00    0.00   41.87
07:57:31 PM  all    4.64   46.11    5.10    0.31    0.00    0.00    0.00    0.00    0.00   43.84
07:57:32 PM  all    4.68   46.67    4.88    0.00    0.00    0.05    0.00    0.00    0.00   43.72
07:57:33 PM  all    4.99   45.91    5.65    0.05    0.00    0.10    0.00    0.00    0.00   43.29
07:57:34 PM  all    4.15   47.37    4.70    0.00    0.00    0.00    0.00    0.00    0.00   43.78
07:57:35 PM  all    3.80   47.44    4.35    0.00    0.00    0.10    0.00    0.00    0.00   44.30
07:57:36 PM  all    5.36   45.89    4.86    0.05    0.00    0.00    0.00    0.00    0.00   43.84
07:57:37 PM  all    3.91   47.97    4.42    0.00    0.00    0.05    0.00    0.00    0.00   43.65
07:57:38 PM  all    4.40   46.59    4.71    0.31    0.00    0.05    0.00    0.00    0.00   43.93
07:57:39 PM  all    4.20   46.95    4.92    0.00    0.00    0.05    0.00    0.00    0.00   43.88
07:57:40 PM  all    4.25   47.21    4.81    0.00    0.00    0.10    0.00    0.00    0.00   43.63
07:57:41 PM  all    4.96   46.55    4.24    0.05    0.00    0.00    0.00    0.00    0.00   44.20
07:57:42 PM  all    5.12   46.25    4.71    0.00    0.00    0.05    0.00    0.00    0.00   43.87
07:57:43 PM  all    3.49   47.50    4.53    0.00    0.00    0.00    0.00    0.00    0.00   44.48
07:57:44 PM  all    4.70   44.99    5.48    0.00    0.00    0.05    0.00    0.00    0.00   44.78
07:57:45 PM  all    3.16   47.17    4.39    0.05    0.00    0.05    0.00    0.00    0.00   45.18
07:57:46 PM  all    4.36   47.38    4.36    0.00    0.00    0.05    0.00    0.00    0.00   43.85
07:57:47 PM  all    4.26   46.02    5.34    0.00    0.00    0.00    0.00    0.00    0.00   44.38
07:57:48 PM  all    3.96   46.96    4.84    0.05    0.00    0.05    0.00    0.00    0.00   44.13
07:57:49 PM  all    3.82   47.33    5.15    0.00    0.00    0.05    0.00    0.00    0.00   43.66
07:57:50 PM  all    3.69   47.82    4.86    0.00    0.00    0.05    0.00    0.00    0.00   43.57
07:57:51 PM  all    4.11   47.28    4.21    0.10    0.00    0.05    0.00    0.00    0.00   44.25
07:57:52 PM  all    3.51   47.89    4.42    0.00    0.00    0.05    0.00    0.00    0.00   44.13
07:57:53 PM  all    3.49   48.46    4.88    0.00    0.00    0.05    0.00    0.00    0.00   43.13
07:57:54 PM  all    3.97   45.67    4.59    0.00    0.00    0.36    0.00    0.00    0.00   45.41
07:57:55 PM  all    3.99   46.81    4.91    0.00    0.00    0.00    0.00    0.00    0.00   44.30
07:57:56 PM  all   17.02    1.31    1.16    0.15    0.00    0.00    0.00    0.00    0.00   80.36
07:57:57 PM  all   16.15   23.10    2.96    0.05    0.00    0.15    0.00    0.00    0.00   57.59
07:57:58 PM  all    4.43   40.67    4.33    0.00    0.00    0.05    0.00    0.00    0.00   50.52
07:57:59 PM  all    4.72   40.81    4.72    0.00    0.00    0.05    0.00    0.00    0.00   49.69
07:58:00 PM  all    5.06   40.76    4.75    0.00    0.00    0.05    0.00    0.00    0.00   49.39
07:58:01 PM  all    4.33   41.01    4.12    0.05    0.00    0.00    0.00    0.00    0.00   50.49
07:58:02 PM  all    4.91   41.26    3.99    0.00    0.00    0.00    0.00    0.00    0.00   49.85
07:58:03 PM  all    4.32   40.60    4.37    0.00    0.00    0.00    0.00    0.00    0.00   50.72
07:58:04 PM  all    4.50   41.60    4.10    0.00    0.00    0.05    0.00    0.00    0.00   49.75
07:58:05 PM  all    4.48   40.86    3.91    0.00    0.00    0.00    0.00    0.00    0.00   50.75
07:58:06 PM  all    4.30   39.95    4.61    0.05    0.00    0.05    0.00    0.00    0.00   51.04
07:58:07 PM  all    4.77   39.66    4.82    0.00    0.00    0.00    0.00    0.00    0.00   50.75
