Linux 5.15.0-141-generic (node7) 	06/18/2025 	_x86_64_	(20 CPU)

09:27:05 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:27:06 PM  all   15.53    0.00    1.87    1.97    0.00    0.10    0.00    0.00    0.00   80.53
09:27:07 PM  all   17.43    0.00    0.90    0.30    0.00    0.05    0.00    0.00    0.00   81.32
09:27:08 PM  all    2.61    0.00    0.60    0.60    0.00    0.00    0.00    0.00    0.00   96.18
09:27:09 PM  all    2.36    0.00    0.25    0.15    0.00    0.00    0.00    0.00    0.00   97.24
09:27:10 PM  all    2.96    0.00    0.35    0.10    0.00    0.05    0.00    0.00    0.00   96.54
09:27:11 PM  all   18.45    0.00    1.55    0.30    0.00    0.10    0.00    0.00    0.00   79.60
09:27:12 PM  all   81.57    0.00    5.89    0.00    0.00    0.00    0.00    0.00    0.00   12.54
09:27:13 PM  all   92.45    0.00    7.55    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:27:14 PM  all   92.20    0.00    7.80    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:27:15 PM  all   92.16    0.00    7.84    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:27:16 PM  all   92.99    0.00    7.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:27:17 PM  all   91.96    0.00    8.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:27:18 PM  all   92.29    0.00    7.71    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:27:19 PM  all   91.20    0.00    8.80    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:27:20 PM  all   91.60    0.00    8.40    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:27:21 PM  all   92.51    0.00    7.49    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:27:22 PM  all   93.74    0.00    6.26    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:27:23 PM  all   94.36    0.00    5.64    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:27:24 PM  all   93.64    0.00    6.36    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:27:25 PM  all   94.40    0.00    5.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:27:26 PM  all   80.73    0.00    6.36    0.00    0.00    0.00    0.00    0.00    0.00   12.91
09:27:27 PM  all   13.22    0.00    3.96    0.10    0.00    0.00    0.00    0.00    0.00   82.72
09:27:28 PM  all   12.16    0.00    3.90    0.00    0.00    0.00    0.00    0.00    0.00   83.93
09:27:29 PM  all   17.19    0.00    3.77    0.00    0.00    0.00    0.00    0.00    0.00   79.05
09:27:30 PM  all   21.14    0.00    4.33    0.15    0.00    0.15    0.00    0.00    0.00   74.23
09:27:31 PM  all   16.52    0.00    4.16    0.00    0.00    0.25    0.00    0.00    0.00   79.07
09:27:32 PM  all   25.98    0.00    4.29    0.05    0.00    0.05    0.00    0.00    0.00   69.63
09:27:33 PM  all   22.03    0.00    5.03    0.00    0.00    0.00    0.00    0.00    0.00   72.94
09:27:34 PM  all   25.45    0.00    4.62    0.00    0.00    0.20    0.00    0.00    0.00   69.73
09:27:35 PM  all   17.51    0.00    4.52    0.00    0.00    0.10    0.00    0.00    0.00   77.87
09:27:36 PM  all   14.24    0.00    4.31    0.15    0.00    0.10    0.00    0.00    0.00   81.19
09:27:37 PM  all   16.53    0.00    4.42    0.00    0.00    0.20    0.00    0.00    0.00   78.84
09:27:38 PM  all   21.27    0.00    4.37    0.00    0.00    0.25    0.00    0.00    0.00   74.11
09:27:39 PM  all   20.57    0.00    4.26    0.05    0.00    0.25    0.00    0.00    0.00   74.86
09:27:40 PM  all   21.58    0.00    5.04    0.00    0.00    0.05    0.00    0.00    0.00   73.32
09:27:41 PM  all   14.75    0.00    4.01    0.00    0.00    0.15    0.00    0.00    0.00   81.08
09:27:42 PM  all   13.76    0.00    5.02    1.76    0.00    0.25    0.00    0.00    0.00   79.21
09:27:43 PM  all   21.90    0.00    4.52    0.60    0.00    0.15    0.00    0.00    0.00   72.83
09:27:44 PM  all   19.69    0.00    5.98    0.00    0.00    0.20    0.00    0.00    0.00   74.13
09:27:45 PM  all   19.76    0.00    6.45    0.10    0.00    0.05    0.00    0.00    0.00   73.64
09:27:46 PM  all   13.76    0.00    5.12    0.05    0.00    0.15    0.00    0.00    0.00   80.91
09:27:47 PM  all   15.52    0.00    4.40    0.05    0.00    0.20    0.00    0.00    0.00   79.83
09:27:48 PM  all   15.17    0.00    4.70    0.05    0.00    0.30    0.00    0.00    0.00   79.78
09:27:49 PM  all    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
09:27:50 PM  all    0.90    0.00    0.30    0.00    0.00    0.00    0.00    0.00    0.00   98.80
09:27:51 PM  all    0.35    0.00    0.50    0.10    0.00    0.00    0.00    0.00    0.00   99.04
09:27:52 PM  all    0.65    0.00    0.55    0.05    0.00    0.00    0.00    0.00    0.00   98.75
09:27:53 PM  all    0.15    0.00    0.30    0.00    0.00    0.00    0.00    0.00    0.00   99.55
09:27:54 PM  all    0.55    0.00    0.60    0.00    0.00    0.00    0.00    0.00    0.00   98.85
09:27:55 PM  all    2.16    0.00    1.15    0.00    0.00    0.05    0.00    0.00    0.00   96.64
09:27:56 PM  all   87.48    0.00   11.32    0.00    0.00    0.45    0.00    0.00    0.00    0.75
09:27:57 PM  all   91.85    2.20    5.95    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:27:58 PM  all   96.45    0.25    3.30    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:27:59 PM  all   90.56    3.56    3.56    0.00    0.00    0.00    0.00    0.00    0.00    2.31
09:28:00 PM  all   12.90   49.19    8.86    0.30    0.00    0.10    0.00    0.00    0.00   28.64
09:28:01 PM  all   11.38   61.33    6.41    0.00    0.00    0.05    0.00    0.00    0.00   20.82
09:28:02 PM  all   10.51   62.21    6.36    0.05    0.00    0.15    0.00    0.00    0.00   20.72
09:28:03 PM  all   10.85   62.17    5.84    0.05    0.00    0.05    0.00    0.00    0.00   21.03
09:28:04 PM  all   10.63   62.45    6.59    0.00    0.00    0.05    0.00    0.00    0.00   20.28
09:28:05 PM  all   11.59   62.56    5.61    0.00    0.00    0.10    0.00    0.00    0.00   20.13
09:28:06 PM  all   10.72   61.67    6.80    0.05    0.00    0.10    0.00    0.00    0.00   20.66
09:28:07 PM  all   11.63   61.96    6.30    0.05    0.00    0.05    0.00    0.00    0.00   20.00
09:28:08 PM  all   12.09   61.63    6.61    0.00    0.00    0.05    0.00    0.00    0.00   19.62
09:28:09 PM  all   12.91   61.21    6.28    0.00    0.00    0.26    0.00    0.00    0.00   19.34
09:28:10 PM  all   12.42   61.87    6.36    0.00    0.00    0.00    0.00    0.00    0.00   19.35
09:28:11 PM  all   11.77   61.97    6.27    0.00    0.00    0.15    0.00    0.00    0.00   19.84
09:28:12 PM  all   11.09   61.58    6.60    0.05    0.00    0.05    0.00    0.00    0.00   20.63
09:28:13 PM  all   11.43   62.75    6.00    0.00    0.00    0.05    0.00    0.00    0.00   19.76
09:28:14 PM  all   11.42   62.93    6.27    0.00    0.00    0.25    0.00    0.00    0.00   19.12
09:28:15 PM  all   10.60   62.23    6.29    0.05    0.00    0.05    0.00    0.00    0.00   20.78
09:28:16 PM  all   11.12   63.34    6.10    0.00    0.00    0.16    0.00    0.00    0.00   19.29
09:28:17 PM  all   12.49   61.33    5.86    0.05    0.00    0.05    0.00    0.00    0.00   20.22
09:28:18 PM  all   11.07   62.48    6.41    0.05    0.00    0.15    0.00    0.00    0.00   19.84
09:28:19 PM  all   11.08   63.11    5.90    0.00    0.00    0.05    0.00    0.00    0.00   19.86
09:28:20 PM  all   11.51   62.08    6.09    0.00    0.00    0.10    0.00    0.00    0.00   20.21
09:28:21 PM  all   11.86   61.26    6.24    0.10    0.00    0.10    0.00    0.00    0.00   20.44
09:28:22 PM  all   10.65   62.59    6.83    0.00    0.00    0.10    0.00    0.00    0.00   19.83
09:28:23 PM  all   11.41   62.47    6.35    0.00    0.00    0.05    0.00    0.00    0.00   19.72
09:28:24 PM  all   11.90   60.69    6.75    0.05    0.00    0.21    0.00    0.00    0.00   20.40
09:28:25 PM  all   11.97   62.58    6.29    0.00    0.00    0.05    0.00    0.00    0.00   19.12
09:28:26 PM  all   22.49   54.66    8.35    0.00    0.00    0.05    0.00    0.00    0.00   14.45
09:28:27 PM  all   27.44   46.24    9.27    0.10    0.00    0.10    0.00    0.00    0.00   16.85
09:28:28 PM  all   99.90    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:28:29 PM  all   99.60    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:28:30 PM  all   96.40    0.00    3.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:28:31 PM  all   36.43    0.00   20.05    0.00    0.00    0.25    0.00    0.00    0.00   43.27
09:28:32 PM  all   16.11    8.97    1.93    0.05    0.00    0.00    0.00    0.00    0.00   72.95
09:28:33 PM  all    4.85   35.32    4.75    0.05    0.00    0.10    0.00    0.00    0.00   54.93
09:28:34 PM  all    3.42   38.06    3.57    0.00    0.00    0.15    0.00    0.00    0.00   54.80
09:28:35 PM  all    4.28   36.10    2.91    0.00    0.00    0.00    0.00    0.00    0.00   56.71
09:28:36 PM  all    4.51   36.26    3.91    0.05    0.00    0.00    0.00    0.00    0.00   55.27
09:28:37 PM  all    4.04   34.90    3.68    0.00    0.00    0.16    0.00    0.00    0.00   57.22
09:28:38 PM  all    4.71   34.72    4.10    0.00    0.00    0.00    0.00    0.00    0.00   56.48
09:28:39 PM  all    4.30   35.34    3.39    0.05    0.00    0.05    0.00    0.00    0.00   56.86
