Linux 5.15.0-141-generic (node7) 	06/14/2025 	_x86_64_	(20 CPU)

04:52:55 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:52:56 PM  all   15.63    0.00    0.85    1.64    0.00    0.05    0.00    0.00    0.00   81.83
04:52:57 PM  all   17.32    0.00    0.65    0.30    0.00    0.00    0.00    0.00    0.00   81.74
04:52:58 PM  all    2.21    0.00    0.30    0.70    0.00    0.00    0.00    0.00    0.00   96.79
04:52:59 PM  all   15.53    0.00    0.70    0.40    0.00    0.00    0.00    0.00    0.00   83.37
04:53:00 PM  all   58.35    0.00    2.44    0.00    0.00    0.00    0.00    0.00    0.00   39.20
04:53:01 PM  all   42.81    0.00    5.31    0.00    0.00    0.00    0.00    0.00    0.00   51.88
04:53:02 PM  all    1.00    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   98.60
04:53:03 PM  all    0.00    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.90
04:53:04 PM  all    0.00    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.90
04:53:05 PM  all    0.05    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.80
04:53:06 PM  all    0.10    0.00    0.10    0.05    0.00    0.00    0.00    0.00    0.00   99.75
04:53:07 PM  all    7.73    0.00    0.65    0.30    0.00    0.05    0.00    0.00    0.00   91.27
04:53:08 PM  all    1.15    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   98.50
04:53:09 PM  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
04:53:10 PM  all   14.06    0.00   29.22    3.36    0.00    0.25    0.00    0.00    0.00   53.11
04:53:11 PM  all   54.90    0.00   25.30    0.00    0.00    0.05    0.00    0.00    0.00   19.75
04:53:12 PM  all   24.21    0.00   65.95    0.05    0.00    0.00    0.00    0.00    0.00    9.79
04:53:13 PM  all   39.83    0.00   36.46    1.31    0.00    0.00    0.00    0.00    0.00   22.41
04:53:14 PM  all   68.86    0.00    5.21    0.82    0.00    0.00    0.00    0.00    0.00   25.11
04:53:15 PM  all   69.59    0.00    4.56    0.25    0.00    0.00    0.00    0.00    0.00   25.60
04:53:16 PM  all   70.34    0.00    4.08    0.10    0.00    0.00    0.00    0.00    0.00   25.47
04:53:17 PM  all   69.90    0.00    4.31    0.05    0.00    0.00    0.00    0.00    0.00   25.74
04:53:18 PM  all   68.89    0.00    5.71    0.10    0.00    0.00    0.00    0.00    0.00   25.30
04:53:19 PM  all   69.73    0.00    4.88    0.00    0.00    0.00    0.00    0.00    0.00   25.39
04:53:20 PM  all   69.49    0.00    4.05    0.00    0.00    0.00    0.00    0.00    0.00   26.46
04:53:21 PM  all   69.35    0.00    4.33    0.00    0.00    0.00    0.00    0.00    0.00   26.31
04:53:22 PM  all   69.99    0.00    4.82    0.00    0.00    0.00    0.00    0.00    0.00   25.19
04:53:23 PM  all   69.81    0.00    4.76    0.00    0.00    0.00    0.00    0.00    0.00   25.44
04:53:24 PM  all   70.24    0.00    4.58    0.00    0.00    0.00    0.00    0.00    0.00   25.18
04:53:25 PM  all   68.91    0.00    4.61    0.00    0.00    0.00    0.00    0.00    0.00   26.47
04:53:26 PM  all   69.03    0.00    5.26    0.00    0.00    0.05    0.00    0.00    0.00   25.65
04:53:27 PM  all   69.16    0.00    4.73    0.00    0.00    0.00    0.00    0.00    0.00   26.11
04:53:28 PM  all   69.46    0.00    4.19    0.00    0.00    0.10    0.00    0.00    0.00   26.25
04:53:29 PM  all   68.95    0.00    5.38    0.00    0.00    0.00    0.00    0.00    0.00   25.67
04:53:30 PM  all   69.14    0.00    5.26    0.41    0.00    0.05    0.00    0.00    0.00   25.14
04:53:31 PM  all   69.27    0.00    4.93    0.00    0.00    0.00    0.00    0.00    0.00   25.80
04:53:32 PM  all   69.21    0.00    4.48    0.00    0.00    0.00    0.00    0.00    0.00   26.31
04:53:33 PM  all   70.08    0.00    3.91    0.10    0.00    0.00    0.00    0.00    0.00   25.91
04:53:34 PM  all   71.10    0.00    5.20    0.35    0.00    0.10    0.00    0.00    0.00   23.24
04:53:35 PM  all   69.33    0.00    4.83    0.00    0.00    0.00    0.00    0.00    0.00   25.84
04:53:36 PM  all   69.91    0.00    4.80    0.00    0.00    0.00    0.00    0.00    0.00   25.29
04:53:37 PM  all   68.90    0.00    4.85    0.00    0.00    0.00    0.00    0.00    0.00   26.25
04:53:38 PM  all   69.39    0.00    4.55    0.00    0.00    0.00    0.00    0.00    0.00   26.06
04:53:39 PM  all   69.24    0.00    4.67    0.00    0.00    0.00    0.00    0.00    0.00   26.09
04:53:40 PM  all   68.23    0.00    8.67    0.00    0.00    0.00    0.00    0.00    0.00   23.10
04:53:41 PM  all   39.85    0.00   16.34    0.25    0.00    0.00    0.00    0.00    0.00   43.56
