Linux 5.15.0-141-generic (node7) 	06/14/2025 	_x86_64_	(20 CPU)

05:22:32 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:22:33 PM  all   15.43    0.00    0.65    1.70    0.00    0.05    0.00    0.00    0.00   82.16
05:22:34 PM  all   17.23    0.00    0.60    0.30    0.00    0.00    0.00    0.00    0.00   81.87
05:22:35 PM  all    3.01    0.00    0.70    1.15    0.00    0.05    0.00    0.00    0.00   95.09
05:22:36 PM  all    1.00    0.00    0.50    0.40    0.00    0.00    0.00    0.00    0.00   98.10
05:22:37 PM  all   21.68    0.00    1.00    0.00    0.00    0.05    0.00    0.00    0.00   77.27
05:22:38 PM  all   11.80    0.00    1.15    0.35    0.00    0.00    0.00    0.00    0.00   86.70
05:22:39 PM  all    2.85    0.00    4.56    0.10    0.00    0.00    0.00    0.00    0.00   92.49
05:22:40 PM  all    1.19    0.00    9.91    0.35    0.00    0.00    0.00    0.00    0.00   88.55
05:22:41 PM  all    2.86    0.00    2.30    0.15    0.00    0.00    0.00    0.00    0.00   94.69
05:22:42 PM  all    4.02    0.00    0.96    0.25    0.00    0.00    0.00    0.00    0.00   94.77
05:22:43 PM  all    4.16    0.00    0.95    0.25    0.00    0.00    0.00    0.00    0.00   94.64
05:22:44 PM  all    3.93    0.00    0.81    0.20    0.00    0.00    0.00    0.00    0.00   95.06
05:22:45 PM  all    4.60    0.00    0.70    0.25    0.00    0.00    0.00    0.00    0.00   94.44
05:22:46 PM  all    4.40    0.00    0.85    0.15    0.00    0.00    0.00    0.00    0.00   94.59
05:22:47 PM  all    4.21    0.00    0.75    0.20    0.00    0.00    0.00    0.00    0.00   94.83
05:22:48 PM  all    4.07    0.00    0.96    0.15    0.00    0.00    0.00    0.00    0.00   94.82
05:22:49 PM  all    4.52    0.00    0.50    0.15    0.00    0.00    0.00    0.00    0.00   94.83
05:22:50 PM  all    4.17    0.00    0.70    0.10    0.00    0.00    0.00    0.00    0.00   95.03
05:22:51 PM  all    4.12    0.00    0.90    0.15    0.00    0.00    0.00    0.00    0.00   94.82
05:22:52 PM  all    4.25    0.00    0.90    0.15    0.00    0.00    0.00    0.00    0.00   94.70
05:22:53 PM  all    4.38    0.00    0.50    0.10    0.00    0.00    0.00    0.00    0.00   95.02
05:22:54 PM  all    4.12    0.00    0.75    0.10    0.00    0.00    0.00    0.00    0.00   95.02
05:22:55 PM  all    4.13    0.00    0.60    0.05    0.00    0.00    0.00    0.00    0.00   95.22
05:22:56 PM  all    4.12    0.00    0.55    0.25    0.00    0.00    0.00    0.00    0.00   95.07
05:22:57 PM  all    4.23    0.00    0.70    0.05    0.00    0.00    0.00    0.00    0.00   95.02
05:22:58 PM  all    4.41    0.00    0.75    0.05    0.00    0.00    0.00    0.00    0.00   94.79
05:22:59 PM  all    4.86    0.00    0.65    0.00    0.00    0.00    0.00    0.00    0.00   94.49
05:23:00 PM  all    4.57    0.00    0.60    0.00    0.00    0.00    0.00    0.00    0.00   94.82
05:23:01 PM  all    4.27    0.00    0.65    0.00    0.00    0.00    0.00    0.00    0.00   95.08
05:23:02 PM  all    4.31    0.00    0.70    0.15    0.00    0.00    0.00    0.00    0.00   94.83
05:23:03 PM  all    4.18    0.00    0.60    0.10    0.00    0.00    0.00    0.00    0.00   95.12
05:23:04 PM  all    4.16    0.00    0.90    0.10    0.00    0.00    0.00    0.00    0.00   94.84
05:23:05 PM  all    4.27    0.00    0.50    0.10    0.00    0.00    0.00    0.00    0.00   95.12
05:23:06 PM  all    4.36    0.00    0.80    0.05    0.00    0.00    0.00    0.00    0.00   94.79
05:23:07 PM  all    9.92    0.00    1.25    0.05    0.00    0.05    0.00    0.00    0.00   88.72
05:23:08 PM  all    8.45    0.00    1.01    0.15    0.00    0.00    0.00    0.00    0.00   90.39
05:23:09 PM  all    4.35    0.00    0.95    0.05    0.00    0.05    0.00    0.00    0.00   94.60
