Linux 5.15.0-141-generic (node7) 	06/14/2025 	_x86_64_	(20 CPU)

05:52:48 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:52:49 PM  all   15.50    0.00    0.80    1.94    0.00    0.15    0.00    0.00    0.00   81.61
05:52:50 PM  all   16.55    0.00    0.91    0.55    0.00    0.00    0.00    0.00    0.00   81.99
05:52:51 PM  all    3.55    0.00    0.65    1.15    0.00    0.00    0.00    0.00    0.00   94.65
05:52:52 PM  all    0.15    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.75
05:52:53 PM  all    0.20    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.65
05:52:54 PM  all   15.74    0.00    0.85    0.40    0.00    0.05    0.00    0.00    0.00   82.96
05:52:55 PM  all   31.59    0.00    1.91    0.00    0.00    0.00    0.00    0.00    0.00   66.50
05:52:56 PM  all    8.05    0.00    1.50    0.00    0.00    0.05    0.00    0.00    0.00   90.40
05:52:57 PM  all    0.15    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.75
05:52:58 PM  all    0.30    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.65
05:52:59 PM  all    6.53    0.00   27.83    1.56    0.00    0.15    0.00    0.00    0.00   63.94
05:53:00 PM  all   10.45    0.00   19.55    0.10    0.00    0.30    0.00    0.00    0.00   69.60
05:53:01 PM  all   12.13    0.00   10.24    0.05    0.00    0.50    0.00    0.00    0.00   77.09
05:53:02 PM  all   13.79    0.00   10.71    0.15    0.00    0.20    0.00    0.00    0.00   75.15
05:53:03 PM  all    9.68    0.00   23.18    0.20    0.00    0.30    0.00    0.00    0.00   66.63
05:53:04 PM  all    9.54    0.00   24.81    0.25    0.00    0.15    0.00    0.00    0.00   65.25
05:53:05 PM  all   12.01    0.00   20.86    0.35    0.00    0.10    0.00    0.00    0.00   66.68
05:53:06 PM  all   25.93    0.00   18.69    0.10    0.00    0.20    0.00    0.00    0.00   55.08
05:53:07 PM  all   12.61    0.00   21.07    0.20    0.00    0.30    0.00    0.00    0.00   65.82
05:53:08 PM  all   10.93    0.00   18.32    0.30    0.00    0.10    0.00    0.00    0.00   70.34
05:53:09 PM  all    8.50    0.00   26.65    0.05    0.00    0.15    0.00    0.00    0.00   64.66
05:53:10 PM  all    6.97    0.00   36.29    0.20    0.00    0.15    0.00    0.00    0.00   56.40
05:53:11 PM  all   12.74    0.00   34.78    0.00    0.00    0.20    0.00    0.00    0.00   52.28
05:53:12 PM  all   14.29    0.00   20.24    0.10    0.00    0.40    0.00    0.00    0.00   64.97
05:53:13 PM  all    8.96    0.00   30.01    0.35    0.00    0.10    0.00    0.00    0.00   60.58
05:53:14 PM  all    7.99    0.00   34.97    0.15    0.00    0.05    0.00    0.00    0.00   56.83
05:53:15 PM  all   10.25    0.00   33.40    0.00    0.00    0.10    0.00    0.00    0.00   56.25
05:53:16 PM  all    9.94    0.00   23.78    0.10    0.00    0.30    0.00    0.00    0.00   65.88
05:53:17 PM  all   21.49    0.00    5.63    0.66    0.00    0.05    0.00    0.00    0.00   72.17
05:53:18 PM  all   25.42    0.00    3.77    0.25    0.00    0.00    0.00    0.00    0.00   70.56
05:53:19 PM  all   26.23    0.00    3.52    0.05    0.00    0.00    0.00    0.00    0.00   70.20
05:53:20 PM  all   24.56    0.00    3.70    0.00    0.00    0.00    0.00    0.00    0.00   71.74
05:53:21 PM  all   26.18    0.00    3.99    0.10    0.00    0.00    0.00    0.00    0.00   69.73
05:53:22 PM  all   25.81    0.00    4.28    0.20    0.00    0.00    0.00    0.00    0.00   69.71
05:53:23 PM  all   27.17    0.00    3.49    0.00    0.00    0.00    0.00    0.00    0.00   69.34
05:53:24 PM  all   25.15    0.00    3.83    0.00    0.00    0.00    0.00    0.00    0.00   71.02
05:53:25 PM  all   24.52    0.00    3.65    0.05    0.00    0.00    0.00    0.00    0.00   71.77
05:53:26 PM  all   24.41    0.00    4.24    0.05    0.00    0.05    0.00    0.00    0.00   71.25
05:53:27 PM  all   25.21    0.00    3.21    0.05    0.00    0.05    0.00    0.00    0.00   71.47
05:53:28 PM  all   26.03    0.00    5.06    0.35    0.00    0.00    0.00    0.00    0.00   68.57
05:53:29 PM  all   21.66    0.00    2.00    0.00    0.00    0.15    0.00    0.00    0.00   76.20
05:53:30 PM  all   18.12    0.00    2.30    0.00    0.00    0.15    0.00    0.00    0.00   79.43
05:53:31 PM  all   18.88    0.00    1.25    0.00    0.00    0.15    0.00    0.00    0.00   79.72
05:53:32 PM  all   18.20    0.00    2.04    0.00    0.00    0.05    0.00    0.00    0.00   79.70
05:53:33 PM  all   19.62    0.00    2.20    0.00    0.00    0.15    0.00    0.00    0.00   78.03
05:53:34 PM  all    9.52    0.00    7.17    0.05    0.00    0.20    0.00    0.00    0.00   83.06
