Linux 5.15.0-141-generic (node7) 	06/14/2025 	_x86_64_	(20 CPU)

02:02:36 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:02:37 PM  all   15.42    0.00    0.75    2.00    0.00    0.05    0.00    0.00    0.00   81.78
02:02:38 PM  all   17.23    0.00    0.65    0.40    0.00    0.00    0.00    0.00    0.00   81.72
02:02:39 PM  all    3.15    0.00    0.50    0.95    0.00    0.05    0.00    0.00    0.00   95.35
02:02:40 PM  all    1.20    0.00    0.55    0.35    0.00    0.00    0.00    0.00    0.00   97.90
02:02:41 PM  all   46.78    0.00    2.31    0.00    0.00    0.00    0.00    0.00    0.00   50.90
02:02:42 PM  all   68.98    0.00    5.75    0.00    0.00    0.00    0.00    0.00    0.00   25.26
02:02:43 PM  all    8.73    0.00    1.45    0.00    0.00    0.05    0.00    0.00    0.00   89.78
02:02:44 PM  all    0.00    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.85
02:02:45 PM  all    0.05    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.75
02:02:46 PM  all    0.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.95
02:02:47 PM  all    0.00    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.85
02:02:48 PM  all    0.05    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.80
02:02:49 PM  all    0.10    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.75
02:02:50 PM  all    0.10    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.85
02:02:51 PM  all   10.74    0.00   10.04    3.15    0.00    0.10    0.00    0.00    0.00   75.97
02:02:52 PM  all   71.68    0.00    9.51    0.20    0.00    0.00    0.00    0.00    0.00   18.61
02:02:53 PM  all   71.99    0.00    9.47    0.20    0.00    0.00    0.00    0.00    0.00   18.34
02:02:54 PM  all   72.58    0.00    8.57    0.10    0.00    0.00    0.00    0.00    0.00   18.75
02:02:55 PM  all   72.09    0.00    8.90    0.10    0.00    0.00    0.00    0.00    0.00   18.91
02:02:56 PM  all   71.59    0.00    9.35    0.05    0.00    0.00    0.00    0.00    0.00   19.01
02:02:57 PM  all   73.12    0.00    8.02    0.20    0.00    0.05    0.00    0.00    0.00   18.61
02:02:58 PM  all   73.32    0.00    8.01    0.00    0.00    0.00    0.00    0.00    0.00   18.67
02:02:59 PM  all   74.90    0.00    6.44    0.00    0.00    0.00    0.00    0.00    0.00   18.66
02:03:00 PM  all   75.25    0.00    5.56    0.10    0.00    0.00    0.00    0.00    0.00   19.09
02:03:01 PM  all   75.34    0.00    5.61    0.00    0.00    0.00    0.00    0.00    0.00   19.05
02:03:02 PM  all   76.88    0.00    4.21    0.00    0.00    0.00    0.00    0.00    0.00   18.91
02:03:03 PM  all   76.24    0.00    5.16    0.00    0.00    0.05    0.00    0.00    0.00   18.55
02:03:04 PM  all   76.49    0.00    4.52    0.00    0.00    0.00    0.00    0.00    0.00   18.99
02:03:05 PM  all   78.60    0.00    2.45    0.05    0.00    0.00    0.00    0.00    0.00   18.90
02:03:06 PM  all   79.11    0.00    3.06    0.15    0.00    0.00    0.00    0.00    0.00   17.68
02:03:07 PM  all   77.87    0.00    2.90    0.05    0.00    0.05    0.00    0.00    0.00   19.13
02:03:08 PM  all   77.56    0.00    3.56    0.00    0.00    0.00    0.00    0.00    0.00   18.88
02:03:09 PM  all   77.51    0.00    3.89    0.05    0.00    0.00    0.00    0.00    0.00   18.55
02:03:10 PM  all   77.80    0.00    3.31    0.05    0.00    0.00    0.00    0.00    0.00   18.83
02:03:11 PM  all   77.78    0.00    2.77    0.00    0.00    0.00    0.00    0.00    0.00   19.46
02:03:12 PM  all   78.64    0.00    2.46    0.00    0.00    0.00    0.00    0.00    0.00   18.91
02:03:13 PM  all   79.10    0.00    2.06    0.05    0.00    0.00    0.00    0.00    0.00   18.79
02:03:14 PM  all   78.10    0.00    2.86    0.00    0.00    0.00    0.00    0.00    0.00   19.05
02:03:15 PM  all   79.23    0.00    2.01    0.00    0.00    0.00    0.00    0.00    0.00   18.76
02:03:16 PM  all   78.75    0.00    2.15    0.05    0.00    0.00    0.00    0.00    0.00   19.05
02:03:17 PM  all   78.99    0.00    2.11    0.00    0.00    0.00    0.00    0.00    0.00   18.91
02:03:18 PM  all   78.42    0.00    2.50    0.00    0.00    0.00    0.00    0.00    0.00   19.08
02:03:19 PM  all   78.83    0.00    2.10    0.00    0.00    0.00    0.00    0.00    0.00   19.07
02:03:20 PM  all   78.41    0.00    3.21    0.00    0.00    0.00    0.00    0.00    0.00   18.39
02:03:21 PM  all   70.40    0.00    4.67    0.00    0.00    0.00    0.00    0.00    0.00   24.94
02:03:22 PM  all   19.86    0.00   17.30    0.05    0.00    0.00    0.00    0.00    0.00   62.79
