Linux 5.15.0-141-generic (node7) 	06/14/2025 	_x86_64_	(20 CPU)

03:22:46 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:22:47 PM  all   15.35    0.00    0.55    1.81    0.00    0.10    0.00    0.00    0.00   82.20
03:22:48 PM  all   16.68    0.00    0.70    0.50    0.00    0.00    0.00    0.00    0.00   82.12
03:22:49 PM  all    3.10    0.00    0.45    0.90    0.00    0.00    0.00    0.00    0.00   95.55
03:22:50 PM  all    1.70    0.00    0.45    0.35    0.00    0.00    0.00    0.00    0.00   97.49
03:22:51 PM  all   45.26    0.00    2.20    0.00    0.00    0.00    0.00    0.00    0.00   52.54
03:22:52 PM  all   64.21    0.00    4.76    0.00    0.00    0.10    0.00    0.00    0.00   30.93
03:22:53 PM  all   14.36    0.00    3.49    0.00    0.00    0.25    0.00    0.00    0.00   81.90
03:22:54 PM  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
03:22:55 PM  all    0.05    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.85
03:22:56 PM  all    0.00    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.80
03:22:57 PM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:22:58 PM  all    0.20    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.70
03:22:59 PM  all    0.45    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00   99.50
03:23:00 PM  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
03:23:01 PM  all    6.16    0.00   11.82    3.38    0.00    0.10    0.00    0.00    0.00   78.54
03:23:02 PM  all   71.33    0.00    9.64    0.15    0.00    0.05    0.00    0.00    0.00   18.83
03:23:03 PM  all   72.09    0.00    9.34    0.05    0.00    0.00    0.00    0.00    0.00   18.52
03:23:04 PM  all   69.72    0.00   11.61    0.15    0.00    0.00    0.00    0.00    0.00   18.52
03:23:05 PM  all   72.27    0.00    8.71    0.05    0.00    0.00    0.00    0.00    0.00   18.97
03:23:06 PM  all   72.61    0.00    8.80    0.00    0.00    0.00    0.00    0.00    0.00   18.59
03:23:07 PM  all   72.48    0.00    9.56    0.35    0.00    0.00    0.00    0.00    0.00   17.61
03:23:08 PM  all   72.60    0.00    8.75    0.00    0.00    0.00    0.00    0.00    0.00   18.65
03:23:09 PM  all   72.01    0.00    9.55    0.00    0.00    0.00    0.00    0.00    0.00   18.44
03:23:10 PM  all   73.62    0.00    8.76    0.00    0.00    0.00    0.00    0.00    0.00   17.62
03:23:11 PM  all   70.06    0.00   10.89    0.00    0.00    0.00    0.00    0.00    0.00   19.04
03:23:12 PM  all   71.75    0.00    9.77    0.00    0.00    0.00    0.00    0.00    0.00   18.49
03:23:13 PM  all   72.25    0.00    9.00    0.10    0.00    0.00    0.00    0.00    0.00   18.65
03:23:14 PM  all   71.96    0.00    9.26    0.00    0.00    0.00    0.00    0.00    0.00   18.78
03:23:15 PM  all   72.75    0.00    8.03    0.00    0.00    0.00    0.00    0.00    0.00   19.22
03:23:16 PM  all   72.81    0.00    8.06    0.00    0.00    0.00    0.00    0.00    0.00   19.13
03:23:17 PM  all   75.45    0.00    6.07    0.00    0.00    0.05    0.00    0.00    0.00   18.42
03:23:18 PM  all   75.47    0.00    5.39    0.10    0.00    0.00    0.00    0.00    0.00   19.03
03:23:19 PM  all   74.97    0.00    6.52    0.05    0.00    0.05    0.00    0.00    0.00   18.41
03:23:20 PM  all   76.35    0.00    4.61    0.05    0.00    0.00    0.00    0.00    0.00   18.99
03:23:21 PM  all   76.07    0.00    4.87    0.00    0.00    0.00    0.00    0.00    0.00   19.07
03:23:22 PM  all   77.20    0.00    3.99    0.00    0.00    0.00    0.00    0.00    0.00   18.81
03:23:23 PM  all   76.18    0.00    4.82    0.00    0.00    0.00    0.00    0.00    0.00   18.99
03:23:24 PM  all   77.04    0.00    4.27    0.00    0.00    0.00    0.00    0.00    0.00   18.69
03:23:25 PM  all   77.70    0.00    3.65    0.00    0.00    0.00    0.00    0.00    0.00   18.65
03:23:26 PM  all   77.67    0.00    3.46    0.00    0.00    0.00    0.00    0.00    0.00   18.87
03:23:27 PM  all   76.78    0.00    4.31    0.00    0.00    0.00    0.00    0.00    0.00   18.91
03:23:28 PM  all   78.10    0.00    3.37    0.00    0.00    0.00    0.00    0.00    0.00   18.53
03:23:29 PM  all   77.25    0.00    3.81    0.00    0.00    0.00    0.00    0.00    0.00   18.94
03:23:30 PM  all   77.58    0.00    3.76    0.00    0.00    0.05    0.00    0.00    0.00   18.61
03:23:31 PM  all   74.44    0.00    4.44    0.00    0.00    0.00    0.00    0.00    0.00   21.12
03:23:32 PM  all   25.34    0.00   21.13    0.20    0.00    0.10    0.00    0.00    0.00   53.23
