Linux 5.15.0-141-generic (node7) 	06/14/2025 	_x86_64_	(20 CPU)

03:39:39 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:39:40 PM  all   15.50    0.00    0.50    1.80    0.00    0.15    0.00    0.00    0.00   82.05
03:39:41 PM  all   17.36    0.00    0.60    0.25    0.00    0.00    0.00    0.00    0.00   81.80
03:39:42 PM  all    2.21    0.00    0.30    0.80    0.00    0.00    0.00    0.00    0.00   96.69
03:39:43 PM  all   11.02    0.00    0.50    0.30    0.00    0.00    0.00    0.00    0.00   88.18
03:39:44 PM  all   54.79    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   42.12
03:39:45 PM  all   94.54    0.00    5.46    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:39:46 PM  all   92.96    0.00    7.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:39:47 PM  all   93.60    0.00    6.40    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:39:48 PM  all   92.70    0.00    7.30    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:39:49 PM  all   93.15    0.00    6.85    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:39:50 PM  all   92.59    0.00    7.41    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:39:51 PM  all   92.35    0.00    7.65    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:39:52 PM  all   92.19    0.00    7.81    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:39:53 PM  all   92.17    0.00    7.83    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:39:54 PM  all   93.39    0.00    6.61    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:39:55 PM  all   93.95    0.00    6.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:39:56 PM  all   94.21    0.00    5.79    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:39:57 PM  all   94.54    0.00    5.46    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:39:58 PM  all   45.63    0.00    6.19    0.00    0.00    0.00    0.00    0.00    0.00   48.18
