Linux 5.15.0-141-generic (node7) 	06/14/2025 	_x86_64_	(20 CPU)

04:10:01 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:10:02 PM  all   15.59    0.00    0.60    1.70    0.00    0.10    0.00    0.00    0.00   82.01
04:10:03 PM  all   17.40    0.00    0.50    0.30    0.00    0.00    0.00    0.00    0.00   81.80
04:10:04 PM  all    1.80    0.00    0.55    0.85    0.00    0.00    0.00    0.00    0.00   96.80
04:10:05 PM  all    0.15    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.80
04:10:06 PM  all    0.65    0.00    0.35    0.25    0.00    0.00    0.00    0.00    0.00   98.75
04:10:07 PM  all   23.19    0.00    2.09    0.10    0.00    0.05    0.00    0.00    0.00   74.56
04:10:08 PM  all   94.90    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:10:09 PM  all   94.55    0.00    5.45    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:10:10 PM  all   93.66    0.00    6.34    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:10:11 PM  all   93.24    0.00    6.76    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:10:12 PM  all   91.05    0.00    8.95    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:10:13 PM  all   91.51    0.00    8.49    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:10:14 PM  all   52.61    0.00    5.78    0.00    0.00    0.00    0.00    0.00    0.00   41.61
04:10:15 PM  all   12.89    0.00    3.25    0.00    0.00    0.00    0.00    0.00    0.00   83.86
04:10:16 PM  all   12.74    0.00    3.50    0.00    0.00    0.00    0.00    0.00    0.00   83.77
04:10:17 PM  all   12.86    0.00    3.40    0.00    0.00    0.00    0.00    0.00    0.00   83.73
04:10:18 PM  all   13.44    0.00    3.55    0.00    0.00    0.10    0.00    0.00    0.00   82.91
04:10:19 PM  all   13.06    0.00    3.70    0.00    0.00    0.10    0.00    0.00    0.00   83.13
04:10:20 PM  all   13.32    0.00    3.81    0.00    0.00    0.10    0.00    0.00    0.00   82.77
04:10:21 PM  all   13.78    0.00    3.86    0.00    0.00    0.05    0.00    0.00    0.00   82.31
04:10:22 PM  all   14.34    0.00    3.90    0.00    0.00    0.10    0.00    0.00    0.00   81.66
04:10:23 PM  all   13.98    0.00    3.91    0.00    0.00    0.20    0.00    0.00    0.00   81.91
04:10:24 PM  all   14.31    0.00    4.10    0.00    0.00    0.15    0.00    0.00    0.00   81.44
04:10:25 PM  all   14.30    0.00    4.15    0.00    0.00    0.20    0.00    0.00    0.00   81.35
04:10:26 PM  all   12.17    0.00    3.30    0.00    0.00    0.10    0.00    0.00    0.00   84.43
04:10:27 PM  all    0.05    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.70
04:10:28 PM  all    0.10    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.70
04:10:29 PM  all    0.10    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.85
04:10:30 PM  all    9.48    0.00   39.87    0.35    0.00    0.05    0.00    0.00    0.00   50.25
04:10:31 PM  all   34.93    0.00   65.07    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:10:32 PM  all   76.39    0.00   23.61    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:10:33 PM  all   92.15    0.00    7.85    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:10:34 PM  all   91.30    0.00    8.70    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:10:35 PM  all   79.21    0.00   20.79    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:10:36 PM  all   92.65    0.00    7.35    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:10:37 PM  all   90.76    0.00    9.24    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:10:38 PM  all   85.83    0.00   14.17    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:10:39 PM  all   89.10    0.00   10.90    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:10:40 PM  all   91.96    0.00    8.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:10:41 PM  all   89.83    0.00   10.17    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:10:42 PM  all   86.46    0.00   13.54    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:10:43 PM  all   91.94    0.00    8.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:10:44 PM  all   89.99    0.00   10.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:10:45 PM  all   86.37    0.00   13.63    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:10:46 PM  all   92.11    0.00    7.89    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:10:47 PM  all   91.19    0.00    8.81    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:10:48 PM  all   88.20    0.00   11.80    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:10:49 PM  all   91.14    0.00    8.86    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:10:50 PM  all   91.61    0.00    8.39    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:10:51 PM  all   90.70    0.00    9.30    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:10:52 PM  all   88.95    0.00   11.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:10:53 PM  all   91.71    0.00    8.24    0.00    0.00    0.05    0.00    0.00    0.00    0.00
04:10:54 PM  all   89.89    0.00   10.11    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:10:55 PM  all   88.50    0.00   11.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:10:56 PM  all   92.20    0.00    7.80    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:10:57 PM  all   89.96    0.00   10.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:10:58 PM  all   88.71    0.00   11.29    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:10:59 PM  all   91.35    0.00    8.65    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:11:00 PM  all   90.86    0.00    9.14    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:11:01 PM  all   80.66    0.00   16.32    0.00    0.00    0.00    0.00    0.00    0.00    3.01
04:11:02 PM  all   94.36    0.00    1.90    0.05    0.00    0.00    0.00    0.00    0.00    3.70
04:11:03 PM  all   45.62    0.00   54.23    0.00    0.00    0.00    0.00    0.00    0.00    0.15
