Linux 5.15.0-141-generic (node7) 	06/14/2025 	_x86_64_	(20 CPU)

04:15:16 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:15:17 PM  all   15.25    0.00    0.55    1.76    0.00    0.10    0.00    0.00    0.00   82.35
04:15:18 PM  all   16.87    0.00    0.70    0.35    0.00    0.00    0.00    0.00    0.00   82.08
04:15:19 PM  all    1.95    0.00    0.30    0.90    0.00    0.05    0.00    0.00    0.00   96.79
04:15:20 PM  all    0.20    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.70
04:15:21 PM  all    0.60    0.00    0.25    0.30    0.00    0.05    0.00    0.00    0.00   98.80
04:15:22 PM  all   18.62    0.00    1.15    0.10    0.00    0.00    0.00    0.00    0.00   80.13
04:15:23 PM  all   93.40    0.00    5.30    0.00    0.00    0.00    0.00    0.00    0.00    1.30
04:15:24 PM  all   94.64    0.00    5.36    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:15:25 PM  all   93.20    0.00    6.80    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:15:26 PM  all   93.09    0.00    6.91    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:15:27 PM  all   93.41    0.00    6.59    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:15:28 PM  all   92.20    0.00    7.80    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:15:29 PM  all   92.55    0.00    7.45    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:15:30 PM  all   91.60    0.00    8.40    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:15:31 PM  all   92.74    0.00    7.26    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:15:32 PM  all   93.47    0.00    6.53    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:15:33 PM  all   94.14    0.00    5.86    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:15:34 PM  all   93.24    0.00    6.76    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:15:35 PM  all   93.65    0.00    6.35    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:15:36 PM  all   68.83    0.00    6.38    0.00    0.00    0.00    0.00    0.00    0.00   24.79
04:15:37 PM  all   12.88    0.00    3.71    0.00    0.00    0.00    0.00    0.00    0.00   83.42
04:15:38 PM  all   13.41    0.00    3.65    0.00    0.00    0.00    0.00    0.00    0.00   82.93
04:15:39 PM  all   13.11    0.00    3.11    0.00    0.00    0.05    0.00    0.00    0.00   83.73
04:15:40 PM  all   12.70    0.00    3.80    0.00    0.00    0.00    0.00    0.00    0.00   83.50
04:15:41 PM  all   13.56    0.00    3.69    0.00    0.00    0.35    0.00    0.00    0.00   82.40
04:15:42 PM  all   13.53    0.00    3.81    0.00    0.00    0.00    0.00    0.00    0.00   82.66
