Linux 5.15.0-141-generic (node7) 	06/09/2025 	_x86_64_	(20 CPU)

12:02:50 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:02:51 PM  all   15.27    0.00    0.75    2.01    0.00    0.10    0.00    0.00    0.00   81.87
12:02:52 PM  all   16.85    0.00    1.05    0.55    0.00    0.10    0.00    0.00    0.00   81.45
12:02:53 PM  all    3.17    0.00    0.50    0.75    0.00    0.00    0.00    0.00    0.00   95.57
12:02:54 PM  all    0.90    0.00    0.25    0.40    0.00    0.00    0.00    0.00    0.00   98.44
12:02:55 PM  all   22.23    0.00    1.90    0.20    0.00    0.00    0.00    0.00    0.00   75.66
12:02:56 PM  all   84.69    0.00    5.75    0.00    0.00    0.05    0.00    0.00    0.00    9.50
12:02:57 PM  all   15.30    0.00    2.71    0.00    0.00    0.10    0.00    0.00    0.00   81.89
12:02:58 PM  all    0.55    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.25
12:02:59 PM  all    0.10    0.00    0.35    0.10    0.00    0.00    0.00    0.00    0.00   99.45
12:03:00 PM  all    0.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.80
12:03:01 PM  all    0.10    0.00    0.15    0.05    0.00    0.00    0.00    0.00    0.00   99.70
12:03:02 PM  all    0.20    0.00    0.25    0.05    0.00    0.00    0.00    0.00    0.00   99.50
12:03:03 PM  all    0.10    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.80
12:03:04 PM  all    0.30    0.00    0.30    0.40    0.00    0.05    0.00    0.00    0.00   98.95
12:03:05 PM  all    1.16    0.00    0.45    0.05    0.00    0.00    0.00    0.00    0.00   98.34
12:03:06 PM  all   53.91   21.22    6.14    0.91    0.00    0.61    0.00    0.00    0.00   17.21
12:03:07 PM  all   30.75   37.69    6.54    0.00    0.00    1.07    0.00    0.00    0.00   23.95
12:03:08 PM  all   33.98   35.46    6.06    0.00    0.00    0.87    0.00    0.00    0.00   23.64
12:03:09 PM  all   31.18   37.07    7.27    0.00    0.00    0.92    0.00    0.00    0.00   23.55
12:03:10 PM  all   31.81   36.49    6.63    0.00    0.00    1.08    0.00    0.00    0.00   24.00
12:03:11 PM  all   32.79   36.27    5.78    0.05    0.00    0.56    0.00    0.00    0.00   24.55
12:03:12 PM  all   31.68   37.96    6.18    0.00    0.00    0.86    0.00    0.00    0.00   23.31
12:03:13 PM  all   31.68   38.23    6.21    0.00    0.00    0.94    0.00    0.00    0.00   22.94
12:03:14 PM  all   31.15   37.40    7.27    0.00    0.00    0.76    0.00    0.00    0.00   23.42
12:03:15 PM  all   31.14   38.28    6.33    0.00    0.00    1.02    0.00    0.00    0.00   23.23
12:03:16 PM  all   32.55   36.07    5.87    0.05    0.00    0.97    0.00    0.00    0.00   24.49
12:03:17 PM  all   32.86   36.95    6.31    0.00    0.00    0.71    0.00    0.00    0.00   23.17
12:03:18 PM  all   32.54   36.35    6.46    0.00    0.00    0.97    0.00    0.00    0.00   23.69
12:03:19 PM  all   32.11   36.86    5.99    0.00    0.00    1.03    0.00    0.00    0.00   24.01
12:03:20 PM  all   32.74   36.22    6.56    0.00    0.00    0.97    0.00    0.00    0.00   23.51
12:03:21 PM  all   32.12   37.03    6.03    0.05    0.00    0.56    0.00    0.00    0.00   24.21
12:03:22 PM  all   29.30   39.99    6.12    0.00    0.00    0.90    0.00    0.00    0.00   23.68
12:03:23 PM  all   30.80   36.64    7.22    0.05    0.00    0.88    0.00    0.00    0.00   24.41
12:03:24 PM  all   31.52   36.70    6.70    0.00    0.00    1.02    0.00    0.00    0.00   24.06
12:03:25 PM  all   31.76   37.89    6.08    0.00    0.00    1.01    0.00    0.00    0.00   23.25
12:03:26 PM  all   32.16   36.35    6.03    0.10    0.00    0.82    0.00    0.00    0.00   24.54
12:03:27 PM  all   32.94   35.71    6.61    0.00    0.00    0.61    0.00    0.00    0.00   24.13
12:03:28 PM  all   31.97   36.01    6.33    0.00    0.00    1.28    0.00    0.00    0.00   24.41
12:03:29 PM  all   31.77   36.77    6.83    0.00    0.00    0.82    0.00    0.00    0.00   23.81
12:03:30 PM  all   30.86   37.83    6.51    0.00    0.00    0.82    0.00    0.00    0.00   23.99
12:03:31 PM  all   33.06   36.34    6.04    0.00    0.00    0.56    0.00    0.00    0.00   24.00
12:03:32 PM  all   31.66   36.93    6.29    0.00    0.00    0.97    0.00    0.00    0.00   24.14
12:03:33 PM  all   31.52   37.36    6.64    0.00    0.00    0.96    0.00    0.00    0.00   23.53
12:03:34 PM  all   31.63   37.10    6.23    0.00    0.00    1.18    0.00    0.00    0.00   23.86
12:03:35 PM  all   31.61   37.24    6.49    0.05    0.00    0.86    0.00    0.00    0.00   23.74
12:03:36 PM  all    1.60    0.40    0.40    0.00    0.00    0.00    0.00    0.00    0.00   97.60
12:03:37 PM  all    5.21    0.00    0.10    0.05    0.00    0.00    0.00    0.00    0.00   94.64
12:03:38 PM  all    5.11    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   94.64
12:03:39 PM  all   36.26    0.00    2.50    0.10    0.00    0.00    0.00    0.00    0.00   61.14
12:03:40 PM  all   16.27    1.76    1.41    0.05    0.00    0.05    0.00    0.00    0.00   80.47
12:03:41 PM  all    5.36    2.80    1.10    0.00    0.00    0.00    0.00    0.00    0.00   90.74
12:03:42 PM  all    5.77    1.66    1.61    0.05    0.00    0.05    0.00    0.00    0.00   90.87
12:03:43 PM  all    4.95    2.05    1.60    0.00    0.00    0.10    0.00    0.00    0.00   91.30
12:03:44 PM  all    5.13    2.26    1.41    0.00    0.00    0.10    0.00    0.00    0.00   91.10
12:03:45 PM  all    4.80    2.17    1.41    0.00    0.00    0.05    0.00    0.00    0.00   91.56
12:03:46 PM  all    4.64    2.32    1.11    0.00    0.00    0.15    0.00    0.00    0.00   91.78
12:03:47 PM  all    4.93    2.37    1.36    0.00    0.00    0.00    0.00    0.00    0.00   91.34
12:03:48 PM  all    5.08    1.66    1.56    0.00    0.00    0.05    0.00    0.00    0.00   91.66
12:03:49 PM  all    5.10    1.85    1.45    0.00    0.00    0.15    0.00    0.00    0.00   91.45
12:03:50 PM  all    4.79    1.86    0.96    0.05    0.00    0.15    0.00    0.00    0.00   92.19
12:03:51 PM  all    4.87    1.96    1.66    0.00    0.00    0.05    0.00    0.00    0.00   91.46
