Linux 5.15.0-141-generic (node7) 	06/09/2025 	_x86_64_	(20 CPU)

12:26:32 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:26:33 PM  all   15.44    0.00    0.75    2.06    0.00    0.15    0.00    0.00    0.00   81.60
12:26:34 PM  all   16.70    0.00    0.75    0.60    0.00    0.00    0.00    0.00    0.00   81.94
12:26:35 PM  all    3.46    0.00    0.60    0.60    0.00    0.05    0.00    0.00    0.00   95.29
12:26:36 PM  all    0.80    0.00    0.50    0.50    0.00    0.05    0.00    0.00    0.00   98.14
12:26:37 PM  all   22.75    0.05    1.65    0.10    0.00    0.10    0.00    0.00    0.00   75.35
12:26:38 PM  all   93.85    0.00    6.15    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:26:39 PM  all   93.49    0.00    6.51    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:26:40 PM  all   92.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:26:41 PM  all   93.70    0.00    6.30    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:26:42 PM  all   92.66    0.00    7.34    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:26:43 PM  all   92.89    0.00    7.11    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:26:44 PM  all   91.56    0.00    8.44    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:26:45 PM  all   91.14    0.00    8.86    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:26:46 PM  all   91.15    0.00    8.85    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:26:47 PM  all   92.65    0.00    7.35    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:26:48 PM  all   93.96    0.00    5.99    0.00    0.00    0.05    0.00    0.00    0.00    0.00
12:26:49 PM  all   93.84    0.00    6.16    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:26:50 PM  all   93.96    0.00    6.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:26:51 PM  all   80.96    0.00    7.28    0.00    0.00    0.00    0.00    0.00    0.00   11.75
12:26:52 PM  all   17.94    0.00    4.02    0.00    0.00    0.00    0.00    0.00    0.00   78.04
12:26:53 PM  all   18.41    0.00    3.89    0.15    0.00    0.00    0.00    0.00    0.00   77.54
12:26:54 PM  all   17.78    0.00    3.42    0.05    0.00    0.00    0.00    0.00    0.00   78.75
12:26:55 PM  all   17.85    0.00    3.51    0.00    0.00    0.10    0.00    0.00    0.00   78.54
12:26:56 PM  all   18.18    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   77.70
12:26:57 PM  all   19.62    0.00    3.72    0.05    0.00    0.10    0.00    0.00    0.00   76.51
12:26:58 PM  all   18.62    0.00    4.02    0.05    0.00    0.10    0.00    0.00    0.00   77.21
12:26:59 PM  all   19.00    0.00    3.92    0.00    0.00    0.05    0.00    0.00    0.00   77.02
12:27:00 PM  all   18.56    0.00    4.01    0.00    0.00    0.10    0.00    0.00    0.00   77.33
12:27:01 PM  all   20.64    0.00    4.27    0.00    0.00    0.10    0.00    0.00    0.00   74.99
