Linux 5.15.0-141-generic (node7) 	06/09/2025 	_x86_64_	(20 CPU)

11:53:29 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:53:30 AM  all   15.56    0.00    0.95    1.85    0.00    0.15    0.00    0.00    0.00   81.49
11:53:31 AM  all   17.26    0.00    0.75    0.45    0.00    0.05    0.00    0.00    0.00   81.49
11:53:32 AM  all    3.10    0.00    0.80    0.75    0.00    0.05    0.00    0.00    0.00   95.30
11:53:33 AM  all    1.36    0.00    0.45    0.80    0.00    0.00    0.00    0.00    0.00   97.39
11:53:34 AM  all   20.27    0.00    1.00    0.05    0.00    0.05    0.00    0.00    0.00   78.63
11:53:35 AM  all   30.29    0.00    1.76    0.00    0.00    0.10    0.00    0.00    0.00   67.85
11:53:36 AM  all    0.20    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.60
11:53:37 AM  all    0.05    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.75
11:53:38 AM  all    2.72    0.00    0.40    0.40    0.00    0.05    0.00    0.00    0.00   96.43
11:53:39 AM  all   26.93   11.94    2.79    0.00    0.00    0.51    0.00    0.00    0.00   57.83
11:53:40 AM  all   12.51   15.78    2.98    0.00    0.00    0.30    0.00    0.00    0.00   68.43
11:53:41 AM  all   12.27   15.45    3.28    0.00    0.00    0.20    0.00    0.00    0.00   68.80
11:53:42 AM  all   12.08   15.82    2.93    0.00    0.00    0.35    0.00    0.00    0.00   68.82
11:53:43 AM  all   13.10   15.06    2.82    0.00    0.00    0.50    0.00    0.00    0.00   68.51
11:53:44 AM  all   12.38   14.88    2.75    0.10    0.00    0.41    0.00    0.00    0.00   69.49
11:53:45 AM  all   12.93   14.41    2.80    0.00    0.00    0.25    0.00    0.00    0.00   69.60
11:53:46 AM  all   13.44   14.40    3.17    0.00    0.00    0.30    0.00    0.00    0.00   68.68
11:53:47 AM  all   12.35   16.15    2.85    0.00    0.00    0.35    0.00    0.00    0.00   68.30
11:53:48 AM  all   12.29   16.16    2.87    0.00    0.00    0.35    0.00    0.00    0.00   68.33
11:53:49 AM  all   12.29   16.45    2.91    0.00    0.00    0.25    0.00    0.00    0.00   68.10
11:53:50 AM  all   12.19   14.59    3.06    0.00    0.00    0.66    0.00    0.00    0.00   69.49
11:53:51 AM  all   12.21   16.38    2.96    0.00    0.00    0.15    0.00    0.00    0.00   68.29
11:53:52 AM  all   12.90   15.28    2.78    0.00    0.00    0.35    0.00    0.00    0.00   68.69
11:53:53 AM  all   11.01   17.91    3.22    0.00    0.00    0.25    0.00    0.00    0.00   67.61
11:53:54 AM  all   12.30   15.33    3.03    0.05    0.00    0.55    0.00    0.00    0.00   68.73
11:53:55 AM  all   12.49   14.96    3.39    0.00    0.00    0.56    0.00    0.00    0.00   68.60
11:53:56 AM  all   12.57   15.15    2.84    0.00    0.00    0.20    0.00    0.00    0.00   69.23
11:53:57 AM  all   13.36   14.22    3.20    0.00    0.00    0.20    0.00    0.00    0.00   69.02
11:53:58 AM  all   13.42   14.08    3.14    0.00    0.00    0.61    0.00    0.00    0.00   68.76
