Linux 5.15.0-141-generic (node7) 	06/09/2025 	_x86_64_	(20 CPU)

02:27:19 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:27:20 AM  all   15.53    0.00    0.95    1.80    0.00    0.15    0.00    0.00    0.00   81.56
02:27:21 AM  all   16.96    0.00    1.05    0.25    0.00    0.05    0.00    0.00    0.00   81.69
02:27:22 AM  all    3.46    0.00    0.85    1.15    0.00    0.15    0.00    0.00    0.00   94.39
02:27:23 AM  all    1.20    0.00    0.60    0.35    0.00    0.05    0.00    0.00    0.00   97.80
02:27:24 AM  all   17.40    0.00    0.90    0.05    0.00    0.05    0.00    0.00    0.00   81.59
02:27:25 AM  all   16.87    0.00    0.70    0.05    0.00    0.05    0.00    0.00    0.00   82.33
02:27:26 AM  all   15.91    3.31    1.26    0.35    0.00    0.15    0.00    0.00    0.00   79.02
02:27:27 AM  all    3.28    4.39    0.96    0.00    0.00    0.05    0.00    0.00    0.00   91.33
02:27:28 AM  all    2.92    4.23    1.26    0.00    0.00    0.15    0.00    0.00    0.00   91.43
02:27:29 AM  all    2.97    4.18    1.56    0.05    0.00    0.10    0.00    0.00    0.00   91.13
02:27:30 AM  all    3.52    3.82    1.56    0.00    0.00    0.10    0.00    0.00    0.00   91.01
02:27:31 AM  all    3.02    4.43    1.21    0.00    0.00    0.20    0.00    0.00    0.00   91.15
02:27:32 AM  all    3.17    4.13    1.41    0.05    0.00    0.15    0.00    0.00    0.00   91.09
02:27:33 AM  all    3.57    4.28    1.36    0.00    0.00    0.05    0.00    0.00    0.00   90.74
02:27:34 AM  all    3.33    4.09    1.06    0.05    0.00    0.10    0.00    0.00    0.00   91.36
02:27:35 AM  all    3.16    4.16    1.40    0.00    0.00    0.20    0.00    0.00    0.00   91.07
02:27:36 AM  all    2.98    4.39    1.01    0.00    0.00    0.20    0.00    0.00    0.00   91.42
02:27:37 AM  all    3.18    4.04    1.11    0.00    0.00    0.00    0.00    0.00    0.00   91.66
02:27:38 AM  all    2.91    4.12    1.31    0.05    0.00    0.45    0.00    0.00    0.00   91.16
02:27:39 AM  all    3.37    4.18    1.36    0.05    0.00    0.05    0.00    0.00    0.00   90.99
02:27:40 AM  all    3.67    3.98    1.21    0.00    0.00    0.20    0.00    0.00    0.00   90.94
02:27:41 AM  all    3.27    4.03    1.26    0.05    0.00    0.10    0.00    0.00    0.00   91.28
02:27:42 AM  all    3.13    4.15    1.11    0.00    0.00    0.10    0.00    0.00    0.00   91.51
02:27:43 AM  all    3.03    4.29    1.16    0.00    0.00    0.00    0.00    0.00    0.00   91.53
02:27:44 AM  all    3.08    4.29    1.16    0.00    0.00    0.20    0.00    0.00    0.00   91.27
02:27:45 AM  all    3.21    3.92    1.46    0.00    0.00    0.25    0.00    0.00    0.00   91.16
02:27:46 AM  all    3.21    4.32    1.10    0.10    0.00    0.15    0.00    0.00    0.00   91.11
02:27:47 AM  all    3.38    4.19    1.51    0.00    0.00    0.15    0.00    0.00    0.00   90.77
02:27:48 AM  all    3.11    4.06    1.56    0.00    0.00    0.25    0.00    0.00    0.00   91.02
02:27:49 AM  all    3.12    4.28    1.26    0.00    0.00    0.05    0.00    0.00    0.00   91.30
02:27:50 AM  all    2.83    4.20    1.31    0.00    0.00    0.20    0.00    0.00    0.00   91.46
02:27:51 AM  all    3.22    4.28    1.01    0.00    0.00    0.15    0.00    0.00    0.00   91.35
02:27:52 AM  all    3.24    4.00    1.16    0.00    0.00    0.15    0.00    0.00    0.00   91.44
02:27:53 AM  all    3.31    3.97    1.46    0.00    0.00    0.15    0.00    0.00    0.00   91.11
02:27:54 AM  all    3.37    4.18    1.56    0.05    0.00    0.15    0.00    0.00    0.00   90.68
02:27:55 AM  all    3.17    4.12    1.11    0.00    0.00    0.05    0.00    0.00    0.00   91.55
02:27:56 AM  all   17.64    0.00    1.25    0.15    0.00    0.00    0.00    0.00    0.00   80.96
02:27:57 AM  all   16.81    1.25    1.45    0.10    0.00    0.00    0.00    0.00    0.00   80.39
02:27:58 AM  all    5.28    2.69    1.40    0.00    0.00    0.00    0.00    0.00    0.00   90.63
02:27:59 AM  all    4.64    2.25    1.85    0.05    0.00    0.15    0.00    0.00    0.00   91.06
02:28:00 AM  all    4.41    2.81    1.40    0.00    0.00    0.05    0.00    0.00    0.00   91.33
02:28:01 AM  all    4.71    2.91    1.35    0.00    0.00    0.10    0.00    0.00    0.00   90.93
02:28:02 AM  all    4.53    2.77    1.36    0.05    0.00    0.00    0.00    0.00    0.00   91.29
02:28:03 AM  all    4.88    2.84    1.44    0.00    0.00    0.05    0.00    0.00    0.00   90.79
02:28:04 AM  all    5.44    2.45    1.30    0.00    0.00    0.15    0.00    0.00    0.00   90.66
02:28:05 AM  all    5.20    2.35    1.70    0.00    0.00    0.05    0.00    0.00    0.00   90.70
02:28:06 AM  all    5.45    2.53    1.83    0.00    0.00    0.15    0.00    0.00    0.00   90.03
02:28:07 AM  all    5.23    2.54    1.64    0.00    0.00    0.05    0.00    0.00    0.00   90.53
02:28:08 AM  all    4.81    2.45    1.70    0.05    0.00    0.00    0.00    0.00    0.00   90.99
02:28:09 AM  all    4.81    2.41    1.45    0.05    0.00    0.05    0.00    0.00    0.00   91.23
02:28:10 AM  all    5.08    2.49    1.84    0.00    0.00    0.05    0.00    0.00    0.00   90.54
02:28:11 AM  all    4.99    2.25    1.75    0.00    0.00    0.05    0.00    0.00    0.00   90.96
02:28:12 AM  all    4.88    2.84    1.39    0.00    0.00    0.15    0.00    0.00    0.00   90.75
02:28:13 AM  all    5.35    0.80    0.65    0.00    0.00    0.00    0.00    0.00    0.00   93.20
