Linux 5.15.0-141-generic (node7) 	06/09/2025 	_x86_64_	(20 CPU)

03:10:37 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:10:38 AM  all   15.76    0.00    0.65    1.90    0.00    0.15    0.00    0.00    0.00   81.55
03:10:39 AM  all   17.39    0.00    1.00    0.30    0.00    0.00    0.00    0.00    0.00   81.31
03:10:40 AM  all    3.50    0.00    0.45    0.85    0.00    0.05    0.00    0.00    0.00   95.15
03:10:41 AM  all    1.05    0.00    0.50    0.30    0.00    0.10    0.00    0.00    0.00   98.05
03:10:42 AM  all   20.71    0.00    1.66    0.10    0.00    0.05    0.00    0.00    0.00   77.48
03:10:43 AM  all   93.71    0.00    6.29    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:10:44 AM  all   93.74    0.00    6.26    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:10:45 AM  all   93.05    0.00    6.95    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:10:46 AM  all   94.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:10:47 AM  all   92.21    0.00    7.79    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:10:48 AM  all   91.94    0.00    8.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:10:49 AM  all   92.99    0.00    7.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:10:50 AM  all   91.55    0.00    8.45    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:10:51 AM  all   91.50    0.00    8.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:10:52 AM  all   92.40    0.00    7.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:10:53 AM  all   93.30    0.00    6.70    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:10:54 AM  all   93.46    0.00    6.54    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:10:55 AM  all   93.89    0.00    6.11    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:10:56 AM  all   92.95    0.00    6.80    0.00    0.00    0.00    0.00    0.00    0.00    0.25
03:10:57 AM  all   19.63    0.00    4.45    0.00    0.00    0.05    0.00    0.00    0.00   75.87
03:10:58 AM  all   12.38    0.00    3.54    0.00    0.00    0.00    0.00    0.00    0.00   84.07
03:10:59 AM  all   11.99    0.00    3.51    0.00    0.00    0.00    0.00    0.00    0.00   84.50
03:11:00 AM  all   12.49    0.00    3.05    0.00    0.00    0.05    0.00    0.00    0.00   84.41
03:11:01 AM  all   12.62    0.00    3.61    0.05    0.00    0.25    0.00    0.00    0.00   83.48
03:11:02 AM  all   12.67    0.00    4.06    0.25    0.00    0.25    0.00    0.00    0.00   82.77
03:11:03 AM  all   12.90    0.00    3.77    0.00    0.00    0.00    0.00    0.00    0.00   83.33
03:11:04 AM  all   13.05    0.00    3.83    0.05    0.00    0.30    0.00    0.00    0.00   82.77
03:11:05 AM  all   12.91    0.00    3.95    0.00    0.00    0.10    0.00    0.00    0.00   83.04
03:11:06 AM  all   14.11    0.00    3.90    0.20    0.00    0.10    0.00    0.00    0.00   81.68
03:11:07 AM  all   13.02    0.00    4.04    0.10    0.00    0.10    0.00    0.00    0.00   82.74
03:11:08 AM  all   13.02    0.00    3.96    0.00    0.00    0.10    0.00    0.00    0.00   82.92
03:11:09 AM  all   13.06    0.00    3.82    0.00    0.00    0.20    0.00    0.00    0.00   82.92
03:11:10 AM  all   12.81    0.00    4.09    0.00    0.00    0.30    0.00    0.00    0.00   82.80
03:11:11 AM  all   12.70    0.00    4.05    0.05    0.00    0.25    0.00    0.00    0.00   82.95
03:11:12 AM  all   12.78    0.00    3.91    0.00    0.00    0.10    0.00    0.00    0.00   83.22
03:11:13 AM  all   12.59    0.00    4.40    0.15    0.00    0.10    0.00    0.00    0.00   82.76
03:11:14 AM  all   12.59    0.00    3.81    0.00    0.00    0.25    0.00    0.00    0.00   83.34
03:11:15 AM  all   13.71    0.00    3.85    0.20    0.00    0.15    0.00    0.00    0.00   82.09
03:11:16 AM  all   12.91    0.00    4.25    0.05    0.00    0.15    0.00    0.00    0.00   82.64
03:11:17 AM  all   13.01    0.00    3.64    0.00    0.00    0.50    0.00    0.00    0.00   82.85
03:11:18 AM  all   13.56    0.00    4.40    0.05    0.00    0.25    0.00    0.00    0.00   81.74
03:11:19 AM  all   16.07    0.00    4.89    0.10    0.00    0.15    0.00    0.00    0.00   78.79
03:11:20 AM  all    3.66    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   95.29
03:11:21 AM  all    0.30    0.00    0.20    0.10    0.00    0.00    0.00    0.00    0.00   99.40
03:11:22 AM  all    0.45    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   99.15
03:11:23 AM  all    0.30    0.00    0.10    0.00    0.00    0.10    0.00    0.00    0.00   99.50
03:11:24 AM  all    0.60    0.00    0.20    0.00    0.00    0.05    0.00    0.00    0.00   99.15
03:11:25 AM  all    0.40    0.00    0.20    0.05    0.00    0.00    0.00    0.00    0.00   99.35
03:11:26 AM  all   83.03    0.00   10.31    0.00    0.00    0.35    0.00    0.00    0.00    6.31
03:11:27 AM  all   88.44    5.85    5.70    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:11:28 AM  all   79.51   16.14    4.05    0.00    0.00    0.30    0.00    0.00    0.00    0.00
03:11:29 AM  all   81.13   15.02    3.45    0.00    0.00    0.15    0.00    0.00    0.00    0.25
03:11:30 AM  all   49.32   37.94    5.26    0.00    0.00    0.51    0.00    0.00    0.00    6.98
03:11:31 AM  all   24.67   55.59    5.84    0.05    0.00    0.86    0.00    0.00    0.00   12.99
03:11:32 AM  all   23.59   56.56    6.48    0.00    0.00    0.76    0.00    0.00    0.00   12.61
03:11:33 AM  all   23.43   57.56    5.73    0.00    0.00    0.91    0.00    0.00    0.00   12.37
03:11:34 AM  all   21.96   58.63    6.08    0.00    0.00    0.82    0.00    0.00    0.00   12.51
03:11:35 AM  all   23.75   57.77    5.11    0.00    0.00    0.81    0.00    0.00    0.00   12.56
03:11:36 AM  all   24.29   57.35    5.48    0.00    0.00    0.76    0.00    0.00    0.00   12.12
03:11:37 AM  all   23.15   58.83    4.82    0.05    0.00    0.71    0.00    0.00    0.00   12.44
03:11:38 AM  all   23.93   57.66    5.36    0.00    0.00    0.86    0.00    0.00    0.00   12.19
03:11:39 AM  all   23.05   57.06    6.56    0.00    0.00    1.05    0.00    0.00    0.00   12.27
03:11:40 AM  all   25.03   57.20    5.16    0.00    0.00    0.46    0.00    0.00    0.00   12.16
03:11:41 AM  all   23.79   57.39    5.99    0.00    0.00    0.80    0.00    0.00    0.00   12.02
03:11:42 AM  all   23.57   58.06    5.46    0.00    0.00    0.66    0.00    0.00    0.00   12.24
03:11:43 AM  all   24.26   56.70    5.38    0.05    0.00    0.91    0.00    0.00    0.00   12.69
03:11:44 AM  all   24.10   57.77    5.04    0.00    0.00    0.92    0.00    0.00    0.00   12.18
03:11:45 AM  all   23.39   57.91    5.39    0.00    0.00    0.96    0.00    0.00    0.00   12.35
03:11:46 AM  all   23.02   59.08    4.72    0.05    0.00    0.66    0.00    0.00    0.00   12.47
