Linux 5.15.0-141-generic (node7) 	06/09/2025 	_x86_64_	(20 CPU)

03:55:36 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:55:37 AM  all   15.37    0.00    0.70    1.90    0.00    0.15    0.00    0.00    0.00   81.88
03:55:38 AM  all   17.27    0.00    0.60    0.20    0.00    0.00    0.00    0.00    0.00   81.93
03:55:39 AM  all    2.26    0.00    0.45    0.65    0.00    0.00    0.00    0.00    0.00   96.64
03:55:40 AM  all    0.30    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.60
03:55:41 AM  all    0.25    0.05    0.20    0.15    0.00    0.00    0.00    0.00    0.00   99.35
03:55:42 AM  all   16.83    0.00    0.80    0.25    0.00    0.00    0.00    0.00    0.00   82.11
03:55:43 AM  all   80.35    0.00    5.96    0.00    0.00    0.00    0.00    0.00    0.00   13.68
03:55:44 AM  all   93.45    0.00    6.55    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:55:45 AM  all   92.56    0.00    7.44    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:55:46 AM  all   92.84    0.00    7.16    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:55:47 AM  all   93.09    0.00    6.91    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:55:48 AM  all   92.65    0.00    7.35    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:55:49 AM  all   92.94    0.00    7.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:55:50 AM  all   91.31    0.00    8.69    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:55:51 AM  all   91.61    0.00    8.39    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:55:52 AM  all   93.15    0.00    6.85    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:55:53 AM  all   94.10    0.00    5.90    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:55:54 AM  all   94.06    0.00    5.94    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:55:55 AM  all   93.74    0.00    6.26    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:55:56 AM  all   94.50    0.00    5.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:55:57 AM  all   35.07    0.00    5.06    0.00    0.00    0.00    0.00    0.00    0.00   59.87
03:55:58 AM  all   12.62    0.00    3.66    0.00    0.00    0.00    0.00    0.00    0.00   83.73
03:55:59 AM  all   11.73    0.00    3.66    0.00    0.00    0.00    0.00    0.00    0.00   84.61
03:56:00 AM  all   12.01    0.00    3.50    0.05    0.00    0.00    0.00    0.00    0.00   84.43
03:56:01 AM  all   12.00    0.00    3.46    0.00    0.00    0.05    0.00    0.00    0.00   84.49
03:56:02 AM  all   12.51    0.00    3.67    0.10    0.00    0.05    0.00    0.00    0.00   83.68
03:56:03 AM  all   12.51    0.00    3.77    0.00    0.00    0.20    0.00    0.00    0.00   83.53
03:56:04 AM  all   12.69    0.00    4.26    0.00    0.00    0.10    0.00    0.00    0.00   82.94
03:56:05 AM  all   13.26    0.00    3.97    0.30    0.00    0.20    0.00    0.00    0.00   82.27
03:56:06 AM  all   12.46    0.00    3.92    0.10    0.00    0.05    0.00    0.00    0.00   83.48
03:56:07 AM  all   12.76    0.00    4.07    0.00    0.00    0.00    0.00    0.00    0.00   83.17
03:56:08 AM  all   12.69    0.00    3.86    0.00    0.00    0.10    0.00    0.00    0.00   83.35
03:56:09 AM  all   12.52    0.00    4.06    0.15    0.00    0.10    0.00    0.00    0.00   83.17
03:56:10 AM  all   12.87    0.00    3.83    0.00    0.00    0.05    0.00    0.00    0.00   83.25
03:56:11 AM  all   12.94    0.00    3.51    0.00    0.00    0.10    0.00    0.00    0.00   83.45
03:56:12 AM  all   12.78    0.00    3.84    0.10    0.00    0.25    0.00    0.00    0.00   83.03
03:56:13 AM  all   12.98    0.00    3.96    0.00    0.00    0.30    0.00    0.00    0.00   82.77
03:56:14 AM  all   12.40    0.00    4.07    0.00    0.00    0.10    0.00    0.00    0.00   83.43
03:56:15 AM  all   12.54    0.00    3.73    0.05    0.00    0.10    0.00    0.00    0.00   83.59
03:56:16 AM  all   12.81    0.00    3.97    0.00    0.00    0.25    0.00    0.00    0.00   82.97
03:56:17 AM  all   12.79    0.00    3.66    0.10    0.00    0.25    0.00    0.00    0.00   83.20
03:56:18 AM  all   12.42    0.00    4.01    0.05    0.00    0.25    0.00    0.00    0.00   83.27
03:56:19 AM  all   13.63    0.00    3.97    0.00    0.00    0.15    0.00    0.00    0.00   82.24
03:56:20 AM  all   14.21    0.00    3.82    0.00    0.00    0.10    0.00    0.00    0.00   81.87
03:56:21 AM  all    1.91    0.00    0.85    0.10    0.00    0.00    0.00    0.00    0.00   97.13
03:56:22 AM  all    0.20    0.00    0.20    0.05    0.00    0.00    0.00    0.00    0.00   99.55
03:56:23 AM  all    0.05    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.85
03:56:24 AM  all    0.20    0.00    0.20    0.05    0.00    0.00    0.00    0.00    0.00   99.55
03:56:25 AM  all    0.25    0.00    0.30    0.00    0.00    0.00    0.00    0.00    0.00   99.45
03:56:26 AM  all   43.47    0.00    8.33    0.15    0.00    0.45    0.00    0.00    0.00   47.61
03:56:27 AM  all   84.64    8.54    6.77    0.00    0.00    0.00    0.00    0.00    0.00    0.05
03:56:28 AM  all   76.51   18.85    4.64    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:56:29 AM  all   75.36   21.02    3.52    0.00    0.00    0.00    0.00    0.00    0.00    0.10
03:56:30 AM  all   72.47   22.44    4.69    0.00    0.00    0.00    0.00    0.00    0.00    0.40
03:56:31 AM  all    6.55   76.47    4.62    0.00    0.00    0.10    0.00    0.00    0.00   12.25
03:56:32 AM  all    4.74   78.79    4.44    0.05    0.00    0.10    0.00    0.00    0.00   11.88
03:56:33 AM  all    6.84   75.44    4.51    0.10    0.00    0.25    0.00    0.00    0.00   12.86
03:56:34 AM  all    5.99   78.43    4.92    0.00    0.00    0.10    0.00    0.00    0.00   10.55
03:56:35 AM  all    6.24   77.06    4.67    0.00    0.00    0.25    0.00    0.00    0.00   11.78
03:56:36 AM  all    6.18   76.61    4.85    0.00    0.00    0.26    0.00    0.00    0.00   12.10
03:56:37 AM  all    7.34   76.91    4.48    0.00    0.00    0.20    0.00    0.00    0.00   11.07
03:56:38 AM  all    5.96   79.05    4.43    0.00    0.00    0.10    0.00    0.00    0.00   10.45
03:56:39 AM  all    6.11   78.32    4.17    0.05    0.00    0.10    0.00    0.00    0.00   11.25
03:56:40 AM  all    6.18   77.73    4.80    0.00    0.00    0.26    0.00    0.00    0.00   11.03
03:56:41 AM  all    5.98   77.85    4.60    0.00    0.00    0.05    0.00    0.00    0.00   11.51
03:56:42 AM  all    7.02   76.22    4.59    0.00    0.00    0.25    0.00    0.00    0.00   11.91
03:56:43 AM  all    5.32   78.52    4.55    0.00    0.00    0.05    0.00    0.00    0.00   11.56
03:56:44 AM  all    5.41   77.97    5.10    0.00    0.00    0.15    0.00    0.00    0.00   11.37
03:56:45 AM  all    5.37   78.07    4.91    0.00    0.00    0.05    0.00    0.00    0.00   11.61
03:56:46 AM  all    7.07   76.59    5.04    0.00    0.00    0.10    0.00    0.00    0.00   11.20
03:56:47 AM  all    4.37   79.76    4.48    0.00    0.00    0.20    0.00    0.00    0.00   11.19
03:56:48 AM  all    6.39   77.13    4.56    0.05    0.00    0.10    0.00    0.00    0.00   11.76
