Linux 5.15.0-141-generic (node7) 	06/09/2025 	_x86_64_	(20 CPU)

03:42:44 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:42:45 AM  all   15.34    0.00    0.80    1.85    0.00    0.00    0.00    0.00    0.00   82.01
03:42:46 AM  all   17.12    0.00    0.70    0.20    0.00    0.00    0.00    0.00    0.00   81.98
03:42:47 AM  all    2.16    0.00    0.40    0.60    0.00    0.10    0.00    0.00    0.00   96.74
03:42:48 AM  all    0.20    0.00    0.15    0.10    0.00    0.05    0.00    0.00    0.00   99.50
03:42:49 AM  all    1.20    0.00    0.20    0.20    0.00    0.00    0.00    0.00    0.00   98.40
03:42:50 AM  all   16.76    0.00    1.11    0.15    0.00    0.00    0.00    0.00    0.00   81.98
03:42:51 AM  all   87.64    0.00    6.31    0.00    0.00    0.00    0.00    0.00    0.00    6.06
03:42:52 AM  all   95.55    0.00    4.45    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:42:53 AM  all   92.59    0.00    7.41    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:42:54 AM  all   61.89    0.00    7.01    0.00    0.00    0.00    0.00    0.00    0.00   31.10
03:42:55 AM  all   13.01    0.00    3.60    0.05    0.00    0.00    0.00    0.00    0.00   83.33
03:42:56 AM  all   13.10    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   82.94
03:42:57 AM  all   13.08    0.00    3.66    0.05    0.00    0.00    0.00    0.00    0.00   83.22
03:42:58 AM  all   13.90    0.00    3.95    0.00    0.00    0.05    0.00    0.00    0.00   82.10
03:42:59 AM  all    6.37    0.00    1.85    0.00    0.00    0.00    0.00    0.00    0.00   91.78
03:43:00 AM  all    0.10    0.00    0.10    0.15    0.00    0.00    0.00    0.00    0.00   99.65
03:43:01 AM  all    0.35    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.45
03:43:02 AM  all   79.03    6.71    5.46    0.10    0.00    0.10    0.00    0.00    0.00    8.61
03:43:03 AM  all   61.50   31.86    2.72    0.00    0.00    0.10    0.00    0.00    0.00    3.82
03:43:04 AM  all    8.76   74.90    4.84    0.00    0.00    0.15    0.00    0.00    0.00   11.35
03:43:05 AM  all    8.89   75.01    5.16    0.05    0.00    0.15    0.00    0.00    0.00   10.73
03:43:06 AM  all    9.23   74.86    4.39    0.00    0.00    0.10    0.00    0.00    0.00   11.42
03:43:07 AM  all    9.61   74.89    4.37    0.00    0.00    0.05    0.00    0.00    0.00   11.08
03:43:08 AM  all    8.92   75.86    4.01    0.00    0.00    0.20    0.00    0.00    0.00   11.00
03:43:09 AM  all    7.93   75.85    4.37    0.00    0.00    0.31    0.00    0.00    0.00   11.54
03:43:10 AM  all    8.51   76.45    3.62    0.05    0.00    0.15    0.00    0.00    0.00   11.21
03:43:11 AM  all    8.33   76.72    4.14    0.00    0.00    0.05    0.00    0.00    0.00   10.76
03:43:12 AM  all    8.75   75.47    4.20    0.00    0.00    0.15    0.00    0.00    0.00   11.43
03:43:13 AM  all    8.59   75.70    4.35    0.00    0.00    0.15    0.00    0.00    0.00   11.20
03:43:14 AM  all    8.41   76.74    4.16    0.00    0.00    0.05    0.00    0.00    0.00   10.64
03:43:15 AM  all    7.93   75.91    4.52    0.00    0.00    0.10    0.00    0.00    0.00   11.53
03:43:16 AM  all    8.27   76.09    4.52    0.00    0.00    0.05    0.00    0.00    0.00   11.07
03:43:17 AM  all    8.35   75.85    4.56    0.00    0.00    0.15    0.00    0.00    0.00   11.09
03:43:18 AM  all    8.15   76.50    4.23    0.00    0.00    0.20    0.00    0.00    0.00   10.91
03:43:19 AM  all    8.26   75.57    4.66    0.00    0.00    0.25    0.00    0.00    0.00   11.25
03:43:20 AM  all    9.14   75.79    3.91    0.00    0.00    0.05    0.00    0.00    0.00   11.12
03:43:21 AM  all    8.03   77.12    3.81    0.00    0.00    0.15    0.00    0.00    0.00   10.88
03:43:22 AM  all    8.98   75.33    4.21    0.00    0.00    0.05    0.00    0.00    0.00   11.42
03:43:23 AM  all    8.50   76.33    3.79    0.00    0.00    0.20    0.00    0.00    0.00   11.18
03:43:24 AM  all    8.77   75.04    4.59    0.00    0.00    0.15    0.00    0.00    0.00   11.45
03:43:25 AM  all    8.24   76.54    4.10    0.00    0.00    0.15    0.00    0.00    0.00   10.97
03:43:26 AM  all    8.75   76.45    3.87    0.00    0.00    0.10    0.00    0.00    0.00   10.83
03:43:27 AM  all    8.17   76.24    4.06    0.00    0.00    0.10    0.00    0.00    0.00   11.42
03:43:28 AM  all    8.74   75.44    4.80    0.00    0.00    0.20    0.00    0.00    0.00   10.81
03:43:29 AM  all    9.00   75.77    4.60    0.00    0.00    0.10    0.00    0.00    0.00   10.52
03:43:30 AM  all    6.42   76.85    4.16    0.05    0.00    0.10    0.00    0.00    0.00   12.42
03:43:31 AM  all    8.26   76.39    4.33    0.00    0.00    0.20    0.00    0.00    0.00   10.81
03:43:32 AM  all   71.51   18.61    5.37    0.00    0.00    0.00    0.00    0.00    0.00    4.51
03:43:33 AM  all   24.89    0.00    2.30    0.05    0.00    0.00    0.00    0.00    0.00   72.76
03:43:34 AM  all   17.18   18.35    1.88    0.05    0.00    0.00    0.00    0.00    0.00   62.54
03:43:35 AM  all    6.30   28.54    2.64    0.00    0.00    0.05    0.00    0.00    0.00   62.47
03:43:36 AM  all    7.07   27.79    2.88    0.00    0.00    0.05    0.00    0.00    0.00   62.20
03:43:37 AM  all    7.24   27.53    3.14    0.00    0.00    0.05    0.00    0.00    0.00   62.04
03:43:38 AM  all    6.14   29.24    2.52    0.00    0.00    0.10    0.00    0.00    0.00   62.00
03:43:39 AM  all    6.76   27.89    3.18    0.00    0.00    0.20    0.00    0.00    0.00   61.98
03:43:40 AM  all    6.57   26.85    3.24    0.05    0.00    0.10    0.00    0.00    0.00   63.20
