Linux 5.15.0-141-generic (node7) 	06/08/2025 	_x86_64_	(20 CPU)

09:32:56 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:32:57 PM  all   15.48    0.00    0.85    1.85    0.00    0.05    0.00    0.00    0.00   81.77
09:32:58 PM  all   17.38    0.00    0.50    0.25    0.00    0.00    0.00    0.00    0.00   81.86
09:32:59 PM  all    2.46    0.00    0.55    0.65    0.00    0.05    0.00    0.00    0.00   96.29
09:33:00 PM  all    0.65    0.00    0.30    0.00    0.00    0.05    0.00    0.00    0.00   99.00
09:33:01 PM  all    0.70    0.00    0.25    0.00    0.00    0.05    0.00    0.00    0.00   99.00
09:33:02 PM  all   17.22    0.00    0.90    0.30    0.00    0.00    0.00    0.00    0.00   81.58
09:33:03 PM  all   58.77    0.00    3.60    0.00    0.00    0.10    0.00    0.00    0.00   37.53
09:33:04 PM  all   93.49    0.00    6.51    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:33:05 PM  all   54.52    0.00    6.60    0.00    0.00    0.10    0.00    0.00    0.00   38.78
09:33:06 PM  all    5.21    0.00    2.05    2.30    0.00    0.05    0.00    0.00    0.00   90.38
09:33:07 PM  all    0.50    0.00    0.30    0.00    0.00    0.00    0.00    0.00    0.00   99.20
09:33:08 PM  all    0.80    0.00    0.40    0.00    0.00    0.05    0.00    0.00    0.00   98.75
09:33:09 PM  all    0.45    0.00    0.20    0.05    0.00    0.10    0.00    0.00    0.00   99.20
09:33:10 PM  all    0.60    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.15
09:33:11 PM  all    0.85    0.00    0.25    0.00    0.00    0.10    0.00    0.00    0.00   98.81
09:33:12 PM  all    0.35    0.00    0.30    0.05    0.00    0.05    0.00    0.00    0.00   99.25
09:33:13 PM  all   25.54    0.00    2.00    0.40    0.00    0.00    0.00    0.00    0.00   72.06
09:33:14 PM  all   68.20   27.00    3.25    0.00    0.00    0.05    0.00    0.00    0.00    1.50
09:33:15 PM  all   25.90   62.68    4.16    0.05    0.00    0.25    0.00    0.00    0.00    6.96
09:33:16 PM  all   26.67   64.34    3.59    0.00    0.00    0.05    0.00    0.00    0.00    5.35
09:33:17 PM  all   25.04   64.51    4.34    0.05    0.00    0.15    0.00    0.00    0.00    5.91
09:33:18 PM  all   25.93   66.88    3.87    0.00    0.00    0.25    0.00    0.00    0.00    3.07
09:33:19 PM  all   24.56   66.08    3.32    0.00    0.00    0.15    0.00    0.00    0.00    5.89
09:33:20 PM  all   25.49   64.94    4.58    0.00    0.00    0.20    0.00    0.00    0.00    4.79
09:33:21 PM  all   25.40   63.96    3.68    0.00    0.00    0.76    0.00    0.00    0.00    6.20
09:33:22 PM  all   25.59   66.43    3.31    0.00    0.00    0.15    0.00    0.00    0.00    4.52
09:33:23 PM  all   25.09   62.32    5.02    0.10    0.00    0.30    0.00    0.00    0.00    7.18
09:33:24 PM  all   25.66   64.77    3.83    0.00    0.00    0.15    0.00    0.00    0.00    5.59
09:33:25 PM  all   24.82   63.77    4.52    0.00    0.00    0.30    0.00    0.00    0.00    6.58
09:33:26 PM  all   24.67   66.80    3.91    0.00    0.00    0.20    0.00    0.00    0.00    4.41
09:33:27 PM  all   26.70   63.83    4.16    0.00    0.00    0.30    0.00    0.00    0.00    5.01
09:33:28 PM  all   25.77   64.55    4.03    0.00    0.00    0.20    0.00    0.00    0.00    5.45
09:33:29 PM  all   24.74   66.10    4.03    0.00    0.00    0.35    0.00    0.00    0.00    4.79
09:33:30 PM  all   25.58   65.59    4.04    0.00    0.00    0.20    0.00    0.00    0.00    4.59
09:33:31 PM  all   23.43   64.63    4.23    0.00    0.00    0.35    0.00    0.00    0.00    7.36
09:33:32 PM  all   26.31   63.68    4.48    0.00    0.00    0.40    0.00    0.00    0.00    5.13
09:33:33 PM  all   27.91   64.63    3.58    0.00    0.00    0.35    0.00    0.00    0.00    3.53
09:33:34 PM  all   26.05   65.00    4.70    0.00    0.00    0.35    0.00    0.00    0.00    3.90
09:33:35 PM  all   26.43   63.19    4.31    0.00    0.00    0.30    0.00    0.00    0.00    5.77
09:33:36 PM  all   27.53   63.06    3.90    0.00    0.00    0.25    0.00    0.00    0.00    5.26
09:33:37 PM  all   26.37   63.81    4.26    0.00    0.00    0.25    0.00    0.00    0.00    5.31
09:33:38 PM  all   26.14   65.23    4.37    0.00    0.00    0.45    0.00    0.00    0.00    3.81
09:33:39 PM  all   27.67   64.54    4.02    0.00    0.00    0.20    0.00    0.00    0.00    3.57
09:33:40 PM  all   26.83   64.26    4.05    0.00    0.00    0.60    0.00    0.00    0.00    4.25
09:33:41 PM  all   27.14   65.12    3.80    0.00    0.00    0.40    0.00    0.00    0.00    3.55
09:33:42 PM  all   27.09   61.51    4.42    0.00    0.00    0.30    0.00    0.00    0.00    6.68
09:33:43 PM  all   38.40   51.88    4.01    0.00    0.00    0.15    0.00    0.00    0.00    5.56
09:33:44 PM  all   36.37    0.00    3.80    0.05    0.00    0.05    0.00    0.00    0.00   59.73
09:33:45 PM  all   16.46    4.93    2.64    0.10    0.00    0.10    0.00    0.00    0.00   75.76
09:33:46 PM  all   10.78   13.96    2.46    0.00    0.00    0.05    0.00    0.00    0.00   72.74
09:33:47 PM  all   11.02   12.58    2.85    0.00    0.00    0.16    0.00    0.00    0.00   73.40
09:33:48 PM  all   10.80   21.18    2.84    0.00    0.00    0.05    0.00    0.00    0.00   65.14
09:33:49 PM  all    8.13   11.78    1.78    0.00    0.00    0.10    0.00    0.00    0.00   78.21
