Linux 5.15.0-141-generic (node7) 	06/08/2025 	_x86_64_	(20 CPU)

08:08:03 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:08:04 PM  all   15.58    0.00    0.95    1.80    0.00    0.10    0.00    0.00    0.00   81.56
08:08:05 PM  all   17.55    0.00    0.55    0.35    0.00    0.05    0.00    0.00    0.00   81.50
08:08:06 PM  all    7.54    0.00    0.96    0.96    0.00    0.05    0.00    0.00    0.00   90.50
08:08:07 PM  all    0.85    0.00    0.30    0.40    0.00    0.20    0.00    0.00    0.00   98.25
08:08:08 PM  all   24.84    0.00    2.10    0.05    0.00    0.00    0.00    0.00    0.00   73.01
08:08:09 PM  all   94.20    0.00    5.80    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:08:10 PM  all   93.84    0.00    6.16    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:08:11 PM  all   93.01    0.00    6.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:08:12 PM  all   92.60    0.00    7.40    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:08:13 PM  all   93.15    0.00    6.85    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:08:14 PM  all   92.64    0.00    7.36    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:08:15 PM  all   91.75    0.00    8.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:08:16 PM  all   91.81    0.00    8.19    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:08:17 PM  all   91.21    0.00    8.79    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:08:18 PM  all   92.10    0.00    7.90    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:08:19 PM  all   93.14    0.00    6.86    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:08:20 PM  all   94.20    0.00    5.80    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:08:21 PM  all   93.21    0.00    6.79    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:08:22 PM  all   55.26    0.00    7.31    0.00    0.00    0.00    0.00    0.00    0.00   37.44
08:08:23 PM  all   18.07    0.00    3.66    0.00    0.00    0.05    0.00    0.00    0.00   78.21
08:08:24 PM  all   18.12    0.00    3.45    0.05    0.00    0.00    0.00    0.00    0.00   78.38
08:08:25 PM  all   18.49    0.00    3.57    0.00    0.00    0.00    0.00    0.00    0.00   77.94
08:08:26 PM  all   21.53    0.00    4.46    0.25    0.00    0.10    0.00    0.00    0.00   73.66
08:08:27 PM  all   18.74    0.00    4.41    0.10    0.00    0.10    0.00    0.00    0.00   76.65
08:08:28 PM  all   19.87    0.00    4.00    0.00    0.00    0.15    0.00    0.00    0.00   75.98
08:08:29 PM  all   20.05    0.00    3.96    0.00    0.00    0.05    0.00    0.00    0.00   75.94
08:08:30 PM  all   18.91    0.00    4.56    0.00    0.00    0.05    0.00    0.00    0.00   76.48
08:08:31 PM  all   18.74    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   77.14
08:08:32 PM  all   23.95    0.00    4.26    0.05    0.00    0.10    0.00    0.00    0.00   71.64
08:08:33 PM  all    9.77    0.00    2.25    0.00    0.00    0.00    0.00    0.00    0.00   87.98
08:08:34 PM  all    0.35    0.00    0.10    0.10    0.00    0.00    0.00    0.00    0.00   99.45
08:08:35 PM  all    0.35    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.50
08:08:36 PM  all    0.20    0.00    0.10    0.05    0.00    0.00    0.00    0.00    0.00   99.65
08:08:37 PM  all    0.20    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   99.45
08:08:38 PM  all    0.35    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.50
08:08:39 PM  all    0.35    0.00    0.20    0.05    0.00    0.00    0.00    0.00    0.00   99.40
08:08:40 PM  all    0.50    0.00    0.25    0.25    0.00    0.00    0.00    0.00    0.00   99.00
08:08:41 PM  all   57.62    0.00    8.97    0.00    0.00    0.70    0.00    0.00    0.00   32.72
08:08:42 PM  all   93.79    0.40    5.81    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:08:43 PM  all   92.71    2.15    4.84    0.00    0.00    0.25    0.00    0.00    0.00    0.05
08:08:44 PM  all   88.52    5.62    4.97    0.00    0.00    0.30    0.00    0.00    0.00    0.60
08:08:45 PM  all   52.66   28.98    6.98    0.00    0.00    1.92    0.00    0.00    0.00    9.46
08:08:46 PM  all   50.81   30.00    6.60    0.00    0.00    1.62    0.00    0.00    0.00   10.96
08:08:47 PM  all   51.30   28.20    6.25    0.05    0.00    2.10    0.00    0.00    0.00   12.10
08:08:48 PM  all   51.57   30.41    6.17    0.00    0.00    1.67    0.00    0.00    0.00   10.17
08:08:49 PM  all   52.57   29.44    5.13    0.00    0.00    1.78    0.00    0.00    0.00   11.08
08:08:50 PM  all   50.38   30.92    6.01    0.00    0.00    1.36    0.00    0.00    0.00   11.32
08:08:51 PM  all   51.69   30.01    6.15    0.05    0.00    1.41    0.00    0.00    0.00   10.69
08:08:52 PM  all   52.36   30.48    6.49    0.00    0.00    1.41    0.00    0.00    0.00    9.26
08:08:53 PM  all   51.09   29.79    6.22    0.00    0.00    1.21    0.00    0.00    0.00   11.68
08:08:54 PM  all   51.96   30.73    5.48    0.00    0.00    1.51    0.00    0.00    0.00   10.31
08:08:55 PM  all   52.99   31.05    5.52    0.00    0.00    1.11    0.00    0.00    0.00    9.32
08:08:56 PM  all   51.39   30.48    6.57    0.00    0.00    1.54    0.00    0.00    0.00   10.01
08:08:57 PM  all   49.42   32.00    6.56    0.05    0.00    1.62    0.00    0.00    0.00   10.35
08:08:58 PM  all   52.55   29.52    6.23    0.00    0.00    1.24    0.00    0.00    0.00   10.46
08:08:59 PM  all   51.06   30.08    6.39    0.00    0.00    1.81    0.00    0.00    0.00   10.66
08:09:00 PM  all   52.33   31.33    5.47    0.05    0.00    1.27    0.00    0.00    0.00    9.56
08:09:01 PM  all   51.29   31.14    6.03    0.00    0.00    1.87    0.00    0.00    0.00    9.67
08:09:02 PM  all   51.68   31.27    5.53    0.00    0.00    1.12    0.00    0.00    0.00   10.41
08:09:03 PM  all   50.93   30.81    5.55    0.05    0.00    1.66    0.00    0.00    0.00   10.99
08:09:04 PM  all   52.59   30.17    6.03    0.00    0.00    1.66    0.00    0.00    0.00    9.55
08:09:05 PM  all   51.36   30.92    5.87    0.00    0.00    1.46    0.00    0.00    0.00   10.39
08:09:06 PM  all   52.02   32.09    5.26    0.05    0.00    1.38    0.00    0.00    0.00    9.20
08:09:07 PM  all   50.63   30.39    5.78    0.00    0.00    1.93    0.00    0.00    0.00   11.26
08:09:08 PM  all   52.50   31.10    5.41    0.00    0.00    1.28    0.00    0.00    0.00    9.70
08:09:09 PM  all   52.32   31.07    5.79    0.00    0.00    1.36    0.00    0.00    0.00    9.47
08:09:10 PM  all   52.15   31.34    6.28    0.00    0.00    1.77    0.00    0.00    0.00    8.46
08:09:11 PM  all   50.50   24.72    7.89    0.00    0.00    1.06    0.00    0.00    0.00   15.83
08:09:12 PM  all    5.89    0.15    0.86    0.05    0.00    0.00    0.00    0.00    0.00   93.05
08:09:13 PM  all    5.17    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   94.58
08:09:14 PM  all    5.15    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   94.70
08:09:15 PM  all   70.73    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   28.92
08:09:16 PM  all   99.70    0.00    0.30    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:09:17 PM  all   98.85    0.00    1.15    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:09:18 PM  all   53.84    0.00   17.78    0.05    0.00    0.15    0.00    0.00    0.00   28.18
08:09:19 PM  all   29.96    0.20    0.90    0.10    0.00    0.00    0.00    0.00    0.00   68.84
08:09:20 PM  all    6.36    1.46    1.46    0.00    0.00    0.05    0.00    0.00    0.00   90.67
08:09:21 PM  all    6.41    1.11    1.26    0.05    0.00    0.10    0.00    0.00    0.00   91.07
08:09:22 PM  all    6.23    1.11    1.27    0.00    0.00    0.15    0.00    0.00    0.00   91.24
08:09:23 PM  all    6.20    0.71    1.63    0.00    0.00    0.10    0.00    0.00    0.00   91.36
08:09:24 PM  all    7.25    0.86    1.66    0.05    0.00    0.05    0.00    0.00    0.00   90.13
08:09:25 PM  all    8.32    0.45    1.99    0.00    0.00    0.05    0.00    0.00    0.00   89.19
08:09:26 PM  all    6.91    0.55    2.05    0.00    0.00    0.05    0.00    0.00    0.00   90.43
