Linux 5.15.0-141-generic (node7) 	06/08/2025 	_x86_64_	(20 CPU)

11:57:21 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:57:22 PM  all   15.40    0.00    0.80    2.06    0.00    0.15    0.00    0.00    0.00   81.59
11:57:23 PM  all   17.17    0.00    0.90    0.55    0.00    0.15    0.00    0.00    0.00   81.23
11:57:24 PM  all    3.69    0.00    0.65    0.65    0.00    0.10    0.00    0.00    0.00   94.91
11:57:25 PM  all    1.10    0.00    0.50    0.55    0.00    0.15    0.00    0.00    0.00   97.70
11:57:26 PM  all   17.12    0.00    0.95    0.15    0.00    0.00    0.00    0.00    0.00   81.78
11:57:27 PM  all   17.12    0.00    1.15    0.00    0.00    0.05    0.00    0.00    0.00   81.68
11:57:28 PM  all   17.67    1.41    1.20    0.35    0.00    0.25    0.00    0.00    0.00   79.12
11:57:29 PM  all    6.09    1.77    1.57    0.00    0.00    0.10    0.00    0.00    0.00   90.47
11:57:30 PM  all    5.79    1.83    1.32    0.00    0.00    0.10    0.00    0.00    0.00   90.96
11:57:31 PM  all    5.71    1.41    2.22    0.10    0.00    0.20    0.00    0.00    0.00   90.35
11:57:32 PM  all    6.39    1.66    1.81    0.00    0.00    0.25    0.00    0.00    0.00   89.88
11:57:33 PM  all    4.98    1.68    1.88    0.00    0.00    0.20    0.00    0.00    0.00   91.26
11:57:34 PM  all    5.51    1.87    1.77    0.05    0.00    0.35    0.00    0.00    0.00   90.45
11:57:35 PM  all    5.79    1.63    1.83    0.00    0.00    0.20    0.00    0.00    0.00   90.55
11:57:36 PM  all    5.56    1.82    1.72    0.20    0.00    0.20    0.00    0.00    0.00   90.50
11:57:37 PM  all    6.22    1.47    1.67    0.05    0.00    0.15    0.00    0.00    0.00   90.44
11:57:38 PM  all    5.96    1.52    2.12    0.00    0.00    0.25    0.00    0.00    0.00   90.15
11:57:39 PM  all    5.72    1.67    1.42    0.00    0.00    0.30    0.00    0.00    0.00   90.89
11:57:40 PM  all    5.58    1.93    1.72    0.05    0.00    0.20    0.00    0.00    0.00   90.52
11:57:41 PM  all    5.71    1.97    1.72    0.05    0.00    0.10    0.00    0.00    0.00   90.44
11:57:42 PM  all    5.73    1.83    1.72    0.20    0.00    0.25    0.00    0.00    0.00   90.26
11:57:43 PM  all    6.40    1.56    1.82    0.05    0.00    0.10    0.00    0.00    0.00   90.07
11:57:44 PM  all    5.47    1.77    1.52    0.00    0.00    0.30    0.00    0.00    0.00   90.94
11:57:45 PM  all    6.14    1.73    1.47    0.00    0.00    0.10    0.00    0.00    0.00   90.56
11:57:46 PM  all    5.72    1.67    1.82    0.05    0.00    0.25    0.00    0.00    0.00   90.48
11:57:47 PM  all    5.72    1.72    1.67    0.00    0.00    0.20    0.00    0.00    0.00   90.68
11:57:48 PM  all    6.54    1.46    1.96    0.00    0.00    0.25    0.00    0.00    0.00   89.78
11:57:49 PM  all    5.61    2.07    1.82    0.00    0.00    0.25    0.00    0.00    0.00   90.25
11:57:50 PM  all    5.22    2.23    1.72    0.00    0.00    0.10    0.00    0.00    0.00   90.72
11:57:51 PM  all    6.40    1.77    1.92    0.45    0.00    0.25    0.00    0.00    0.00   89.21
11:57:52 PM  all    5.53    1.78    1.62    0.00    0.00    0.20    0.00    0.00    0.00   90.86
11:57:53 PM  all    5.81    1.77    1.57    0.00    0.00    0.15    0.00    0.00    0.00   90.70
11:57:54 PM  all    5.72    1.82    1.27    0.00    0.00    0.25    0.00    0.00    0.00   90.94
11:57:55 PM  all    6.37    1.42    2.23    0.05    0.00    0.20    0.00    0.00    0.00   89.73
11:57:56 PM  all    6.02    1.72    1.42    0.00    0.00    0.20    0.00    0.00    0.00   90.64
11:57:57 PM  all    5.76    1.26    2.22    0.00    0.00    0.15    0.00    0.00    0.00   90.60
11:57:58 PM  all   18.16    0.10    1.05    0.10    0.00    0.00    0.00    0.00    0.00   80.59
11:57:59 PM  all   17.24    0.70    1.81    0.10    0.00    0.05    0.00    0.00    0.00   80.09
11:58:00 PM  all    7.71    1.36    2.12    0.00    0.00    0.10    0.00    0.00    0.00   88.71
11:58:01 PM  all    6.64    0.40    1.96    0.05    0.00    0.05    0.00    0.00    0.00   90.89
11:58:02 PM  all    6.94    0.69    2.03    0.00    0.00    0.05    0.00    0.00    0.00   90.28
11:58:03 PM  all    7.40    0.84    1.97    0.00    0.00    0.20    0.00    0.00    0.00   89.59
11:58:04 PM  all    6.73    0.60    1.81    0.00    0.00    0.15    0.00    0.00    0.00   90.71
11:58:05 PM  all   10.65    0.71    1.88    0.25    0.00    0.10    0.00    0.00    0.00   86.41
11:58:06 PM  all    6.77    0.76    1.87    0.00    0.00    0.10    0.00    0.00    0.00   90.50
11:58:07 PM  all    6.44    0.41    1.64    0.05    0.00    0.31    0.00    0.00    0.00   91.16
11:58:08 PM  all    6.38    0.56    1.97    0.05    0.00    0.15    0.00    0.00    0.00   90.89
