Linux 5.15.0-141-generic (node7) 	06/09/2025 	_x86_64_	(20 CPU)

12:37:34 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:37:35 AM  all   15.37    0.00    1.05    2.10    0.00    0.00    0.00    0.00    0.00   81.48
12:37:36 AM  all   17.26    0.00    0.95    0.55    0.00    0.15    0.00    0.00    0.00   81.10
12:37:37 AM  all    3.45    0.00    0.70    0.70    0.00    0.05    0.00    0.00    0.00   95.10
12:37:38 AM  all    1.71    0.00    0.50    0.50    0.00    0.05    0.00    0.00    0.00   97.24
12:37:39 AM  all   17.24    0.00    1.25    0.10    0.00    0.00    0.00    0.00    0.00   81.41
12:37:40 AM  all   88.65    0.00    6.00    0.00    0.00    0.05    0.00    0.00    0.00    5.30
12:37:41 AM  all   93.44    0.00    6.51    0.00    0.00    0.05    0.00    0.00    0.00    0.00
12:37:42 AM  all   92.55    0.00    7.45    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:37:43 AM  all   92.99    0.00    7.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:37:44 AM  all   92.37    0.00    7.63    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:37:45 AM  all   93.10    0.00    6.90    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:37:46 AM  all   91.84    0.00    8.16    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:37:47 AM  all   92.31    0.00    7.69    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:37:48 AM  all   92.16    0.00    7.84    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:37:49 AM  all   91.79    0.00    8.21    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:37:50 AM  all   94.29    0.00    5.71    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:37:51 AM  all   93.41    0.00    6.54    0.00    0.00    0.05    0.00    0.00    0.00    0.00
12:37:52 AM  all   93.35    0.00    6.65    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:37:53 AM  all   90.89    0.00    6.46    0.00    0.00    0.05    0.00    0.00    0.00    2.60
12:37:54 AM  all   17.24    0.00    4.05    0.00    0.00    0.05    0.00    0.00    0.00   78.66
12:37:55 AM  all   12.29    0.00    3.40    0.10    0.00    0.05    0.00    0.00    0.00   84.17
12:37:56 AM  all   12.21    0.00    3.25    0.00    0.00    0.00    0.00    0.00    0.00   84.53
12:37:57 AM  all   12.12    0.00    3.36    0.00    0.00    0.05    0.00    0.00    0.00   84.47
12:37:58 AM  all   12.19    0.00    3.60    0.10    0.00    0.30    0.00    0.00    0.00   83.81
12:37:59 AM  all   12.66    0.00    3.85    0.00    0.00    0.20    0.00    0.00    0.00   83.28
12:38:00 AM  all   12.93    0.00    4.09    0.00    0.00    0.05    0.00    0.00    0.00   82.93
12:38:01 AM  all   12.89    0.00    4.10    0.10    0.00    0.10    0.00    0.00    0.00   82.82
12:38:02 AM  all   13.21    0.00    4.10    0.30    0.00    0.10    0.00    0.00    0.00   82.28
