Linux 5.15.0-141-generic (node7) 	06/09/2025 	_x86_64_	(20 CPU)

12:08:58 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:08:59 AM  all   15.93    0.00    0.80    2.05    0.00    0.05    0.00    0.00    0.00   81.18
12:09:00 AM  all   17.00    0.00    0.90    0.65    0.00    0.15    0.00    0.00    0.00   81.31
12:09:01 AM  all    3.96    0.00    0.65    0.70    0.00    0.05    0.00    0.00    0.00   94.64
12:09:02 AM  all    1.30    0.00    0.35    0.25    0.00    0.05    0.00    0.00    0.00   98.05
12:09:03 AM  all   17.25    0.00    0.95    0.30    0.00    0.00    0.00    0.00    0.00   81.50
12:09:04 AM  all   52.88    0.00    3.40    0.00    0.00    0.00    0.00    0.00    0.00   43.72
12:09:05 AM  all   10.29    0.00    2.85    0.00    0.00    0.20    0.00    0.00    0.00   86.66
12:09:06 AM  all    1.35    0.00    0.20    0.00    0.00    0.05    0.00    0.00    0.00   98.40
12:09:07 AM  all    0.35    0.00    0.50    0.05    0.00    0.00    0.00    0.00    0.00   99.10
12:09:08 AM  all    0.40    0.00    0.20    0.05    0.00    0.00    0.00    0.00    0.00   99.35
12:09:09 AM  all    0.55    0.00    0.30    0.00    0.00    0.05    0.00    0.00    0.00   99.10
12:09:10 AM  all    0.50    0.00    0.35    0.00    0.00    0.10    0.00    0.00    0.00   99.05
12:09:11 AM  all    0.50    0.00    0.35    0.05    0.00    0.00    0.00    0.00    0.00   99.10
12:09:12 AM  all   42.81    9.46    4.30    0.71    0.00    0.40    0.00    0.00    0.00   42.31
12:09:13 AM  all   34.12   16.93    6.36    0.00    0.00    1.00    0.00    0.00    0.00   41.58
12:09:14 AM  all   35.90   14.78    4.77    0.05    0.00    1.00    0.00    0.00    0.00   43.50
12:09:15 AM  all   34.32   15.91    6.00    0.00    0.00    1.02    0.00    0.00    0.00   42.76
12:09:16 AM  all   35.77   13.57    5.35    0.00    0.00    0.95    0.00    0.00    0.00   44.36
12:09:17 AM  all   33.47   16.24    5.36    0.00    0.00    0.79    0.00    0.00    0.00   44.14
12:09:18 AM  all   35.28   15.14    5.20    0.05    0.00    0.78    0.00    0.00    0.00   43.55
12:09:19 AM  all   34.78   14.60    5.52    0.00    0.00    0.96    0.00    0.00    0.00   44.13
12:09:20 AM  all   34.12   16.44    5.43    0.00    0.00    0.87    0.00    0.00    0.00   43.14
12:09:21 AM  all   34.46   15.77    5.75    0.00    0.00    0.98    0.00    0.00    0.00   43.04
12:09:22 AM  all   34.23   16.96    5.55    0.10    0.00    0.82    0.00    0.00    0.00   42.33
12:09:23 AM  all   32.49   19.07    6.09    0.25    0.00    0.89    0.00    0.00    0.00   41.21
12:09:24 AM  all   33.96   16.88    5.51    0.00    0.00    0.61    0.00    0.00    0.00   43.04
12:09:25 AM  all   34.53   16.96    4.51    0.00    0.00    1.02    0.00    0.00    0.00   42.98
12:09:26 AM  all   35.59   14.95    5.68    0.00    0.00    1.08    0.00    0.00    0.00   42.70
12:09:27 AM  all   34.68   13.84    5.79    0.00    0.00    1.37    0.00    0.00    0.00   44.32
12:09:28 AM  all   35.40   15.29    5.03    0.05    0.00    0.97    0.00    0.00    0.00   43.25
12:09:29 AM  all   35.07   15.31    5.73    0.00    0.00    1.08    0.00    0.00    0.00   42.81
12:09:30 AM  all   32.94   18.68    5.86    0.00    0.00    0.89    0.00    0.00    0.00   41.63
12:09:31 AM  all   34.70   14.44    5.20    0.00    0.00    1.10    0.00    0.00    0.00   44.57
12:09:32 AM  all   33.27   17.42    5.79    0.00    0.00    0.86    0.00    0.00    0.00   42.66
12:09:33 AM  all   35.12   15.32    5.50    0.00    0.00    1.03    0.00    0.00    0.00   43.03
12:09:34 AM  all   35.01   16.75    5.23    0.00    0.00    0.86    0.00    0.00    0.00   42.15
12:09:35 AM  all   33.44   16.77    5.90    0.00    0.00    0.82    0.00    0.00    0.00   43.08
12:09:36 AM  all   34.95   15.24    4.94    0.00    0.00    1.14    0.00    0.00    0.00   43.73
12:09:37 AM  all   33.59   16.97    5.81    0.00    0.00    1.06    0.00    0.00    0.00   42.58
12:09:38 AM  all   33.95   17.57    5.99    0.00    0.00    0.70    0.00    0.00    0.00   41.79
12:09:39 AM  all   35.61   12.76    5.02    0.00    0.00    1.55    0.00    0.00    0.00   45.06
12:09:40 AM  all   34.73   14.82    5.62    0.00    0.00    0.74    0.00    0.00    0.00   44.09
12:09:41 AM  all   34.32   15.10    5.31    0.00    0.00    1.15    0.00    0.00    0.00   44.11
12:09:42 AM  all    5.24    3.09    1.05    0.00    0.00    0.30    0.00    0.00    0.00   90.32
12:09:43 AM  all    5.05    0.00    0.45    0.30    0.00    0.00    0.00    0.00    0.00   94.20
12:09:44 AM  all    5.28    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   94.32
12:09:45 AM  all   25.42    0.00    1.61    0.05    0.00    0.00    0.00    0.00    0.00   72.92
12:09:46 AM  all   17.08    0.56    1.26    0.05    0.00    0.00    0.00    0.00    0.00   81.05
12:09:47 AM  all    6.41    1.31    1.31    0.00    0.00    0.15    0.00    0.00    0.00   90.82
12:09:48 AM  all    7.18    0.71    1.72    0.00    0.00    0.15    0.00    0.00    0.00   90.25
12:09:49 AM  all    6.84    0.51    1.33    0.10    0.00    0.10    0.00    0.00    0.00   91.12
12:09:50 AM  all    6.64    0.71    1.72    0.00    0.00    0.05    0.00    0.00    0.00   90.88
12:09:51 AM  all    7.25    0.50    1.71    0.00    0.00    0.10    0.00    0.00    0.00   90.43
12:09:52 AM  all    6.29    0.46    2.03    0.10    0.00    0.25    0.00    0.00    0.00   90.87
12:09:53 AM  all    7.05    0.46    1.52    0.00    0.00    0.05    0.00    0.00    0.00   90.92
12:09:54 AM  all    6.52    0.50    1.81    0.00    0.00    0.10    0.00    0.00    0.00   91.07
