Linux 5.15.0-141-generic (node7) 	06/09/2025 	_x86_64_	(20 CPU)

12:53:04 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:53:05 PM  all   15.38    0.00    0.60    1.81    0.00    0.05    0.00    0.00    0.00   82.16
12:53:06 PM  all   17.69    0.00    0.65    0.30    0.00    0.00    0.00    0.00    0.00   81.35
12:53:07 PM  all    2.31    0.00    0.60    0.90    0.00    0.10    0.00    0.00    0.00   96.08
12:53:08 PM  all    0.25    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.70
12:53:09 PM  all    0.25    0.00    0.35    0.15    0.00    0.00    0.00    0.00    0.00   99.25
12:53:10 PM  all   16.94    0.05    0.85    0.35    0.00    0.00    0.00    0.00    0.00   81.80
12:53:11 PM  all   24.12    0.00    1.70    0.00    0.00    0.10    0.00    0.00    0.00   74.07
12:53:12 PM  all    0.55    0.00    0.25    0.10    0.00    0.00    0.00    0.00    0.00   99.10
12:53:13 PM  all   28.02   15.01    2.67    0.26    0.00    0.10    0.00    0.00    0.00   53.93
12:53:14 PM  all   19.48   24.24    3.90    0.00    0.00    0.05    0.00    0.00    0.00   52.33
12:53:15 PM  all   19.35   24.61    4.41    0.10    0.00    0.40    0.00    0.00    0.00   51.13
12:53:16 PM  all   19.94   23.48    5.16    0.00    0.00    0.10    0.00    0.00    0.00   51.32
12:53:17 PM  all   19.20   24.28    4.37    0.00    0.00    0.15    0.00    0.00    0.00   52.01
12:53:18 PM  all   18.86   24.04    4.67    0.05    0.00    0.51    0.00    0.00    0.00   51.88
12:53:19 PM  all   19.88   23.96    4.08    0.00    0.00    0.25    0.00    0.00    0.00   51.83
12:53:20 PM  all   19.07   24.33    4.91    0.05    0.00    0.10    0.00    0.00    0.00   51.54
12:53:21 PM  all   19.85   23.70    4.61    0.00    0.00    0.41    0.00    0.00    0.00   51.44
12:53:22 PM  all   20.42   23.20    4.66    0.00    0.00    0.25    0.00    0.00    0.00   51.47
12:53:23 PM  all   19.85   23.60    4.52    0.00    0.00    0.30    0.00    0.00    0.00   51.73
12:53:24 PM  all   19.89   23.57    4.44    0.05    0.00    0.30    0.00    0.00    0.00   51.74
12:53:25 PM  all   19.57   23.97    3.83    0.05    0.00    0.15    0.00    0.00    0.00   52.43
12:53:26 PM  all   19.15   25.11    3.99    0.05    0.00    0.15    0.00    0.00    0.00   51.54
12:53:27 PM  all   19.66   24.46    4.70    0.00    0.00    0.30    0.00    0.00    0.00   50.88
12:53:28 PM  all   18.99   25.14    4.53    0.00    0.00    0.30    0.00    0.00    0.00   51.03
12:53:29 PM  all   19.07   23.65    4.11    0.00    0.00    0.26    0.00    0.00    0.00   52.90
12:53:30 PM  all   19.47   24.63    4.55    0.05    0.00    0.20    0.00    0.00    0.00   51.09
12:53:31 PM  all   19.64   24.13    4.44    0.00    0.00    0.10    0.00    0.00    0.00   51.69
12:53:32 PM  all   19.66   23.45    4.65    0.00    0.00    0.45    0.00    0.00    0.00   51.79
12:53:33 PM  all   19.89   24.03    3.94    0.05    0.00    0.15    0.00    0.00    0.00   51.94
12:53:34 PM  all   19.35   24.38    4.32    0.00    0.00    0.10    0.00    0.00    0.00   51.85
12:53:35 PM  all   18.57   26.38    4.00    0.00    0.00    0.15    0.00    0.00    0.00   50.90
12:53:36 PM  all   19.22   24.09    4.73    0.05    0.00    0.45    0.00    0.00    0.00   51.46
12:53:37 PM  all   19.72   24.26    3.72    0.00    0.00    0.05    0.00    0.00    0.00   52.24
12:53:38 PM  all   20.26   24.89    4.63    0.00    0.00    0.10    0.00    0.00    0.00   50.12
12:53:39 PM  all   19.42   23.84    4.83    0.05    0.00    0.20    0.00    0.00    0.00   51.65
12:53:40 PM  all   19.40   25.06    4.01    0.05    0.00    0.30    0.00    0.00    0.00   51.18
12:53:41 PM  all   18.85   24.64    4.15    0.00    0.00    0.20    0.00    0.00    0.00   52.15
12:53:42 PM  all   18.64   25.31    4.07    0.05    0.00    0.36    0.00    0.00    0.00   51.58
12:53:43 PM  all   20.01    2.76    1.15    0.05    0.00    0.05    0.00    0.00    0.00   75.98
12:53:44 PM  all   18.56    5.70    2.07    0.05    0.00    0.00    0.00    0.00    0.00   73.63
12:53:45 PM  all   12.00   10.57    2.73    0.15    0.00    0.10    0.00    0.00    0.00   74.45
12:53:46 PM  all   10.98    9.77    3.02    0.00    0.00    0.05    0.00    0.00    0.00   76.18
12:53:47 PM  all   10.23   10.28    3.02    0.00    0.00    0.05    0.00    0.00    0.00   76.41
