Linux 5.15.0-141-generic (node7) 	06/09/2025 	_x86_64_	(20 CPU)

01:26:44 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:26:45 PM  all   15.31    0.00    0.70    1.91    0.00    0.00    0.00    0.00    0.00   82.08
01:26:46 PM  all   17.82    0.00    0.50    0.25    0.00    0.05    0.00    0.00    0.00   81.38
01:26:47 PM  all    2.21    0.00    0.40    0.60    0.00    0.05    0.00    0.00    0.00   96.74
01:26:48 PM  all    0.40    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.35
01:26:49 PM  all    0.60    0.00    0.20    0.05    0.00    0.00    0.00    0.00    0.00   99.15
01:26:50 PM  all   16.78    0.00    1.00    0.35    0.00    0.00    0.00    0.00    0.00   81.87
01:26:51 PM  all   83.42    0.00    6.19    0.00    0.00    0.00    0.00    0.00    0.00   10.38
01:26:52 PM  all   93.94    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:26:53 PM  all   92.44    0.00    7.56    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:26:54 PM  all   92.96    0.00    7.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:26:55 PM  all   91.95    0.00    8.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:26:56 PM  all   91.95    0.00    8.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:26:57 PM  all   93.05    0.00    6.95    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:26:58 PM  all   92.06    0.00    7.89    0.00    0.00    0.05    0.00    0.00    0.00    0.00
01:26:59 PM  all   90.75    0.00    9.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:27:00 PM  all   92.85    0.00    7.15    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:27:01 PM  all   92.48    0.00    7.52    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:27:02 PM  all   94.01    0.00    5.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:27:03 PM  all   93.24    0.00    6.76    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:27:04 PM  all   92.25    0.00    6.70    0.00    0.00    0.00    0.00    0.00    0.00    1.05
01:27:05 PM  all   20.31    0.00    4.16    0.15    0.00    0.00    0.00    0.00    0.00   75.38
01:27:06 PM  all   14.63    0.00    3.49    0.05    0.00    0.00    0.00    0.00    0.00   81.83
01:27:07 PM  all   12.67    0.00    3.62    0.00    0.00    0.00    0.00    0.00    0.00   83.71
01:27:08 PM  all   11.94    0.00    3.26    0.05    0.00    0.00    0.00    0.00    0.00   84.75
01:27:09 PM  all   12.64    0.00    3.61    0.05    0.00    0.00    0.00    0.00    0.00   83.69
01:27:10 PM  all   12.38    0.00    3.76    0.00    0.00    0.20    0.00    0.00    0.00   83.66
01:27:11 PM  all   12.95    0.00    3.66    0.00    0.00    0.10    0.00    0.00    0.00   83.29
01:27:12 PM  all   12.69    0.00    4.01    0.05    0.00    0.10    0.00    0.00    0.00   83.14
01:27:13 PM  all   13.09    0.00    3.88    0.40    0.00    0.15    0.00    0.00    0.00   82.49
01:27:14 PM  all   13.08    0.00    3.81    0.05    0.00    0.10    0.00    0.00    0.00   82.96
01:27:15 PM  all   12.73    0.00    3.88    0.00    0.00    0.05    0.00    0.00    0.00   83.34
01:27:16 PM  all   12.86    0.00    3.82    0.00    0.00    0.05    0.00    0.00    0.00   83.27
01:27:17 PM  all   13.05    0.00    4.01    0.00    0.00    0.20    0.00    0.00    0.00   82.74
01:27:18 PM  all   12.13    0.00    4.23    0.05    0.00    0.20    0.00    0.00    0.00   83.39
01:27:19 PM  all   13.03    0.00    3.91    0.00    0.00    0.05    0.00    0.00    0.00   83.02
01:27:20 PM  all   12.37    0.00    4.12    0.05    0.00    0.20    0.00    0.00    0.00   83.26
01:27:21 PM  all   13.61    0.00    3.70    0.05    0.00    0.05    0.00    0.00    0.00   82.58
01:27:22 PM  all   12.68    0.00    4.06    0.00    0.00    0.25    0.00    0.00    0.00   83.02
01:27:23 PM  all   12.66    0.00    4.07    0.00    0.00    0.20    0.00    0.00    0.00   83.07
01:27:24 PM  all   12.58    0.00    4.06    0.10    0.00    0.15    0.00    0.00    0.00   83.11
01:27:25 PM  all   12.54    0.00    3.91    0.00    0.00    0.40    0.00    0.00    0.00   83.15
01:27:26 PM  all   13.02    0.00    4.31    0.10    0.00    0.25    0.00    0.00    0.00   82.32
01:27:27 PM  all   14.02    0.00    3.86    0.00    0.00    0.25    0.00    0.00    0.00   81.87
01:27:28 PM  all   11.17    0.00    3.30    0.00    0.00    0.20    0.00    0.00    0.00   85.33
01:27:29 PM  all    0.15    0.00    0.10    0.05    0.00    0.00    0.00    0.00    0.00   99.70
01:27:30 PM  all    0.25    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.70
01:27:31 PM  all    0.40    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.45
01:27:32 PM  all    0.40    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.50
01:27:33 PM  all    0.15    0.00    0.10    0.05    0.00    0.00    0.00    0.00    0.00   99.70
01:27:34 PM  all   78.21    0.00   10.34    0.00    0.00    0.55    0.00    0.00    0.00   10.89
01:27:35 PM  all   90.80    3.50    5.70    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:27:36 PM  all   81.92   13.09    4.90    0.00    0.00    0.05    0.00    0.00    0.00    0.05
01:27:37 PM  all   78.17   17.85    3.78    0.00    0.00    0.10    0.00    0.00    0.00    0.10
01:27:38 PM  all   39.24   51.96    5.33    0.00    0.00    0.20    0.00    0.00    0.00    3.27
01:27:39 PM  all   23.68   63.73    5.09    0.00    0.00    0.35    0.00    0.00    0.00    7.15
01:27:40 PM  all   20.72   62.69    4.34    0.00    0.00    0.41    0.00    0.00    0.00   11.84
01:27:41 PM  all   20.65   60.00    4.36    0.00    0.00    0.55    0.00    0.00    0.00   14.44
01:27:42 PM  all   21.70   63.26    4.41    0.10    0.00    0.35    0.00    0.00    0.00   10.18
