Linux 5.15.0-141-generic (node7) 	06/08/2025 	_x86_64_	(20 CPU)

10:45:44 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:45:45 PM  all   15.57    0.00    0.40    1.85    0.00    0.10    0.00    0.00    0.00   82.07
10:45:46 PM  all   17.28    0.00    0.65    0.20    0.00    0.00    0.00    0.00    0.00   81.87
10:45:47 PM  all    2.55    0.00    0.45    0.70    0.00    0.05    0.00    0.00    0.00   96.25
10:45:48 PM  all    0.35    0.00    0.15    0.05    0.00    0.05    0.00    0.00    0.00   99.40
10:45:49 PM  all    0.25    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.55
10:45:50 PM  all   16.68    0.00    1.06    0.25    0.00    0.00    0.00    0.00    0.00   82.01
10:45:51 PM  all   55.77    0.00    4.50    0.00    0.00    0.00    0.00    0.00    0.00   39.73
10:45:52 PM  all   93.94    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10:45:53 PM  all   92.91    0.00    7.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10:45:54 PM  all   93.43    0.00    6.57    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10:45:55 PM  all   92.03    0.00    7.97    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10:45:56 PM  all   92.88    0.00    7.12    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10:45:57 PM  all   92.22    0.00    7.78    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10:45:58 PM  all   91.78    0.00    8.22    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10:45:59 PM  all   91.91    0.00    8.04    0.00    0.00    0.05    0.00    0.00    0.00    0.00
10:46:00 PM  all   92.10    0.00    7.90    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10:46:01 PM  all   92.35    0.00    7.65    0.00    0.00    0.00    0.00    0.00    0.00    0.00
