Linux 5.15.0-141-generic (node7) 	06/08/2025 	_x86_64_	(20 CPU)

10:29:12 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:29:13 PM  all   15.58    0.00    0.80    1.85    0.00    0.05    0.00    0.00    0.00   81.72
10:29:14 PM  all   17.14    0.00    0.80    0.25    0.00    0.05    0.00    0.00    0.00   81.75
10:29:15 PM  all    2.20    0.00    0.45    0.65    0.00    0.00    0.00    0.00    0.00   96.70
10:29:16 PM  all    0.60    0.00    0.45    0.30    0.00    0.05    0.00    0.00    0.00   98.60
10:29:17 PM  all    0.40    0.00    0.25    0.05    0.00    0.00    0.00    0.00    0.00   99.30
10:29:18 PM  all   16.92    0.00    1.00    0.30    0.00    0.10    0.00    0.00    0.00   81.68
10:29:19 PM  all   63.94    0.00    4.06    0.00    0.00    0.00    0.00    0.00    0.00   32.00
10:29:20 PM  all   92.81    0.00    7.14    0.00    0.00    0.00    0.00    0.00    0.00    0.05
10:29:21 PM  all   51.03    0.00    7.26    0.00    0.00    0.15    0.00    0.00    0.00   41.56
10:29:22 PM  all    3.00    0.00    0.85    0.05    0.00    0.05    0.00    0.00    0.00   96.05
10:29:23 PM  all    0.35    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:29:24 PM  all    0.15    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.70
10:29:25 PM  all    0.45    0.00    0.25    0.00    0.00    0.05    0.00    0.00    0.00   99.25
10:29:26 PM  all    0.30    0.00    0.25    0.15    0.00    0.00    0.00    0.00    0.00   99.30
10:29:27 PM  all    0.40    0.00    0.25    0.05    0.00    0.05    0.00    0.00    0.00   99.25
10:29:28 PM  all    0.40    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.35
10:29:29 PM  all   38.18    2.42    2.37    0.40    0.00    0.10    0.00    0.00    0.00   56.52
10:29:30 PM  all   43.37   54.43    1.85    0.00    0.00    0.00    0.00    0.00    0.00    0.35
10:29:31 PM  all    8.59   89.28    1.64    0.00    0.00    0.15    0.00    0.00    0.00    0.35
10:29:32 PM  all    7.92   90.28    1.45    0.00    0.00    0.00    0.00    0.00    0.00    0.35
10:29:33 PM  all    7.72   90.98    1.25    0.00    0.00    0.05    0.00    0.00    0.00    0.00
10:29:34 PM  all    8.45   89.76    1.15    0.00    0.00    0.05    0.00    0.00    0.00    0.60
10:29:35 PM  all    9.00   89.55    1.30    0.00    0.00    0.00    0.00    0.00    0.00    0.15
10:29:36 PM  all    7.99   90.26    1.55    0.00    0.00    0.00    0.00    0.00    0.00    0.20
10:29:37 PM  all    8.80   89.46    1.35    0.00    0.00    0.05    0.00    0.00    0.00    0.35
10:29:38 PM  all    8.97   89.37    1.40    0.00    0.00    0.10    0.00    0.00    0.00    0.15
10:29:39 PM  all    8.50   89.50    1.70    0.00    0.00    0.00    0.00    0.00    0.00    0.30
10:29:40 PM  all    7.99   90.46    1.15    0.00    0.00    0.10    0.00    0.00    0.00    0.30
