Linux 5.15.0-141-generic (node7) 	06/08/2025 	_x86_64_	(20 CPU)

03:44:23 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:44:24 PM  all   15.49    0.00    0.95    1.85    0.00    0.10    0.00    0.00    0.00   81.61
03:44:25 PM  all   17.52    0.00    0.90    0.70    0.00    0.05    0.00    0.00    0.00   80.83
03:44:26 PM  all    3.57    0.00    0.70    0.90    0.00    0.00    0.00    0.00    0.00   94.82
03:44:27 PM  all    1.75    0.00    0.45    0.30    0.00    0.05    0.00    0.00    0.00   97.44
03:44:28 PM  all   17.29    0.00    0.95    0.05    0.00    0.05    0.00    0.00    0.00   81.65
03:44:29 PM  all   16.95    0.00    0.85    0.00    0.00    0.00    0.00    0.00    0.00   82.20
03:44:30 PM  all   16.02    5.89    1.11    0.40    0.00    0.05    0.00    0.00    0.00   76.52
03:44:31 PM  all    4.84    7.61    1.31    0.00    0.00    0.15    0.00    0.00    0.00   86.10
03:44:32 PM  all    4.03    7.81    1.71    0.05    0.00    0.15    0.00    0.00    0.00   86.24
03:44:33 PM  all    4.81    7.32    1.65    0.00    0.00    0.20    0.00    0.00    0.00   86.02
03:44:34 PM  all    4.80    7.02    1.16    0.00    0.00    0.15    0.00    0.00    0.00   86.86
03:44:35 PM  all    4.53    7.15    1.76    0.05    0.00    0.10    0.00    0.00    0.00   86.40
03:44:36 PM  all    4.99    7.36    1.36    0.00    0.00    0.15    0.00    0.00    0.00   86.14
03:44:37 PM  all    4.92    7.48    1.46    0.00    0.00    0.05    0.00    0.00    0.00   86.09
03:44:38 PM  all    3.95    7.89    1.26    0.15    0.00    0.10    0.00    0.00    0.00   86.65
03:44:39 PM  all    4.10    7.44    1.27    0.00    0.00    0.15    0.00    0.00    0.00   87.04
03:44:40 PM  all    4.32    7.24    1.81    0.00    0.00    0.20    0.00    0.00    0.00   86.43
03:44:41 PM  all    4.40    7.53    1.82    0.05    0.00    0.15    0.00    0.00    0.00   86.05
03:44:42 PM  all    4.74    6.86    1.46    0.00    0.00    0.20    0.00    0.00    0.00   86.74
03:44:43 PM  all    4.83    7.00    1.36    0.05    0.00    0.00    0.00    0.00    0.00   86.76
03:44:44 PM  all    4.92    6.83    1.71    0.00    0.00    0.15    0.00    0.00    0.00   86.40
03:44:45 PM  all    4.45    7.08    1.52    0.00    0.00    0.10    0.00    0.00    0.00   86.86
03:44:46 PM  all    5.08    6.83    1.71    0.00    0.00    0.10    0.00    0.00    0.00   86.28
03:44:47 PM  all    4.54    6.61    2.22    0.25    0.00    0.15    0.00    0.00    0.00   86.22
03:44:48 PM  all    4.94    6.60    1.66    0.05    0.00    0.15    0.00    0.00    0.00   86.60
03:44:49 PM  all    4.52    7.03    1.86    0.00    0.00    0.10    0.00    0.00    0.00   86.49
03:44:50 PM  all    5.25    6.76    1.56    0.00    0.00    0.05    0.00    0.00    0.00   86.38
03:44:51 PM  all    4.69    6.75    1.61    0.00    0.00    0.15    0.00    0.00    0.00   86.80
03:44:52 PM  all    4.43    7.56    1.36    0.00    0.00    0.20    0.00    0.00    0.00   86.45
03:44:53 PM  all    4.04    7.79    1.26    0.10    0.00    0.20    0.00    0.00    0.00   86.60
03:44:54 PM  all    4.00    7.24    1.62    0.00    0.00    0.05    0.00    0.00    0.00   87.10
03:44:55 PM  all    4.64    7.37    1.67    0.00    0.00    0.10    0.00    0.00    0.00   86.22
03:44:56 PM  all    4.35    7.43    1.47    0.10    0.00    0.10    0.00    0.00    0.00   86.55
03:44:57 PM  all    4.55    6.87    1.62    0.00    0.00    0.15    0.00    0.00    0.00   86.81
03:44:58 PM  all    4.28    7.50    1.51    0.00    0.00    0.15    0.00    0.00    0.00   86.56
03:44:59 PM  all    4.38    7.51    1.51    0.10    0.00    0.10    0.00    0.00    0.00   86.40
03:45:00 PM  all   17.53    0.40    0.85    0.10    0.00    0.05    0.00    0.00    0.00   81.07
03:45:01 PM  all   17.09    1.75    1.60    0.10    0.00    0.10    0.00    0.00    0.00   79.35
03:45:02 PM  all    5.55    4.25    1.60    0.10    0.00    0.05    0.00    0.00    0.00   88.44
03:45:03 PM  all    5.49    4.64    1.75    0.05    0.00    0.15    0.00    0.00    0.00   87.93
03:45:04 PM  all    5.44    5.04    1.95    0.00    0.00    0.15    0.00    0.00    0.00   87.43
03:45:05 PM  all    5.12    5.53    0.76    0.00    0.00    0.00    0.00    0.00    0.00   88.58
03:45:06 PM  all    5.58    4.47    1.71    0.00    0.00    0.05    0.00    0.00    0.00   88.19
03:45:07 PM  all    6.24    3.59    1.65    0.00    0.00    0.20    0.00    0.00    0.00   88.32
03:45:08 PM  all    6.20    4.30    1.80    0.05    0.00    0.20    0.00    0.00    0.00   87.46
03:45:09 PM  all    5.31    4.66    1.20    0.00    0.00    0.10    0.00    0.00    0.00   88.72
03:45:10 PM  all    5.41    4.46    1.60    0.00    0.00    0.05    0.00    0.00    0.00   88.47
03:45:11 PM  all    4.93    4.68    1.51    0.05    0.00    0.20    0.00    0.00    0.00   88.64
03:45:12 PM  all    4.93    5.03    1.41    0.00    0.00    0.05    0.00    0.00    0.00   88.59
03:45:13 PM  all    5.00    5.30    1.06    0.05    0.00    0.10    0.00    0.00    0.00   88.49
03:45:14 PM  all    4.76    5.16    1.57    0.00    0.00    0.05    0.00    0.00    0.00   88.46
03:45:15 PM  all    5.89    0.70    1.25    0.00    0.00    0.00    0.00    0.00    0.00   92.16
