Linux 5.15.0-141-generic (node7) 	06/08/2025 	_x86_64_	(20 CPU)

04:24:13 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:24:14 PM  all   15.37    0.00    0.65    1.96    0.00    0.20    0.00    0.00    0.00   81.81
04:24:15 PM  all   17.20    0.00    0.55    0.50    0.00    0.00    0.00    0.00    0.00   81.74
04:24:16 PM  all    3.31    0.00    0.25    0.95    0.00    0.05    0.00    0.00    0.00   95.44
04:24:17 PM  all    0.70    0.00    0.35    0.20    0.00    0.00    0.00    0.00    0.00   98.75
04:24:18 PM  all   15.92    0.00    1.00    0.50    0.00    0.05    0.00    0.00    0.00   82.52
04:24:19 PM  all   61.12    0.00    3.60    0.00    0.00    0.00    0.00    0.00    0.00   35.28
04:24:20 PM  all   93.15    0.00    6.85    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:24:21 PM  all   92.56    0.00    7.44    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:24:22 PM  all   93.24    0.00    6.76    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:24:23 PM  all   92.25    0.00    7.75    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:24:24 PM  all   93.40    0.00    6.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:24:25 PM  all   92.69    0.00    7.31    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:24:26 PM  all   92.86    0.00    7.14    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:24:27 PM  all   91.35    0.00    8.65    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:24:28 PM  all   91.80    0.00    8.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:24:29 PM  all   92.50    0.00    7.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:24:30 PM  all   93.35    0.00    6.65    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:24:31 PM  all   93.65    0.00    6.35    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:24:32 PM  all   93.40    0.00    6.50    0.00    0.00    0.00    0.00    0.00    0.00    0.10
04:24:33 PM  all   28.38    0.00    4.57    0.00    0.00    0.00    0.00    0.00    0.00   67.05
04:24:34 PM  all   12.21    0.00    3.70    0.30    0.00    0.00    0.00    0.00    0.00   83.79
04:24:35 PM  all   12.37    0.00    3.42    0.00    0.00    0.00    0.00    0.00    0.00   84.21
04:24:36 PM  all   11.96    0.00    3.40    0.00    0.00    0.00    0.00    0.00    0.00   84.64
04:24:37 PM  all   12.68    0.00    3.41    0.05    0.00    0.35    0.00    0.00    0.00   83.51
04:24:38 PM  all   13.00    0.00    3.71    0.00    0.00    0.10    0.00    0.00    0.00   83.19
04:24:39 PM  all   13.08    0.00    3.61    0.05    0.00    0.00    0.00    0.00    0.00   83.27
04:24:40 PM  all   12.59    0.00    4.01    0.00    0.00    0.10    0.00    0.00    0.00   83.29
04:24:41 PM  all   13.02    0.00    4.44    0.00    0.00    0.30    0.00    0.00    0.00   82.24
04:24:42 PM  all   13.26    0.00    3.92    0.00    0.00    0.05    0.00    0.00    0.00   82.77
04:24:43 PM  all   12.73    0.00    3.62    0.05    0.00    0.20    0.00    0.00    0.00   83.40
04:24:44 PM  all   12.96    0.00    4.37    0.00    0.00    0.05    0.00    0.00    0.00   82.61
04:24:45 PM  all   13.90    0.00    3.75    0.00    0.00    0.10    0.00    0.00    0.00   82.25
04:24:46 PM  all   12.78    0.00    4.07    0.10    0.00    0.00    0.00    0.00    0.00   83.05
04:24:47 PM  all   12.77    0.00    3.97    0.20    0.00    0.10    0.00    0.00    0.00   82.96
04:24:48 PM  all   12.76    0.00    3.95    0.00    0.00    0.25    0.00    0.00    0.00   83.03
04:24:49 PM  all   12.96    0.00    3.52    0.05    0.00    0.15    0.00    0.00    0.00   83.32
04:24:50 PM  all   12.53    0.00    4.26    0.00    0.00    0.20    0.00    0.00    0.00   83.01
04:24:51 PM  all   12.53    0.00    4.06    0.00    0.00    0.15    0.00    0.00    0.00   83.26
04:24:52 PM  all   12.86    0.00    3.57    0.05    0.00    0.10    0.00    0.00    0.00   83.42
