Linux 5.15.0-141-generic (node7) 	06/08/2025 	_x86_64_	(20 CPU)

06:00:22 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:00:23 PM  all   15.12    0.00    0.75    1.86    0.00    0.10    0.00    0.00    0.00   82.17
06:00:24 PM  all   17.42    0.00    0.65    0.30    0.00    0.05    0.00    0.00    0.00   81.59
06:00:25 PM  all    2.35    0.00    0.50    0.60    0.00    0.05    0.00    0.00    0.00   96.50
06:00:26 PM  all    0.40    0.00    0.20    0.05    0.00    0.00    0.00    0.00    0.00   99.35
06:00:27 PM  all    0.25    0.00    0.25    0.15    0.00    0.05    0.00    0.00    0.00   99.30
06:00:28 PM  all   17.00    0.00    0.80    0.30    0.00    0.00    0.00    0.00    0.00   81.90
06:00:29 PM  all   84.42    0.00    5.36    0.00    0.00    0.00    0.00    0.00    0.00   10.22
06:00:30 PM  all   93.96    0.00    6.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00
06:00:31 PM  all   93.89    0.00    6.06    0.00    0.00    0.05    0.00    0.00    0.00    0.00
06:00:32 PM  all   92.96    0.00    7.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00
06:00:33 PM  all   93.19    0.00    6.81    0.00    0.00    0.00    0.00    0.00    0.00    0.00
06:00:34 PM  all   91.31    0.00    8.69    0.00    0.00    0.00    0.00    0.00    0.00    0.00
06:00:35 PM  all   71.32    0.00    6.91    0.15    0.00    0.05    0.00    0.00    0.00   21.57
06:00:36 PM  all   12.35    0.00    3.45    0.05    0.00    0.00    0.00    0.00    0.00   84.15
06:00:37 PM  all   12.37    0.00    3.26    0.00    0.00    0.00    0.00    0.00    0.00   84.37
06:00:38 PM  all   12.05    0.00    3.56    0.00    0.00    0.00    0.00    0.00    0.00   84.39
06:00:39 PM  all   12.66    0.00    3.35    0.00    0.00    0.10    0.00    0.00    0.00   83.88
06:00:40 PM  all   11.86    0.00    3.80    0.00    0.00    0.10    0.00    0.00    0.00   84.23
06:00:41 PM  all   12.97    0.00    3.86    0.00    0.00    0.20    0.00    0.00    0.00   82.97
06:00:42 PM  all   13.21    0.00    3.72    0.15    0.00    0.00    0.00    0.00    0.00   82.92
06:00:43 PM  all   13.67    0.00    4.14    0.05    0.00    0.20    0.00    0.00    0.00   81.94
