Linux 5.15.0-141-generic (node7) 	06/08/2025 	_x86_64_	(20 CPU)

06:05:59 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:06:00 PM  all   15.30    0.00    0.60    1.86    0.00    0.10    0.00    0.00    0.00   82.15
06:06:01 PM  all   17.33    0.00    0.75    0.20    0.00    0.00    0.00    0.00    0.00   81.71
06:06:02 PM  all    2.35    0.00    0.35    0.60    0.00    0.10    0.00    0.00    0.00   96.60
06:06:03 PM  all    0.50    0.00    0.10    0.05    0.00    0.00    0.00    0.00    0.00   99.35
06:06:04 PM  all    0.45    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.30
06:06:05 PM  all   15.67    0.00    1.05    0.30    0.00    0.05    0.00    0.00    0.00   82.92
06:06:06 PM  all   51.18    0.00    3.46    0.00    0.00    0.05    0.00    0.00    0.00   45.32
06:06:07 PM  all   92.95    0.00    7.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00
06:06:08 PM  all   93.25    0.00    6.75    0.00    0.00    0.00    0.00    0.00    0.00    0.00
06:06:09 PM  all   93.65    0.00    6.30    0.00    0.00    0.05    0.00    0.00    0.00    0.00
06:06:10 PM  all   92.61    0.00    7.39    0.00    0.00    0.00    0.00    0.00    0.00    0.00
06:06:11 PM  all   92.54    0.00    7.46    0.00    0.00    0.00    0.00    0.00    0.00    0.00
06:06:12 PM  all   93.36    0.00    6.64    0.00    0.00    0.00    0.00    0.00    0.00    0.00
06:06:13 PM  all   91.25    0.00    8.75    0.00    0.00    0.00    0.00    0.00    0.00    0.00
06:06:14 PM  all   91.51    0.00    8.49    0.00    0.00    0.00    0.00    0.00    0.00    0.00
06:06:15 PM  all   93.04    0.00    6.96    0.00    0.00    0.00    0.00    0.00    0.00    0.00
06:06:16 PM  all   93.35    0.00    6.65    0.00    0.00    0.00    0.00    0.00    0.00    0.00
06:06:17 PM  all   94.01    0.00    5.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
