Linux 5.15.0-141-generic (node7) 	06/12/2025 	_x86_64_	(20 CPU)

04:25:50 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:25:51 PM  all   15.48    0.00    0.75    1.80    0.00    0.05    0.00    0.00    0.00   81.91
04:25:52 PM  all   13.17    0.00    0.85    0.40    0.00    0.05    0.00    0.00    0.00   85.53
04:25:53 PM  all    8.47    0.00    0.55    0.10    0.00    0.05    0.00    0.00    0.00   90.83
04:25:54 PM  all    2.51    0.00    0.45    0.75    0.00    0.20    0.00    0.00    0.00   96.09
04:25:55 PM  all    0.30    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   99.30
04:25:56 PM  all    0.45    0.00    0.50    0.25    0.00    0.00    0.00    0.00    0.00   98.80
04:25:57 PM  all   16.85    0.00    1.05    0.10    0.00    0.00    0.00    0.00    0.00   82.00
04:25:58 PM  all   64.62    0.00    5.40    0.00    0.00    0.00    0.00    0.00    0.00   29.99
04:25:59 PM  all   94.06    0.00    5.94    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:26:00 PM  all   92.64    0.00    7.36    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:26:01 PM  all   94.15    0.00    5.85    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:26:02 PM  all   93.70    0.00    6.30    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:26:03 PM  all   91.23    0.00    8.77    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:26:04 PM  all   92.71    0.00    7.29    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:26:05 PM  all   83.53    0.00    5.98    0.00    0.00    0.00    0.00    0.00    0.00   10.50
04:26:06 PM  all   76.20    0.00    6.02    0.00    0.00    0.00    0.00    0.00    0.00   17.77
04:26:07 PM  all   75.44    0.00    5.90    0.00    0.00    0.00    0.00    0.00    0.00   18.66
04:26:08 PM  all   75.26    0.00    5.22    0.00    0.00    0.00    0.00    0.00    0.00   19.52
