Linux 5.15.0-141-generic (node7) 	06/12/2025 	_x86_64_	(20 CPU)

04:27:06 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:27:07 PM  all   24.00    0.00    2.01    1.76    0.00    0.25    0.00    0.00    0.00   71.99
04:27:08 PM  all    4.06    0.00    0.75    0.90    0.00    0.05    0.00    0.00    0.00   94.24
04:27:09 PM  all   18.13    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   81.12
04:27:10 PM  all    3.55    0.00    0.65    1.05    0.00    0.00    0.00    0.00    0.00   94.75
04:27:11 PM  all    0.40    0.00    0.40    0.00    0.00    0.05    0.00    0.00    0.00   99.15
04:27:12 PM  all    0.40    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   99.25
04:27:13 PM  all   14.53    0.00    1.15    0.40    0.00    0.00    0.00    0.00    0.00   83.92
04:27:14 PM  all   52.25    0.00    3.65    0.00    0.00    0.00    0.00    0.00    0.00   44.10
04:27:15 PM  all   92.71    0.00    7.29    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:27:16 PM  all   92.79    0.00    7.21    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:27:17 PM  all   93.01    0.00    6.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:27:18 PM  all   93.58    0.00    6.42    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:27:19 PM  all   93.01    0.00    6.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:27:20 PM  all   92.51    0.00    7.49    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:27:21 PM  all   93.39    0.00    6.61    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:27:22 PM  all   92.05    0.00    7.95    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:27:23 PM  all   93.05    0.00    6.95    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:27:24 PM  all   92.84    0.00    7.16    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:27:25 PM  all   94.05    0.00    5.95    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:27:26 PM  all   93.95    0.00    6.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:27:27 PM  all   94.55    0.00    5.45    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:27:28 PM  all   93.20    0.00    6.80    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:27:29 PM  all   81.18    0.00    5.67    0.05    0.00    0.00    0.00    0.00    0.00   13.10
04:27:30 PM  all   73.74    0.00    5.90    0.00    0.00    0.00    0.00    0.00    0.00   20.36
04:27:31 PM  all   78.43    0.00    5.46    0.00    0.00    0.00    0.00    0.00    0.00   16.12
04:27:32 PM  all   73.83    0.00    5.47    0.00    0.00    0.00    0.00    0.00    0.00   20.69
04:27:33 PM  all   78.13    0.00    5.99    0.00    0.00    0.00    0.00    0.00    0.00   15.88
04:27:34 PM  all   77.56    0.00    5.82    0.00    0.00    0.00    0.00    0.00    0.00   16.62
04:27:35 PM  all   66.23    0.00    4.10    0.00    0.00    0.00    0.00    0.00    0.00   29.66
04:27:36 PM  all    0.95    0.00    0.30    0.05    0.00    0.00    0.00    0.00    0.00   98.70
04:27:37 PM  all   14.81    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   84.14
04:27:38 PM  all   96.36    0.00    3.64    0.00    0.00    0.00    0.00    0.00    0.00    0.00
