Linux 5.15.0-141-generic (node7) 	06/12/2025 	_x86_64_	(20 CPU)

05:27:33 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:27:34 PM  all   15.17    0.00    0.75    1.76    0.00    0.15    0.00    0.00    0.00   82.17
05:27:35 PM  all   16.95    0.00    0.85    0.35    0.00    0.05    0.00    0.00    0.00   81.80
05:27:36 PM  all    4.70    0.00    0.85    0.15    0.00    0.00    0.00    0.00    0.00   94.30
05:27:37 PM  all    2.06    0.00    0.40    0.75    0.00    0.00    0.00    0.00    0.00   96.78
05:27:38 PM  all    6.03    0.00    1.05    0.40    0.00    0.05    0.00    0.00    0.00   92.47
05:27:39 PM  all   48.32    0.00    3.61    0.00    0.00    0.00    0.00    0.00    0.00   48.07
05:27:40 PM  all   93.71    0.00    6.29    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:27:41 PM  all   93.85    0.00    6.10    0.00    0.00    0.05    0.00    0.00    0.00    0.00
05:27:42 PM  all   93.05    0.00    6.95    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:27:43 PM  all   93.09    0.00    6.91    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:27:44 PM  all   93.80    0.00    6.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:27:45 PM  all   92.76    0.00    7.24    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:27:46 PM  all   91.80    0.00    8.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:27:47 PM  all   92.05    0.00    7.95    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:27:48 PM  all   92.55    0.00    7.40    0.00    0.00    0.05    0.00    0.00    0.00    0.00
05:27:49 PM  all   93.65    0.00    6.35    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:27:50 PM  all   94.10    0.00    5.85    0.00    0.00    0.05    0.00    0.00    0.00    0.00
05:27:51 PM  all   93.80    0.00    6.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:27:52 PM  all   93.65    0.00    6.35    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:27:53 PM  all   90.34    0.00    6.21    0.00    0.00    0.00    0.00    0.00    0.00    3.45
05:27:54 PM  all   36.74    0.00    4.31    0.00    0.00    0.00    0.00    0.00    0.00   58.95
05:27:55 PM  all   27.26    0.00    3.65    0.00    0.00    0.00    0.00    0.00    0.00   69.08
05:27:56 PM  all   27.39    0.00    3.82    0.00    0.00    0.00    0.00    0.00    0.00   68.79
05:27:57 PM  all   27.16    0.00    3.80    0.00    0.00    0.00    0.00    0.00    0.00   69.03
