Linux 5.15.0-141-generic (node7) 	06/12/2025 	_x86_64_	(20 CPU)

04:57:46 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:57:47 PM  all   15.48    0.00    0.90    1.75    0.00    0.15    0.00    0.00    0.00   81.71
04:57:48 PM  all   11.74    0.00    0.65    0.45    0.00    0.10    0.00    0.00    0.00   87.06
04:57:49 PM  all   10.19    0.00    0.40    0.15    0.00    0.00    0.00    0.00    0.00   89.26
04:57:50 PM  all    2.45    0.00    0.80    0.80    0.00    0.05    0.00    0.00    0.00   95.90
04:57:51 PM  all    2.20    0.00    1.00    0.30    0.00    0.05    0.00    0.00    0.00   96.45
04:57:52 PM  all   43.94    0.00    1.90    0.00    0.00    0.00    0.00    0.00    0.00   54.16
04:57:53 PM  all   27.96    0.00    4.04    0.00    0.00    0.10    0.00    0.00    0.00   67.90
04:57:54 PM  all   12.61    0.00    1.45    0.00    0.00    0.05    0.00    0.00    0.00   85.89
04:57:55 PM  all    0.20    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.60
04:57:56 PM  all    0.15    0.00    0.30    0.00    0.00    0.00    0.00    0.00    0.00   99.55
04:57:57 PM  all    0.20    0.00    0.30    0.00    0.00    0.00    0.00    0.00    0.00   99.50
04:57:58 PM  all    0.20    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.65
04:57:59 PM  all    0.05    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.80
04:58:00 PM  all   15.14    0.00    1.40    0.00    0.00    0.10    0.00    0.00    0.00   83.36
04:58:01 PM  all   46.99    0.00    3.50    0.00    0.00    0.39    0.00    0.00    0.00   49.11
04:58:02 PM  all   47.54    0.00    2.73    0.00    0.00    0.59    0.00    0.00    0.00   49.15
04:58:03 PM  all   47.36    0.00    3.13    0.00    0.00    0.49    0.00    0.00    0.00   49.02
04:58:04 PM  all   47.42    0.00    3.25    0.00    0.00    0.30    0.00    0.00    0.00   49.04
04:58:05 PM  all   47.29    0.00    3.32    0.00    0.00    0.24    0.00    0.00    0.00   49.15
04:58:06 PM  all   47.38    0.00    3.38    0.00    0.00    0.49    0.00    0.00    0.00   48.75
04:58:07 PM  all   56.67    0.00    4.14    0.20    0.00    0.25    0.00    0.00    0.00   38.75
04:58:08 PM  all   46.69    0.00    3.21    0.00    0.00    0.49    0.00    0.00    0.00   49.60
04:58:09 PM  all   47.24    0.00    3.60    0.00    0.00    0.44    0.00    0.00    0.00   48.72
