Linux 5.15.0-141-generic (node7) 	06/12/2025 	_x86_64_	(20 CPU)

06:28:05 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:28:06 PM  all   32.02    0.00    1.40    1.50    0.00    0.15    0.00    0.00    0.00   64.93
06:28:07 PM  all   23.56    0.00    1.75    0.75    0.00    0.30    0.00    0.00    0.00   73.64
06:28:08 PM  all   26.78    0.00    0.90    0.00    0.00    0.05    0.00    0.00    0.00   72.26
06:28:09 PM  all   17.88    0.00    1.24    0.94    0.00    0.40    0.00    0.00    0.00   79.53
06:28:10 PM  all    2.51    0.00    0.30    0.00    0.00    0.05    0.00    0.00    0.00   97.14
06:28:11 PM  all    1.40    0.00    0.45    0.00    0.00    0.00    0.00    0.00    0.00   98.15
06:28:12 PM  all   22.17    0.00    1.31    0.40    0.00    0.15    0.00    0.00    0.00   75.97
06:28:13 PM  all   75.17    0.00    5.79    0.00    0.00    0.00    0.00    0.00    0.00   19.03
06:28:14 PM  all   93.71    0.00    6.24    0.00    0.00    0.05    0.00    0.00    0.00    0.00
06:28:15 PM  all   92.05    0.00    7.90    0.00    0.00    0.05    0.00    0.00    0.00    0.00
06:28:16 PM  all   93.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
06:28:17 PM  all   92.89    0.00    7.06    0.00    0.00    0.05    0.00    0.00    0.00    0.00
06:28:18 PM  all   92.82    0.00    7.13    0.00    0.00    0.05    0.00    0.00    0.00    0.00
06:28:19 PM  all   92.89    0.00    7.01    0.00    0.00    0.10    0.00    0.00    0.00    0.00
06:28:20 PM  all   92.84    0.00    7.11    0.00    0.00    0.05    0.00    0.00    0.00    0.00
06:28:21 PM  all   91.82    0.00    8.08    0.00    0.00    0.10    0.00    0.00    0.00    0.00
06:28:22 PM  all   92.39    0.00    7.56    0.00    0.00    0.05    0.00    0.00    0.00    0.00
06:28:23 PM  all   93.20    0.00    6.70    0.00    0.00    0.10    0.00    0.00    0.00    0.00
06:28:24 PM  all   93.75    0.00    6.20    0.00    0.00    0.05    0.00    0.00    0.00    0.00
06:28:25 PM  all   93.50    0.00    6.45    0.00    0.00    0.05    0.00    0.00    0.00    0.00
06:28:26 PM  all   93.75    0.00    6.20    0.00    0.00    0.05    0.00    0.00    0.00    0.00
06:28:27 PM  all   93.09    0.00    6.46    0.00    0.00    0.05    0.00    0.00    0.00    0.40
06:28:28 PM  all   53.07    0.00    5.78    0.00    0.00    0.00    0.00    0.00    0.00   41.16
06:28:29 PM  all   30.78    0.00    4.15    0.00    0.00    0.00    0.00    0.00    0.00   65.07
06:28:30 PM  all   28.75    0.00    4.15    0.00    0.00    0.10    0.00    0.00    0.00   67.00
