Linux 5.15.0-141-generic (node7) 	06/12/2025 	_x86_64_	(20 CPU)

06:17:02 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:17:03 PM  all   15.59    0.00    0.90    1.80    0.00    0.10    0.00    0.00    0.00   81.61
06:17:04 PM  all   15.10    0.00    0.80    0.40    0.00    0.00    0.00    0.00    0.00   83.70
06:17:05 PM  all    7.05    0.00    0.40    0.05    0.00    0.00    0.00    0.00    0.00   92.50
06:17:06 PM  all    2.75    0.00    0.50    0.75    0.00    0.15    0.00    0.00    0.00   95.85
06:17:07 PM  all   10.85    0.00    1.31    0.10    0.00    0.05    0.00    0.00    0.00   87.69
06:17:08 PM  all    7.36    0.00    1.25    0.55    0.00    0.10    0.00    0.00    0.00   90.74
06:17:09 PM  all   17.66    0.00    1.05    0.15    0.00    0.00    0.00    0.00    0.00   81.14
06:17:10 PM  all   87.14    0.00    6.90    0.00    0.00    0.00    0.00    0.00    0.00    5.95
06:17:11 PM  all   94.21    0.00    5.79    0.00    0.00    0.00    0.00    0.00    0.00    0.00
06:17:12 PM  all   91.95    0.00    8.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00
06:17:13 PM  all   79.91    0.00    7.11    0.00    0.00    0.00    0.00    0.00    0.00   12.98
06:17:14 PM  all   33.03    0.00    4.65    0.00    0.00    0.00    0.00    0.00    0.00   62.32
06:17:15 PM  all   30.77    0.00    3.66    0.00    0.00    0.05    0.00    0.00    0.00   65.51
06:17:16 PM  all   31.73    0.00    4.10    0.00    0.00    0.00    0.00    0.00    0.00   64.16
06:17:17 PM  all   33.67    0.00    4.15    0.00    0.00    0.00    0.00    0.00    0.00   62.18
06:17:18 PM  all   33.57    0.00    3.71    0.00    0.00    0.00    0.00    0.00    0.00   62.72
06:17:19 PM  all    0.60    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   99.05
06:17:20 PM  all    0.15    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.80
06:17:21 PM  all   91.47    0.00    3.26    0.00    0.00    0.10    0.00    0.00    0.00    5.17
06:17:22 PM  all   95.90    0.00    1.60    0.00    0.00    0.30    0.00    0.00    0.00    2.20
06:17:23 PM  all   96.07    0.00    1.92    0.00    0.00    0.30    0.00    0.00    0.00    1.71
06:17:24 PM  all   95.83    0.00    1.86    0.00    0.00    0.15    0.00    0.00    0.00    2.16
06:17:25 PM  all   95.33    0.00    1.89    0.00    0.00    0.10    0.00    0.00    0.00    2.69
06:17:26 PM  all   95.25    0.00    1.95    0.00    0.00    0.20    0.00    0.00    0.00    2.60
06:17:27 PM  all   95.93    0.00    1.86    0.00    0.00    0.25    0.00    0.00    0.00    1.96
06:17:28 PM  all   96.43    0.00    1.81    0.00    0.00    0.15    0.00    0.00    0.00    1.61
06:17:29 PM  all   96.80    0.00    1.75    0.00    0.00    0.10    0.00    0.00    0.00    1.35
06:17:30 PM  all   95.59    0.00    2.00    0.00    0.00    0.35    0.00    0.00    0.00    2.05
06:17:31 PM  all   96.49    0.00    1.81    0.00    0.00    0.10    0.00    0.00    0.00    1.60
06:17:32 PM  all   95.44    0.00    2.06    0.00    0.00    0.15    0.00    0.00    0.00    2.36
06:17:33 PM  all   95.33    0.00    2.16    0.00    0.00    0.20    0.00    0.00    0.00    2.31
06:17:34 PM  all   95.40    0.00    2.10    0.00    0.00    0.00    0.00    0.00    0.00    2.50
