Linux 5.15.0-140-generic (node7) 	06/07/2025 	_x86_64_	(20 CPU)

09:24:54 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:24:55 PM  all   16.22    0.00    0.90    1.50    0.00    0.00    0.00    0.00    0.00   81.39
09:24:56 PM  all   16.89    0.00    1.01    0.35    0.00    0.05    0.00    0.00    0.00   81.70
09:24:57 PM  all    3.80    0.00    0.80    0.70    0.00    0.10    0.00    0.00    0.00   94.60
09:24:58 PM  all    0.50    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   99.15
09:24:59 PM  all    0.55    0.00    0.45    0.00    0.00    0.00    0.00    0.00    0.00   99.00
09:25:00 PM  all   11.22    0.00    1.30    0.40    0.00    0.00    0.00    0.00    0.00   87.07
09:25:01 PM  all   51.03    0.00    3.51    0.00    0.00    0.05    0.00    0.00    0.00   45.41
09:25:02 PM  all   93.36    0.00    6.64    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:25:03 PM  all   93.55    0.00    6.45    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:25:04 PM  all   93.44    0.00    6.56    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:25:05 PM  all   93.35    0.00    6.60    0.00    0.00    0.05    0.00    0.00    0.00    0.00
09:25:06 PM  all   91.01    0.00    8.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:25:07 PM  all   92.05    0.00    7.95    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:25:08 PM  all   60.44    0.00    5.79    0.00    0.00    0.00    0.00    0.00    0.00   33.77
09:25:09 PM  all   29.30    0.00    4.65    0.00    0.00    0.00    0.00    0.00    0.00   66.05
09:25:10 PM  all   27.55    0.00    4.80    0.00    0.00    0.00    0.00    0.00    0.00   67.65
09:25:11 PM  all   28.45    0.00    5.07    0.00    0.00    0.00    0.00    0.00    0.00   66.48
09:25:12 PM  all   31.62    0.00    5.25    0.00    0.00    0.00    0.00    0.00    0.00   63.13
09:25:13 PM  all   20.58    0.00    3.36    0.00    0.00    0.00    0.00    0.00    0.00   76.06
09:25:14 PM  all   66.83    0.00    2.12    0.00    0.00    0.55    0.00    0.00    0.00   30.49
09:25:15 PM  all   95.34    0.00    1.65    0.00    0.00    0.40    0.00    0.00    0.00    2.61
09:25:16 PM  all   81.45    0.00    2.32    0.00    0.00    0.57    0.00    0.00    0.00   15.66
09:25:17 PM  all   68.28    0.00    2.97    0.00    0.00    0.52    0.00    0.00    0.00   28.23
09:25:18 PM  all   68.57    0.00    3.14    0.00    0.00    0.36    0.00    0.00    0.00   27.93
09:25:19 PM  all   61.57    0.00    3.20    0.00    0.00    0.62    0.00    0.00    0.00   34.61
