Linux 5.15.0-140-generic (node7) 	06/07/2025 	_x86_64_	(20 CPU)

09:33:11 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:33:12 PM  all   15.13    0.00    1.06    1.46    0.00    0.10    0.00    0.00    0.00   82.26
09:33:13 PM  all   17.23    0.00    1.00    0.35    0.00    0.00    0.00    0.00    0.00   81.41
09:33:14 PM  all    6.57    0.00    0.85    0.50    0.00    0.10    0.00    0.00    0.00   91.99
09:33:15 PM  all    2.70    0.00    0.60    0.05    0.00    0.05    0.00    0.00    0.00   96.59
09:33:16 PM  all    0.15    0.00    0.35    0.00    0.00    0.05    0.00    0.00    0.00   99.45
09:33:17 PM  all   15.18    0.00    1.35    0.30    0.00    0.05    0.00    0.00    0.00   83.12
09:33:18 PM  all   51.20    0.00    3.41    0.00    0.00    0.00    0.00    0.00    0.00   45.38
09:33:19 PM  all   93.39    0.00    6.61    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:33:20 PM  all   92.65    0.00    7.35    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:33:21 PM  all   93.21    0.00    6.79    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:33:22 PM  all   92.55    0.00    7.45    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:33:23 PM  all   92.80    0.00    7.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:33:24 PM  all   92.59    0.00    7.41    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:33:25 PM  all   92.49    0.00    7.51    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:33:26 PM  all   91.60    0.00    8.40    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:33:27 PM  all   91.75    0.00    8.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:33:28 PM  all   91.96    0.00    8.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:33:29 PM  all   92.89    0.00    7.11    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:33:30 PM  all   93.35    0.00    6.65    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:33:31 PM  all   92.31    0.00    7.69    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:33:32 PM  all   60.59    0.00    8.06    0.00    0.00    0.00    0.00    0.00    0.00   31.35
09:33:33 PM  all   28.77    0.00    4.71    0.00    0.00    0.00    0.00    0.00    0.00   66.52
09:33:34 PM  all   31.03    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   64.02
09:33:35 PM  all   28.96    0.00    4.78    0.00    0.00    0.00    0.00    0.00    0.00   66.26
09:33:36 PM  all   27.96    0.00    4.76    0.00    0.00    0.00    0.00    0.00    0.00   67.28
09:33:37 PM  all   27.47    0.00    4.84    0.00    0.00    0.00    0.00    0.00    0.00   67.70
09:33:38 PM  all   28.24    0.00    5.55    0.00    0.00    0.20    0.00    0.00    0.00   66.02
09:33:39 PM  all   32.10    0.00    5.66    0.00    0.00    0.15    0.00    0.00    0.00   62.09
09:33:40 PM  all   31.15    0.00    5.54    0.00    0.00    0.20    0.00    0.00    0.00   63.11
09:33:41 PM  all   38.13    0.00    6.55    0.05    0.00    0.15    0.00    0.00    0.00   55.12
09:33:42 PM  all    6.24    0.00    1.70    0.00    0.00    0.10    0.00    0.00    0.00   91.97
09:33:43 PM  all    0.25    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.55
09:33:44 PM  all    0.45    0.00    0.65    0.00    0.00    0.00    0.00    0.00    0.00   98.90
09:33:45 PM  all    0.25    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   99.40
09:33:46 PM  all    0.20    0.00    0.30    0.00    0.00    0.00    0.00    0.00    0.00   99.50
09:33:47 PM  all    0.25    0.00    0.55    0.00    0.00    0.00    0.00    0.00    0.00   99.20
