Linux 5.15.0-140-generic (node7) 	06/08/2025 	_x86_64_	(20 CPU)

12:24:00 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:24:01 AM  all   16.23    0.00    1.21    1.66    0.00    0.10    0.00    0.00    0.00   80.80
12:24:02 AM  all   16.84    0.00    0.85    0.75    0.00    0.05    0.00    0.00    0.00   81.50
12:24:03 AM  all    4.51    0.00    0.70    0.60    0.00    0.05    0.00    0.00    0.00   94.14
12:24:04 AM  all    1.00    0.00    0.70    0.30    0.00    0.10    0.00    0.00    0.00   97.90
12:24:05 AM  all   17.21    0.00    1.05    0.05    0.00    0.00    0.00    0.00    0.00   81.69
12:24:06 AM  all   17.68    0.00    1.30    0.00    0.00    0.00    0.00    0.00    0.00   81.02
12:24:07 AM  all    5.47    0.00    0.65    0.00    0.00    0.05    0.00    0.00    0.00   93.83
12:24:08 AM  all    5.28    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   94.32
12:24:09 AM  all    5.26    0.00    0.60    0.00    0.00    0.15    0.00    0.00    0.00   93.98
12:24:10 AM  all    5.61    0.00    0.75    0.00    0.00    0.05    0.00    0.00    0.00   93.59
12:24:11 AM  all    5.52    0.00    0.55    0.00    0.00    0.10    0.00    0.00    0.00   93.83
12:24:12 AM  all    5.36    0.00    0.65    0.00    0.00    0.00    0.00    0.00    0.00   93.98
12:24:13 AM  all    5.45    0.00    0.50    0.00    0.00    0.10    0.00    0.00    0.00   93.95
12:24:14 AM  all    5.32    0.00    0.70    0.00    0.00    0.05    0.00    0.00    0.00   93.93
12:24:15 AM  all    5.11    0.00    0.75    0.00    0.00    0.05    0.00    0.00    0.00   94.09
12:24:16 AM  all    5.23    0.00    0.45    0.00    0.00    0.00    0.00    0.00    0.00   94.32
12:24:17 AM  all    5.20    0.00    0.70    0.00    0.00    0.15    0.00    0.00    0.00   93.95
12:24:18 AM  all    5.27    0.00    0.55    0.00    0.00    0.05    0.00    0.00    0.00   94.13
12:24:19 AM  all    5.42    0.00    0.40    0.00    0.00    0.05    0.00    0.00    0.00   94.13
12:24:20 AM  all    5.11    0.00    0.95    0.00    0.00    0.00    0.00    0.00    0.00   93.94
12:24:21 AM  all    5.22    0.00    0.35    0.00    0.00    0.10    0.00    0.00    0.00   94.33
12:24:22 AM  all    5.07    0.00    0.75    0.00    0.00    0.10    0.00    0.00    0.00   94.08
12:24:23 AM  all    5.59    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   93.66
12:24:24 AM  all    8.54    0.00    0.70    0.00    0.00    0.10    0.00    0.00    0.00   90.66
12:24:25 AM  all    5.37    0.00    0.50    0.00    0.00    0.05    0.00    0.00    0.00   94.08
12:24:26 AM  all    5.17    0.00    0.95    0.00    0.00    0.00    0.00    0.00    0.00   93.88
12:24:27 AM  all    5.16    0.00    0.35    0.00    0.00    0.15    0.00    0.00    0.00   94.34
12:24:28 AM  all    5.13    0.00    0.65    0.00    0.00    0.00    0.00    0.00    0.00   94.22
12:24:29 AM  all    5.31    0.00    0.85    0.00    0.00    0.00    0.00    0.00    0.00   93.84
12:24:30 AM  all    5.36    0.00    0.45    0.00    0.00    0.00    0.00    0.00    0.00   94.19
12:24:31 AM  all    5.18    0.00    0.45    0.00    0.00    0.05    0.00    0.00    0.00   94.32
12:24:32 AM  all    5.22    0.00    0.60    0.00    0.00    0.05    0.00    0.00    0.00   94.13
12:24:33 AM  all    5.27    0.00    0.60    0.00    0.00    0.05    0.00    0.00    0.00   94.08
12:24:34 AM  all    5.17    0.00    0.55    0.00    0.00    0.00    0.00    0.00    0.00   94.28
12:24:35 AM  all    5.43    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   94.07
12:24:36 AM  all    5.11    0.00    0.75    0.00    0.00    0.05    0.00    0.00    0.00   94.09
12:24:37 AM  all   17.52    0.00    1.30    0.15    0.00    0.05    0.00    0.00    0.00   80.98
12:24:38 AM  all    5.14    0.00    1.25    0.10    0.00    0.05    0.00    0.00    0.00   93.46
12:24:39 AM  all    5.17    0.00    0.85    0.00    0.00    0.05    0.00    0.00    0.00   93.93
12:24:40 AM  all    5.59    0.00    0.90    0.00    0.00    0.05    0.00    0.00    0.00   93.46
12:24:41 AM  all    5.80    0.00    0.95    0.00    0.00    0.00    0.00    0.00    0.00   93.25
12:24:42 AM  all    5.78    0.00    0.60    0.00    0.00    0.10    0.00    0.00    0.00   93.52
12:24:43 AM  all    5.57    0.00    0.80    0.00    0.00    0.00    0.00    0.00    0.00   93.63
12:24:44 AM  all    5.80    0.00    0.70    0.00    0.00    0.05    0.00    0.00    0.00   93.45
12:24:45 AM  all    5.46    0.00    0.75    0.00    0.00    0.05    0.00    0.00    0.00   93.73
12:24:46 AM  all    5.38    0.00    1.24    0.00    0.00    0.05    0.00    0.00    0.00   93.33
12:24:47 AM  all    5.60    0.00    0.95    0.00    0.00    0.10    0.00    0.00    0.00   93.35
12:24:48 AM  all    5.61    0.00    0.70    0.00    0.00    0.00    0.00    0.00    0.00   93.69
12:24:49 AM  all    5.59    0.00    0.85    0.00    0.00    0.05    0.00    0.00    0.00   93.51
12:24:50 AM  all    5.45    0.00    1.05    0.00    0.00    0.05    0.00    0.00    0.00   93.45
12:24:51 AM  all    8.99    0.00    0.85    0.00    0.00    0.10    0.00    0.00    0.00   90.06
12:24:52 AM  all    5.36    0.00    0.65    0.00    0.00    0.15    0.00    0.00    0.00   93.84
12:24:53 AM  all    5.55    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   93.40
12:24:54 AM  all    5.85    0.00    0.75    0.00    0.00    0.05    0.00    0.00    0.00   93.35
12:24:55 AM  all    5.76    0.00    1.19    0.00    0.00    0.00    0.00    0.00    0.00   93.05
12:24:56 AM  all    6.27    0.00    0.80    0.00    0.00    0.10    0.00    0.00    0.00   92.83
12:24:57 AM  all    5.78    0.00    0.80    0.00    0.00    0.10    0.00    0.00    0.00   93.33
12:24:58 AM  all    5.85    0.00    0.65    0.00    0.00    0.05    0.00    0.00    0.00   93.45
12:24:59 AM  all    5.60    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   93.35
12:25:00 AM  all    5.55    0.00    0.60    0.00    0.00    0.10    0.00    0.00    0.00   93.75
12:25:01 AM  all    5.73    0.00    1.05    0.05    0.00    0.10    0.00    0.00    0.00   93.07
12:25:02 AM  all    5.55    0.00    0.80    0.00    0.00    0.10    0.00    0.00    0.00   93.55
12:25:03 AM  all    5.80    0.00    0.85    0.00    0.00    0.00    0.00    0.00    0.00   93.35
