Linux 5.15.0-140-generic (node7) 	06/08/2025 	_x86_64_	(20 CPU)

01:08:35 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:08:36 AM  all   15.68    0.00    1.00    1.75    0.00    0.15    0.00    0.00    0.00   81.43
01:08:37 AM  all   17.29    0.00    0.90    0.40    0.00    0.00    0.00    0.00    0.00   81.40
01:08:38 AM  all    3.87    0.00    0.80    0.80    0.00    0.05    0.00    0.00    0.00   94.48
01:08:39 AM  all    1.20    0.00    0.70    0.35    0.00    0.00    0.00    0.00    0.00   97.75
01:08:40 AM  all   23.84    0.00    2.15    0.05    0.00    0.00    0.00    0.00    0.00   73.96
01:08:41 AM  all   94.50    0.00    5.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:08:42 AM  all   94.55    0.00    5.45    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:08:43 AM  all   91.84    0.00    8.16    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:08:44 AM  all   71.14    0.00    7.85    0.00    0.00    0.00    0.00    0.00    0.00   21.01
01:08:45 AM  all   19.21    0.00    4.11    0.00    0.00    0.00    0.00    0.00    0.00   76.68
01:08:46 AM  all   19.54    0.00    3.86    0.00    0.00    0.05    0.00    0.00    0.00   76.55
01:08:47 AM  all   18.88    0.00    4.61    0.00    0.00    0.00    0.00    0.00    0.00   76.51
01:08:48 AM  all   21.72    0.00    4.30    0.00    0.00    0.00    0.00    0.00    0.00   73.97
01:08:49 AM  all    8.86    0.00    2.30    0.00    0.00    0.00    0.00    0.00    0.00   88.84
01:08:50 AM  all    0.25    0.00    0.55    0.00    0.00    0.00    0.00    0.00    0.00   99.20
01:08:51 AM  all    6.87    0.00    0.45    0.00    0.00    0.00    0.00    0.00    0.00   92.67
01:08:52 AM  all   81.34    0.00    2.04    0.00    0.00    0.41    0.00    0.00    0.00   16.21
01:08:53 AM  all   75.96    0.00    2.50    0.00    0.00    0.41    0.00    0.00    0.00   21.13
01:08:54 AM  all   70.89    0.00    2.32    0.00    0.00    0.46    0.00    0.00    0.00   26.33
01:08:55 AM  all   76.90    0.00    2.03    0.00    0.00    0.61    0.00    0.00    0.00   20.46
01:08:56 AM  all   77.73    0.00    2.29    0.00    0.00    0.51    0.00    0.00    0.00   19.47
