Linux 5.15.0-140-generic (node7) 	06/07/2025 	_x86_64_	(20 CPU)

10:27:59 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:28:00 PM  all   15.85    0.00    1.00    1.55    0.00    0.15    0.00    0.00    0.00   81.46
10:28:01 PM  all   16.97    0.00    0.95    0.30    0.00    0.00    0.00    0.00    0.00   81.78
10:28:02 PM  all    3.86    0.00    0.90    0.70    0.00    0.10    0.00    0.00    0.00   94.44
10:28:03 PM  all    0.30    0.00    0.30    0.00    0.00    0.00    0.00    0.00    0.00   99.40
10:28:04 PM  all    0.45    0.00    0.45    0.05    0.00    0.00    0.00    0.00    0.00   99.05
10:28:05 PM  all   17.02    0.00    1.40    0.40    0.00    0.00    0.00    0.00    0.00   81.18
10:28:06 PM  all   69.21    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   26.83
10:28:07 PM  all   92.85    0.00    7.15    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10:28:08 PM  all   91.95    0.00    8.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10:28:09 PM  all   93.69    0.00    6.31    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10:28:10 PM  all   93.56    0.00    6.44    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10:28:11 PM  all   90.89    0.00    9.11    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10:28:12 PM  all   91.76    0.00    8.24    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10:28:13 PM  all   26.54    0.00    4.40    0.00    0.00    0.00    0.00    0.00    0.00   69.07
10:28:14 PM  all   17.16    0.00    3.51    0.00    0.00    0.00    0.00    0.00    0.00   79.33
10:28:15 PM  all   16.73    0.00    3.86    0.00    0.00    0.00    0.00    0.00    0.00   79.42
10:28:16 PM  all   17.12    0.00    3.80    0.00    0.00    0.00    0.00    0.00    0.00   79.08
10:28:17 PM  all   17.80    0.00    3.75    0.00    0.00    0.00    0.00    0.00    0.00   78.45
10:28:18 PM  all   17.03    0.00    4.33    0.00    0.00    0.30    0.00    0.00    0.00   78.34
10:28:19 PM  all   18.50    0.00    4.16    0.00    0.00    0.35    0.00    0.00    0.00   76.99
10:28:20 PM  all   18.19    0.00    4.80    0.00    0.00    0.10    0.00    0.00    0.00   76.91
10:28:21 PM  all   18.24    0.00    4.25    0.00    0.00    0.10    0.00    0.00    0.00   77.41
10:28:22 PM  all   18.22    0.00    4.64    0.00    0.00    0.30    0.00    0.00    0.00   76.83
10:28:23 PM  all   20.20    0.00    4.95    0.00    0.00    0.25    0.00    0.00    0.00   74.60
10:28:24 PM  all   21.01    0.00    4.89    0.00    0.00    0.15    0.00    0.00    0.00   73.95
10:28:25 PM  all    2.05    0.00    0.85    0.00    0.00    0.20    0.00    0.00    0.00   96.90
10:28:26 PM  all    0.30    0.00    0.60    0.00    0.00    0.00    0.00    0.00    0.00   99.10
10:28:27 PM  all    0.15    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.70
10:28:28 PM  all    0.35    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.45
10:28:29 PM  all   85.79    0.00    2.62    0.00    0.00    0.60    0.00    0.00    0.00   10.98
10:28:30 PM  all   89.41    0.00    1.61    0.00    0.00    0.35    0.00    0.00    0.00    8.63
10:28:31 PM  all   72.42    0.00    2.87    0.00    0.00    0.52    0.00    0.00    0.00   24.19
10:28:32 PM  all   63.30    0.00    3.19    0.00    0.00    0.41    0.00    0.00    0.00   33.09
10:28:33 PM  all   62.10    0.00    2.67    0.00    0.00    0.51    0.00    0.00    0.00   34.72
10:28:34 PM  all   55.24    0.00    3.84    0.00    0.00    0.36    0.00    0.00    0.00   40.56
10:28:35 PM  all   82.99    0.00    1.73    0.00    0.00    0.51    0.00    0.00    0.00   14.77
10:28:36 PM  all   89.01    0.00    1.70    0.00    0.00    0.50    0.00    0.00    0.00    8.80
10:28:37 PM  all   89.63    0.00    1.51    0.00    0.00    0.40    0.00    0.00    0.00    8.46
10:28:38 PM  all   90.19    0.00    2.26    0.00    0.00    0.65    0.00    0.00    0.00    6.89
10:28:39 PM  all   63.64    0.00    3.03    0.00    0.00    0.21    0.00    0.00    0.00   33.13
10:28:40 PM  all   58.72    0.00    3.16    0.00    0.00    0.26    0.00    0.00    0.00   37.86
10:28:41 PM  all   59.39    0.00    3.44    0.00    0.00    0.21    0.00    0.00    0.00   36.96
10:28:42 PM  all   60.20    0.00    3.05    0.00    0.00    0.52    0.00    0.00    0.00   36.24
10:28:43 PM  all   86.34    0.00    1.66    0.00    0.00    0.40    0.00    0.00    0.00   11.59
10:28:44 PM  all   89.50    0.00    1.50    0.00    0.00    0.45    0.00    0.00    0.00    8.55
10:28:45 PM  all   88.34    0.00    2.03    0.00    0.00    0.46    0.00    0.00    0.00    9.18
10:28:46 PM  all   85.58    0.00    1.58    0.00    0.00    0.41    0.00    0.00    0.00   12.44
10:28:47 PM  all   62.36    0.00    3.15    0.00    0.00    0.37    0.00    0.00    0.00   34.12
10:28:48 PM  all   59.84    0.00    3.52    0.00    0.00    0.36    0.00    0.00    0.00   36.27
10:28:49 PM  all   60.00    0.00    2.75    0.00    0.00    0.31    0.00    0.00    0.00   36.94
10:28:50 PM  all   68.80    0.00    2.43    0.00    0.00    0.26    0.00    0.00    0.00   28.51
10:28:51 PM  all   89.54    0.00    1.05    0.00    0.00    0.25    0.00    0.00    0.00    9.15
