Linux 5.15.0-140-generic (node7) 	06/07/2025 	_x86_64_	(20 CPU)

09:45:54 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:45:55 PM  all   15.53    0.00    0.95    1.70    0.00    0.10    0.00    0.00    0.00   81.71
09:45:56 PM  all   17.15    0.00    1.05    0.60    0.00    0.05    0.00    0.00    0.00   81.16
09:45:57 PM  all    3.90    0.00    1.00    0.55    0.00    0.15    0.00    0.00    0.00   94.39
09:45:58 PM  all    0.30    0.00    0.55    0.00    0.00    0.00    0.00    0.00    0.00   99.15
09:45:59 PM  all    0.50    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.30
09:46:00 PM  all   16.15    0.00    1.10    0.40    0.00    0.05    0.00    0.00    0.00   82.30
09:46:01 PM  all   21.77    0.00    1.70    0.00    0.00    0.00    0.00    0.00    0.00   76.54
09:46:02 PM  all    3.00    0.00    0.90    0.00    0.00    0.00    0.00    0.00    0.00   96.09
09:46:03 PM  all    7.06    0.00    0.85    0.00    0.00    0.05    0.00    0.00    0.00   92.03
09:46:04 PM  all   10.28    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   89.31
09:46:05 PM  all   11.37    0.00    0.70    0.00    0.00    0.05    0.00    0.00    0.00   87.88
09:46:06 PM  all   11.70    0.00    1.20    0.00    0.00    0.15    0.00    0.00    0.00   86.95
09:46:07 PM  all    9.81    0.00    0.96    0.00    0.00    0.05    0.00    0.00    0.00   89.19
09:46:08 PM  all   10.21    0.00    0.75    0.00    0.00    0.15    0.00    0.00    0.00   88.89
09:46:09 PM  all   10.43    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   88.52
09:46:10 PM  all   10.21    0.00    0.65    0.00    0.00    0.30    0.00    0.00    0.00   88.84
09:46:11 PM  all   10.29    0.00    0.85    0.00    0.00    0.05    0.00    0.00    0.00   88.81
09:46:12 PM  all    9.90    0.00    0.90    0.00    0.00    0.15    0.00    0.00    0.00   89.05
09:46:13 PM  all   10.04    0.00    0.70    0.00    0.00    0.15    0.00    0.00    0.00   89.11
09:46:14 PM  all    9.08    0.00    1.61    0.00    0.00    0.15    0.00    0.00    0.00   89.16
09:46:15 PM  all    9.45    0.00    1.80    0.00    0.00    0.15    0.00    0.00    0.00   88.60
09:46:16 PM  all    8.70    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   89.24
09:46:17 PM  all    9.47    0.00    1.40    0.00    0.00    0.00    0.00    0.00    0.00   89.12
09:46:18 PM  all   21.88    0.00    1.71    0.00    0.00    0.05    0.00    0.00    0.00   76.37
09:46:19 PM  all   16.27    0.00    0.70    0.00    0.00    0.30    0.00    0.00    0.00   82.72
09:46:20 PM  all   14.76    0.00    0.90    0.00    0.00    0.15    0.00    0.00    0.00   84.19
09:46:21 PM  all   10.21    0.00    0.75    0.00    0.00    0.05    0.00    0.00    0.00   88.98
09:46:22 PM  all   10.10    0.00    0.45    0.00    0.00    0.10    0.00    0.00    0.00   89.35
09:46:23 PM  all   10.28    0.00    0.70    0.00    0.00    0.10    0.00    0.00    0.00   88.92
09:46:24 PM  all   10.33    0.00    0.75    0.00    0.00    0.10    0.00    0.00    0.00   88.82
09:46:25 PM  all   10.07    0.00    0.80    0.00    0.00    0.05    0.00    0.00    0.00   89.08
09:46:26 PM  all   10.10    0.00    0.45    0.00    0.00    0.15    0.00    0.00    0.00   89.30
09:46:27 PM  all   10.25    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   88.99
09:46:28 PM  all   10.18    0.00    0.70    0.00    0.00    0.15    0.00    0.00    0.00   88.97
09:46:29 PM  all   10.01    0.00    0.80    0.00    0.00    0.05    0.00    0.00    0.00   89.13
09:46:30 PM  all   10.24    0.00    0.90    0.00    0.00    0.10    0.00    0.00    0.00   88.76
09:46:31 PM  all   10.24    0.00    0.80    0.00    0.00    0.10    0.00    0.00    0.00   88.86
09:46:32 PM  all   10.43    0.00    0.50    0.00    0.00    0.05    0.00    0.00    0.00   89.02
09:46:33 PM  all   15.06    0.00    1.40    0.10    0.00    0.05    0.00    0.00    0.00   83.39
09:46:34 PM  all    9.92    0.00    1.20    0.10    0.00    0.00    0.00    0.00    0.00   88.77
09:46:35 PM  all    5.49    0.00    0.85    0.00    0.00    0.10    0.00    0.00    0.00   93.56
09:46:36 PM  all    5.36    0.00    0.80    0.00    0.00    0.05    0.00    0.00    0.00   93.79
09:46:37 PM  all    5.36    0.00    0.85    0.00    0.00    0.00    0.00    0.00    0.00   93.78
09:46:38 PM  all    5.51    0.00    0.65    0.00    0.00    0.00    0.00    0.00    0.00   93.83
09:46:39 PM  all    5.59    0.00    0.90    0.00    0.00    0.05    0.00    0.00    0.00   93.47
09:46:40 PM  all    5.64    0.00    1.00    0.00    0.00    0.05    0.00    0.00    0.00   93.31
09:46:41 PM  all    5.58    0.00    1.05    0.00    0.00    0.05    0.00    0.00    0.00   93.33
09:46:42 PM  all    5.17    0.00    0.70    0.00    0.00    0.00    0.00    0.00    0.00   94.13
09:46:43 PM  all    5.07    0.00    0.95    0.00    0.00    0.05    0.00    0.00    0.00   93.92
09:46:44 PM  all    5.46    0.00    0.70    0.00    0.00    0.10    0.00    0.00    0.00   93.74
09:46:45 PM  all    5.27    0.00    0.85    0.00    0.00    0.00    0.00    0.00    0.00   93.88
09:46:46 PM  all    5.82    0.00    1.09    0.00    0.00    0.00    0.00    0.00    0.00   93.08
09:46:47 PM  all    5.27    0.00    0.90    0.00    0.00    0.05    0.00    0.00    0.00   93.78
09:46:48 PM  all    5.63    0.00    0.90    0.00    0.00    0.05    0.00    0.00    0.00   93.42
09:46:49 PM  all    5.77    0.00    1.10    0.00    0.00    0.05    0.00    0.00    0.00   93.08
09:46:50 PM  all    5.68    0.00    1.00    0.00    0.00    0.15    0.00    0.00    0.00   93.18
09:46:51 PM  all    5.60    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   93.65
09:46:52 PM  all    5.79    0.00    0.85    0.00    0.00    0.00    0.00    0.00    0.00   93.36
09:46:53 PM  all    5.16    0.00    0.85    0.00    0.00    0.05    0.00    0.00    0.00   93.93
09:46:54 PM  all    5.37    0.00    0.70    0.00    0.00    0.10    0.00    0.00    0.00   93.83
09:46:55 PM  all    5.59    0.00    1.10    0.00    0.00    0.05    0.00    0.00    0.00   93.27
09:46:56 PM  all    5.46    0.00    0.65    0.00    0.00    0.05    0.00    0.00    0.00   93.84
09:46:57 PM  all    5.68    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   93.32
09:46:58 PM  all    6.06    0.00    1.09    0.00    0.00    0.05    0.00    0.00    0.00   92.80
09:46:59 PM  all    5.41    0.00    0.90    0.05    0.00    0.00    0.00    0.00    0.00   93.64
09:47:00 PM  all    5.49    0.00    0.80    0.00    0.00    0.05    0.00    0.00    0.00   93.66
09:47:01 PM  all    5.88    0.00    1.00    0.00    0.00    0.10    0.00    0.00    0.00   93.02
09:47:02 PM  all    5.30    0.00    0.90    0.00    0.00    0.10    0.00    0.00    0.00   93.70
09:47:03 PM  all    5.73    0.00    0.75    0.00    0.00    0.10    0.00    0.00    0.00   93.42
