Linux 5.15.0-141-generic (node7) 	06/16/2025 	_x86_64_	(20 CPU)

12:28:00 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:28:01 AM  all   15.83    0.00    0.75    1.65    0.00    0.10    0.00    0.00    0.00   81.67
12:28:02 AM  all   17.17    0.00    0.90    0.40    0.00    0.05    0.00    0.00    0.00   81.48
12:28:03 AM  all    2.15    0.00    0.30    0.60    0.00    0.00    0.00    0.00    0.00   96.94
12:28:04 AM  all    0.25    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.65
12:28:05 AM  all    0.45    0.00    0.30    0.35    0.00    0.05    0.00    0.00    0.00   98.85
12:28:06 AM  all   17.28    0.00    0.85    0.05    0.00    0.05    0.00    0.00    0.00   81.77
12:28:07 AM  all   22.46    0.00    0.95    0.10    0.00    0.00    0.00    0.00    0.00   76.48
12:28:08 AM  all   17.28   18.13    2.65    0.35    0.00    0.05    0.00    0.00    0.00   61.54
12:28:09 AM  all    6.94   37.04    4.29    0.00    0.00    0.00    0.00    0.00    0.00   51.73
12:28:10 AM  all    6.99   36.91    4.46    0.00    0.00    0.15    0.00    0.00    0.00   51.49
12:28:11 AM  all    7.98   35.98    3.89    0.00    0.00    0.10    0.00    0.00    0.00   52.05
12:28:12 AM  all    7.35   37.80    3.90    0.00    0.00    0.10    0.00    0.00    0.00   50.85
12:28:13 AM  all    5.60   40.81    3.10    0.00    0.00    0.00    0.00    0.00    0.00   50.48
12:28:14 AM  all    4.01   41.16    3.76    0.97    0.00    0.15    0.00    0.00    0.00   49.95
12:28:15 AM  all    5.97   38.80    4.08    0.97    0.00    0.15    0.00    0.00    0.00   50.03
12:28:16 AM  all   10.59   37.26    3.29    0.00    0.00    0.00    0.00    0.00    0.00   48.87
12:28:17 AM  all    4.96   40.16    3.42    0.00    0.00    0.00    0.00    0.00    0.00   51.46
12:28:18 AM  all    7.05   37.20    4.34    0.00    0.00    0.00    0.00    0.00    0.00   51.41
12:28:19 AM  all    5.27   40.24    3.65    0.00    0.00    0.05    0.00    0.00    0.00   50.79
12:28:20 AM  all    4.97   40.69    2.94    0.05    0.00    0.00    0.00    0.00    0.00   51.34
12:28:21 AM  all    5.27   40.23    3.28    0.00    0.00    0.05    0.00    0.00    0.00   51.18
12:28:22 AM  all    5.30   39.99    3.31    0.00    0.00    0.05    0.00    0.00    0.00   51.35
12:28:23 AM  all    6.14   39.10    3.07    0.10    0.00    0.10    0.00    0.00    0.00   51.48
12:28:24 AM  all    4.99   41.76    2.97    0.00    0.00    0.05    0.00    0.00    0.00   50.23
12:28:25 AM  all    6.10   39.01    3.33    0.31    0.00    0.10    0.00    0.00    0.00   51.15
12:28:26 AM  all    5.51   40.29    3.45    0.00    0.00    0.10    0.00    0.00    0.00   50.65
12:28:27 AM  all    6.34   38.32    3.53    0.00    0.00    0.20    0.00    0.00    0.00   51.61
12:28:28 AM  all    5.21   39.34    3.77    0.00    0.00    0.05    0.00    0.00    0.00   51.63
12:28:29 AM  all    5.22   39.39    3.43    0.00    0.00    0.05    0.00    0.00    0.00   51.92
12:28:30 AM  all    5.52   40.95    3.58    0.00    0.00    0.15    0.00    0.00    0.00   49.80
12:28:31 AM  all    6.71   39.32    3.28    0.00    0.00    0.05    0.00    0.00    0.00   50.63
12:28:32 AM  all    5.95   37.90    4.00    0.00    0.00    0.00    0.00    0.00    0.00   52.15
12:28:33 AM  all    5.32   39.13    3.46    0.00    0.00    0.15    0.00    0.00    0.00   51.94
12:28:34 AM  all    5.92   39.90    2.86    0.00    0.00    0.10    0.00    0.00    0.00   51.22
12:28:35 AM  all    5.44   39.74    3.30    0.05    0.00    0.10    0.00    0.00    0.00   51.37
12:28:36 AM  all    5.17   40.19    3.33    0.00    0.00    0.00    0.00    0.00    0.00   51.31
12:28:37 AM  all    4.28   40.33    3.30    0.00    0.00    0.05    0.00    0.00    0.00   52.04
12:28:38 AM  all   17.75    9.98    2.57    0.05    0.00    0.00    0.00    0.00    0.00   69.64
12:28:39 AM  all   14.46    3.58    2.52    0.05    0.00    0.00    0.00    0.00    0.00   79.40
12:28:40 AM  all    6.52   31.70    2.98    0.05    0.00    0.15    0.00    0.00    0.00   58.59
12:28:41 AM  all    5.51   32.14    2.91    0.00    0.00    0.05    0.00    0.00    0.00   59.39
12:28:42 AM  all    5.13   32.82    2.62    0.00    0.00    0.05    0.00    0.00    0.00   59.38
12:28:43 AM  all    5.47   31.85    3.19    0.00    0.00    0.10    0.00    0.00    0.00   59.39
12:28:44 AM  all    6.58   31.34    3.57    0.05    0.00    0.05    0.00    0.00    0.00   58.41
12:28:45 AM  all    5.88   32.22    2.99    0.00    0.00    0.05    0.00    0.00    0.00   58.87
12:28:46 AM  all    5.00   22.61    1.97    0.00    0.00    0.05    0.00    0.00    0.00   70.37
