Linux 5.15.0-141-generic (node7) 	06/16/2025 	_x86_64_	(20 CPU)

01:03:11 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:03:12 AM  all   16.24    0.00    0.80    1.90    0.00    0.05    0.00    0.00    0.00   81.00
01:03:13 AM  all   18.00    0.00    0.85    0.20    0.00    0.00    0.00    0.00    0.00   80.95
01:03:14 AM  all    2.06    0.00    0.45    0.55    0.00    0.05    0.00    0.00    0.00   96.88
01:03:15 AM  all    0.45    0.00    0.95    2.00    0.00    0.00    0.00    0.00    0.00   96.60
01:03:16 AM  all    0.35    0.00    0.10    0.10    0.00    0.00    0.00    0.00    0.00   99.45
01:03:17 AM  all   17.64    0.00    1.25    0.25    0.00    0.00    0.00    0.00    0.00   80.86
01:03:18 AM  all   64.81    0.00    4.65    0.00    0.00    0.00    0.00    0.00    0.00   30.53
01:03:19 AM  all   94.00    0.00    5.95    0.00    0.00    0.05    0.00    0.00    0.00    0.00
01:03:20 AM  all   92.90    0.00    7.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:03:21 AM  all   93.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:03:22 AM  all   92.40    0.00    7.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:03:23 AM  all   92.30    0.00    7.70    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:03:24 AM  all   92.61    0.00    7.39    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:03:25 AM  all   92.23    0.00    7.77    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:03:26 AM  all   91.20    0.00    8.70    0.00    0.00    0.10    0.00    0.00    0.00    0.00
01:03:27 AM  all   92.62    0.00    7.38    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:03:28 AM  all   93.24    0.00    6.76    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:03:29 AM  all   93.40    0.00    6.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:03:30 AM  all   93.25    0.00    6.75    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:03:31 AM  all   94.70    0.00    5.30    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:03:32 AM  all   61.55    0.00    7.60    0.00    0.00    0.00    0.00    0.00    0.00   30.85
01:03:33 AM  all   19.34    0.00    3.82    0.00    0.00    0.00    0.00    0.00    0.00   76.85
01:03:34 AM  all   19.53    0.00    4.11    0.30    0.00    0.05    0.00    0.00    0.00   76.01
01:03:35 AM  all   19.45    0.00    3.48    0.00    0.00    0.05    0.00    0.00    0.00   77.03
01:03:36 AM  all   19.57    0.00    3.80    0.10    0.00    0.00    0.00    0.00    0.00   76.53
01:03:37 AM  all   21.24    0.00    4.59    0.00    0.00    0.10    0.00    0.00    0.00   74.08
01:03:38 AM  all   20.46    0.00    4.36    0.05    0.00    0.25    0.00    0.00    0.00   74.87
01:03:39 AM  all   20.97    0.00    4.42    0.05    0.00    0.15    0.00    0.00    0.00   74.41
01:03:40 AM  all   20.70    0.00    4.32    0.00    0.00    0.10    0.00    0.00    0.00   74.87
01:03:41 AM  all   21.73    0.00    4.53    0.00    0.00    0.05    0.00    0.00    0.00   73.69
01:03:42 AM  all   20.31    0.00    3.70    0.05    0.00    0.20    0.00    0.00    0.00   75.74
01:03:43 AM  all    0.25    0.00    0.20    0.05    0.00    0.00    0.00    0.00    0.00   99.50
01:03:44 AM  all    0.25    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.55
01:03:45 AM  all    1.10    0.00    0.30    0.00    0.00    0.00    0.00    0.00    0.00   98.60
01:03:46 AM  all    1.75    0.00    0.30    0.00    0.00    0.05    0.00    0.00    0.00   97.90
01:03:47 AM  all    1.51    0.00    0.35    0.00    0.00    0.05    0.00    0.00    0.00   98.09
01:03:48 AM  all    0.70    0.00    0.05    0.05    0.00    0.00    0.00    0.00    0.00   99.20
01:03:49 AM  all    6.80    0.00    0.45    0.00    0.00    0.05    0.00    0.00    0.00   92.70
01:03:50 AM  all    4.27    0.00    0.35    0.00    0.00    0.05    0.00    0.00    0.00   95.33
01:03:51 AM  all   55.17    0.00    9.49    0.05    0.00    0.20    0.00    0.00    0.00   35.09
01:03:52 AM  all   83.90    9.40    6.60    0.00    0.00    0.00    0.00    0.00    0.00    0.10
01:03:53 AM  all   76.67   18.73    4.55    0.00    0.00    0.05    0.00    0.00    0.00    0.00
01:03:54 AM  all   77.82   18.08    4.01    0.00    0.00    0.10    0.00    0.00    0.00    0.00
01:03:55 AM  all   62.06   30.90    4.59    0.00    0.00    0.00    0.00    0.00    0.00    2.45
01:03:56 AM  all    9.56   73.36    4.85    0.20    0.00    0.10    0.00    0.00    0.00   11.93
01:03:57 AM  all    4.93   79.18    4.77    0.00    0.00    0.10    0.00    0.00    0.00   11.02
01:03:58 AM  all    7.34   77.41    4.98    0.00    0.00    0.40    0.00    0.00    0.00    9.86
01:03:59 AM  all    4.63   79.43    5.19    0.00    0.00    0.15    0.00    0.00    0.00   10.59
01:04:00 AM  all    7.22   77.00    4.76    0.05    0.00    0.10    0.00    0.00    0.00   10.86
01:04:01 AM  all    5.89   78.40    4.93    0.00    0.00    0.05    0.00    0.00    0.00   10.72
01:04:02 AM  all    6.36   78.36    5.25    0.00    0.00    0.20    0.00    0.00    0.00    9.84
01:04:03 AM  all    5.15   79.85    4.75    0.00    0.00    0.00    0.00    0.00    0.00   10.25
01:04:04 AM  all    6.72   77.93    4.75    0.05    0.00    0.15    0.00    0.00    0.00   10.40
01:04:05 AM  all    4.41   80.05    4.91    0.00    0.00    0.20    0.00    0.00    0.00   10.43
01:04:06 AM  all    6.09   78.15    5.07    0.00    0.00    0.20    0.00    0.00    0.00   10.49
01:04:07 AM  all    6.79   78.10    4.80    0.00    0.00    0.00    0.00    0.00    0.00   10.31
01:04:08 AM  all   15.86   69.69    4.87    0.05    0.00    0.10    0.00    0.00    0.00    9.43
01:04:09 AM  all    4.60   80.37    4.60    0.00    0.00    0.10    0.00    0.00    0.00   10.33
01:04:10 AM  all    6.54   77.95    5.02    0.05    0.00    0.05    0.00    0.00    0.00   10.39
01:04:11 AM  all    9.32   75.67    4.41    0.00    0.00    0.20    0.00    0.00    0.00   10.40
01:04:12 AM  all    6.29   78.55    4.67    0.00    0.00    0.15    0.00    0.00    0.00   10.34
01:04:13 AM  all    5.38   79.88    4.61    0.00    0.00    0.20    0.00    0.00    0.00    9.93
01:04:14 AM  all    5.03   79.99    4.68    0.00    0.00    0.25    0.00    0.00    0.00   10.06
01:04:15 AM  all    5.89   78.29    5.04    0.05    0.00    0.10    0.00    0.00    0.00   10.63
01:04:16 AM  all    5.95   78.32    4.87    0.00    0.00    0.05    0.00    0.00    0.00   10.81
01:04:17 AM  all    5.61   78.64    4.89    0.00    0.00    0.10    0.00    0.00    0.00   10.75
01:04:18 AM  all    6.25   78.80    4.76    0.00    0.00    0.00    0.00    0.00    0.00   10.19
01:04:19 AM  all    5.00   79.09    4.74    0.05    0.00    0.10    0.00    0.00    0.00   11.01
01:04:20 AM  all    5.22   79.74    4.61    0.00    0.00    0.10    0.00    0.00    0.00   10.33
01:04:21 AM  all    8.82   73.85    5.54    0.00    0.00    0.15    0.00    0.00    0.00   11.64
01:04:22 AM  all   78.12   12.04    2.56    0.00    0.00    0.10    0.00    0.00    0.00    7.18
01:04:23 AM  all   99.75    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:04:24 AM  all   88.84    0.00   11.16    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:04:25 AM  all   62.29    0.00    5.66    0.00    0.00    0.15    0.00    0.00    0.00   31.90
01:04:26 AM  all   15.90    0.00    2.71    0.00    0.00    0.00    0.00    0.00    0.00   81.39
01:04:27 AM  all   17.03   22.66    2.58    0.00    0.00    0.05    0.00    0.00    0.00   57.68
01:04:28 AM  all    5.92   29.54    2.35    0.00    0.00    0.00    0.00    0.00    0.00   62.19
01:04:29 AM  all    6.09   30.00    2.59    0.00    0.00    0.00    0.00    0.00    0.00   61.32
01:04:30 AM  all    8.31   27.74    2.67    0.00    0.00    0.10    0.00    0.00    0.00   61.18
01:04:31 AM  all    6.46   29.13    2.00    0.00    0.00    0.00    0.00    0.00    0.00   62.41
01:04:32 AM  all    7.46   28.26    3.09    0.00    0.00    0.05    0.00    0.00    0.00   61.14
01:04:33 AM  all    3.82   14.92    1.64    0.10    0.00    0.00    0.00    0.00    0.00   79.53
01:04:34 AM  all    5.72    0.00    0.40    0.05    0.00    0.00    0.00    0.00    0.00   93.83
01:04:35 AM  all    4.92    0.00    0.45    0.00    0.00    0.00    0.00    0.00    0.00   94.63
