Linux 5.15.0-141-generic (node7) 	06/15/2025 	_x86_64_	(20 CPU)

07:40:45 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:40:46 PM  all   15.55    0.00    0.80    1.71    0.00    0.10    0.00    0.00    0.00   81.85
07:40:47 PM  all   17.58    0.00    0.70    0.45    0.00    0.10    0.00    0.00    0.00   81.17
07:40:48 PM  all    3.21    0.00    0.50    0.75    0.00    0.05    0.00    0.00    0.00   95.48
07:40:49 PM  all    0.85    0.00    0.65    0.40    0.00    0.05    0.00    0.00    0.00   98.05
07:40:50 PM  all   17.79    0.00    0.90    0.00    0.00    0.00    0.00    0.00    0.00   81.30
07:40:51 PM  all   16.62    0.00    0.60    0.10    0.00    0.00    0.00    0.00    0.00   82.68
07:40:52 PM  all   15.96    3.63    1.11    0.30    0.00    0.15    0.00    0.00    0.00   78.85
07:40:53 PM  all    2.93    4.29    1.26    0.05    0.00    0.15    0.00    0.00    0.00   91.31
07:40:54 PM  all    2.78    4.65    0.96    0.00    0.00    0.10    0.00    0.00    0.00   91.51
07:40:55 PM  all    3.02    4.18    1.56    0.00    0.00    0.10    0.00    0.00    0.00   91.14
07:40:56 PM  all    3.53    4.34    1.46    0.00    0.00    0.15    0.00    0.00    0.00   90.52
07:40:57 PM  all    3.02    4.28    1.31    0.00    0.00    0.20    0.00    0.00    0.00   91.19
07:40:58 PM  all    3.23    4.29    1.01    0.00    0.00    0.15    0.00    0.00    0.00   91.32
07:40:59 PM  all    3.27    4.17    1.46    0.05    0.00    0.25    0.00    0.00    0.00   90.80
07:41:00 PM  all    2.88    4.20    1.37    0.00    0.00    0.10    0.00    0.00    0.00   91.46
07:41:01 PM  all    2.97    4.48    1.46    0.05    0.00    0.00    0.00    0.00    0.00   91.03
07:41:02 PM  all    3.17    4.18    1.06    0.00    0.00    0.25    0.00    0.00    0.00   91.34
07:41:03 PM  all    3.17    4.42    1.51    0.00    0.00    0.00    0.00    0.00    0.00   90.90
07:41:04 PM  all    3.71    4.32    1.71    0.30    0.00    0.25    0.00    0.00    0.00   89.71
07:41:05 PM  all    3.18    4.14    1.36    0.00    0.00    0.10    0.00    0.00    0.00   91.22
07:41:06 PM  all    3.07    4.18    1.46    0.05    0.00    0.20    0.00    0.00    0.00   91.03
07:41:07 PM  all   17.57    4.24    2.17    0.30    0.00    0.25    0.00    0.00    0.00   75.47
07:41:08 PM  all    2.72    4.33    1.36    0.00    0.00    0.20    0.00    0.00    0.00   91.38
07:41:09 PM  all    5.37    4.11    1.55    0.00    0.00    0.20    0.00    0.00    0.00   88.77
07:41:10 PM  all    4.78    4.38    1.41    0.00    0.00    0.05    0.00    0.00    0.00   89.38
07:41:11 PM  all    3.77    4.47    1.21    0.00    0.00    0.10    0.00    0.00    0.00   90.45
07:41:12 PM  all    3.28    4.39    1.26    0.00    0.00    0.05    0.00    0.00    0.00   91.03
07:41:13 PM  all    2.83    4.44    1.31    0.00    0.00    0.15    0.00    0.00    0.00   91.27
07:41:14 PM  all    2.92    4.59    0.96    0.05    0.00    0.05    0.00    0.00    0.00   91.43
07:41:15 PM  all    3.18    4.35    1.41    0.00    0.00    0.10    0.00    0.00    0.00   90.96
07:41:16 PM  all    3.63    4.19    1.41    0.05    0.00    0.10    0.00    0.00    0.00   90.62
07:41:17 PM  all    2.92    4.28    1.21    0.05    0.00    0.25    0.00    0.00    0.00   91.28
07:41:18 PM  all    3.60    4.15    1.17    0.00    0.00    0.00    0.00    0.00    0.00   91.08
07:41:19 PM  all    3.02    4.08    1.31    0.00    0.00    0.10    0.00    0.00    0.00   91.49
07:41:20 PM  all    3.07    4.48    1.46    0.00    0.00    0.10    0.00    0.00    0.00   90.89
07:41:21 PM  all    3.22    4.43    1.41    0.00    0.00    0.10    0.00    0.00    0.00   90.84
07:41:22 PM  all   17.42    0.00    1.60    0.25    0.00    0.00    0.00    0.00    0.00   80.73
07:41:23 PM  all   17.26    1.30    1.45    0.10    0.00    0.20    0.00    0.00    0.00   79.70
07:41:24 PM  all    4.51    2.91    1.60    0.00    0.00    0.20    0.00    0.00    0.00   90.78
07:41:25 PM  all    5.23    2.49    1.44    0.00    0.00    0.00    0.00    0.00    0.00   90.84
07:41:26 PM  all    4.86    2.70    1.45    0.10    0.00    0.15    0.00    0.00    0.00   90.74
07:41:27 PM  all    4.49    3.04    1.85    0.00    0.00    0.00    0.00    0.00    0.00   90.62
07:41:28 PM  all    4.57    2.41    1.01    0.00    0.00    0.10    0.00    0.00    0.00   91.91
07:41:29 PM  all    4.86    2.35    2.05    0.10    0.00    0.05    0.00    0.00    0.00   90.59
07:41:30 PM  all    5.46    2.28    1.59    0.00    0.00    0.15    0.00    0.00    0.00   90.52
07:41:31 PM  all    5.06    2.45    1.30    0.00    0.00    0.05    0.00    0.00    0.00   91.13
07:41:32 PM  all    4.96    2.56    1.25    0.05    0.00    0.05    0.00    0.00    0.00   91.13
