Linux 5.15.0-141-generic (node7) 	06/15/2025 	_x86_64_	(20 CPU)

07:27:23 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:27:24 PM  all   15.62    0.00    0.80    1.51    0.00    0.10    0.00    0.00    0.00   81.97
07:27:25 PM  all   17.29    0.00    0.70    0.25    0.00    0.05    0.00    0.00    0.00   81.71
07:27:26 PM  all    2.67    0.00    0.86    0.81    0.00    0.00    0.00    0.00    0.00   95.67
07:27:27 PM  all    1.40    0.00    0.65    0.45    0.00    0.00    0.00    0.00    0.00   97.50
07:27:28 PM  all   28.64    0.00    0.65    0.00    0.00    0.00    0.00    0.00    0.00   70.71
07:27:29 PM  all   14.06    0.00    0.80    0.45    0.00    0.00    0.00    0.00    0.00   84.69
07:27:30 PM  all    7.32    4.71    1.10    0.00    0.00    0.05    0.00    0.00    0.00   86.82
07:27:31 PM  all    2.98    4.60    0.96    0.00    0.00    0.05    0.00    0.00    0.00   91.41
07:27:32 PM  all    3.57    4.47    1.46    0.00    0.00    0.15    0.00    0.00    0.00   90.35
07:27:33 PM  all    3.03    4.60    1.26    0.35    0.00    0.10    0.00    0.00    0.00   90.64
07:27:34 PM  all    3.01    4.37    1.46    0.00    0.00    0.10    0.00    0.00    0.00   91.06
07:27:35 PM  all    2.82    4.59    1.51    0.00    0.00    0.25    0.00    0.00    0.00   90.83
07:27:36 PM  all    3.57    4.27    1.21    0.00    0.00    0.15    0.00    0.00    0.00   90.80
07:27:37 PM  all    2.68    4.75    1.06    0.00    0.00    0.10    0.00    0.00    0.00   91.41
07:27:38 PM  all    2.79    4.66    1.06    0.05    0.00    0.20    0.00    0.00    0.00   91.24
07:27:39 PM  all    2.72    4.88    1.31    0.00    0.00    0.10    0.00    0.00    0.00   91.00
07:27:40 PM  all    3.53    4.49    1.11    0.00    0.00    0.10    0.00    0.00    0.00   90.78
07:27:41 PM  all    3.52    4.58    1.16    0.00    0.00    0.00    0.00    0.00    0.00   90.74
07:27:42 PM  all    2.53    4.55    1.16    0.00    0.00    0.05    0.00    0.00    0.00   91.70
07:27:43 PM  all    3.08    4.14    1.62    0.00    0.00    0.10    0.00    0.00    0.00   91.07
07:27:44 PM  all    3.19    4.30    1.16    0.00    0.00    0.10    0.00    0.00    0.00   91.25
07:27:45 PM  all    2.92    4.42    1.46    0.00    0.00    0.15    0.00    0.00    0.00   91.05
07:27:46 PM  all    2.73    4.81    0.91    0.00    0.00    0.15    0.00    0.00    0.00   91.40
07:27:47 PM  all    3.37    4.67    1.66    0.00    0.00    0.10    0.00    0.00    0.00   90.20
07:27:48 PM  all    2.58    4.92    0.81    0.05    0.00    0.05    0.00    0.00    0.00   91.59
07:27:49 PM  all    2.77    4.69    1.21    0.00    0.00    0.10    0.00    0.00    0.00   91.23
07:27:50 PM  all    3.06    4.67    1.56    0.05    0.00    0.10    0.00    0.00    0.00   90.57
07:27:51 PM  all    2.62    4.75    1.11    0.00    0.00    0.25    0.00    0.00    0.00   91.27
07:27:52 PM  all    3.02    4.68    1.16    0.00    0.00    0.15    0.00    0.00    0.00   91.00
07:27:53 PM  all    2.88    4.75    1.36    0.00    0.00    0.05    0.00    0.00    0.00   90.96
07:27:54 PM  all    3.07    4.32    1.36    0.00    0.00    0.20    0.00    0.00    0.00   91.05
07:27:55 PM  all    3.49    4.40    1.11    0.00    0.00    0.05    0.00    0.00    0.00   90.94
07:27:56 PM  all    2.82    4.58    1.31    0.05    0.00    0.30    0.00    0.00    0.00   90.94
07:27:57 PM  all    2.77    4.98    1.21    0.00    0.00    0.20    0.00    0.00    0.00   90.85
07:27:58 PM  all    2.93    4.55    1.06    0.05    0.00    0.10    0.00    0.00    0.00   91.30
07:27:59 PM  all    3.23    3.53    1.21    0.05    0.00    0.10    0.00    0.00    0.00   91.89
07:28:00 PM  all   17.24    0.00    1.16    0.10    0.00    0.00    0.00    0.00    0.00   81.51
07:28:01 PM  all   16.88    1.94    1.64    0.05    0.00    0.10    0.00    0.00    0.00   79.38
07:28:02 PM  all    4.62    2.96    1.30    0.00    0.00    0.15    0.00    0.00    0.00   90.97
07:28:03 PM  all    4.70    2.75    1.80    0.00    0.00    0.05    0.00    0.00    0.00   90.70
07:28:04 PM  all    5.00    2.80    1.15    0.05    0.00    0.10    0.00    0.00    0.00   90.90
07:28:05 PM  all    4.61    2.66    1.25    0.05    0.00    0.00    0.00    0.00    0.00   91.43
07:28:06 PM  all    5.21    2.56    1.25    0.00    0.00    0.05    0.00    0.00    0.00   90.93
07:28:07 PM  all   14.87    2.89    2.30    0.20    0.00    0.30    0.00    0.00    0.00   79.44
07:28:08 PM  all    5.16    2.56    1.30    0.05    0.00    0.00    0.00    0.00    0.00   90.93
07:28:09 PM  all    6.23    2.74    1.50    0.00    0.00    0.20    0.00    0.00    0.00   89.33
07:28:10 PM  all    5.38    2.76    1.56    0.00    0.00    0.10    0.00    0.00    0.00   90.20
07:28:11 PM  all    5.20    2.55    1.45    0.00    0.00    0.10    0.00    0.00    0.00   90.70
07:28:12 PM  all    4.37    2.81    1.46    0.00    0.00    0.10    0.00    0.00    0.00   91.27
07:28:13 PM  all    4.69    2.30    1.75    0.05    0.00    0.00    0.00    0.00    0.00   91.21
07:28:14 PM  all    4.85    2.55    1.80    0.00    0.00    0.10    0.00    0.00    0.00   90.70
07:28:15 PM  all    4.71    2.60    1.45    0.00    0.00    0.05    0.00    0.00    0.00   91.19
07:28:16 PM  all    4.90    2.75    1.35    0.00    0.00    0.10    0.00    0.00    0.00   90.91
07:28:17 PM  all    4.44    3.08    1.26    0.00    0.00    0.05    0.00    0.00    0.00   91.17
07:28:18 PM  all    5.16    2.21    1.30    0.00    0.00    0.00    0.00    0.00    0.00   91.33
