Linux 5.15.0-141-generic (node7) 	06/15/2025 	_x86_64_	(20 CPU)

10:25:29 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:25:30 PM  all   15.37    0.00    0.55    1.86    0.00    0.05    0.00    0.00    0.00   82.17
10:25:31 PM  all   17.51    0.00    1.05    0.30    0.00    0.00    0.00    0.00    0.00   81.14
10:25:32 PM  all    3.01    0.00    0.70    0.95    0.00    0.05    0.00    0.00    0.00   95.28
10:25:33 PM  all    1.15    0.00    0.45    0.25    0.00    0.10    0.00    0.00    0.00   98.05
10:25:34 PM  all   17.46    0.00    0.80    0.00    0.00    0.00    0.00    0.00    0.00   81.74
10:25:35 PM  all   16.78    0.00    1.01    0.55    0.00    0.00    0.00    0.00    0.00   81.66
10:25:36 PM  all   14.81    4.04    1.01    0.25    0.00    0.15    0.00    0.00    0.00   79.73
10:25:37 PM  all    3.13    4.55    1.21    0.00    0.00    0.20    0.00    0.00    0.00   90.90
10:25:38 PM  all    2.98    4.45    1.21    0.00    0.00    0.05    0.00    0.00    0.00   91.31
10:25:39 PM  all    2.86    5.02    1.36    0.00    0.00    0.05    0.00    0.00    0.00   90.71
10:25:40 PM  all    2.83    4.84    0.86    0.00    0.00    0.15    0.00    0.00    0.00   91.32
10:25:41 PM  all    2.92    4.58    1.36    0.05    0.00    0.15    0.00    0.00    0.00   90.94
10:25:42 PM  all    3.60    5.01    1.20    0.05    0.00    0.05    0.00    0.00    0.00   90.09
10:25:43 PM  all    2.58    4.80    1.06    0.00    0.00    0.10    0.00    0.00    0.00   91.46
10:25:44 PM  all    2.77    4.74    1.16    0.05    0.00    0.10    0.00    0.00    0.00   91.17
10:25:45 PM  all    3.02    4.43    1.36    0.00    0.00    0.05    0.00    0.00    0.00   91.13
10:25:46 PM  all    2.78    4.85    0.86    0.00    0.00    0.10    0.00    0.00    0.00   91.41
10:25:47 PM  all    2.78    4.60    1.21    0.05    0.00    0.15    0.00    0.00    0.00   91.21
10:25:48 PM  all    2.67    4.79    1.11    0.00    0.00    0.10    0.00    0.00    0.00   91.33
10:25:49 PM  all    2.73    4.65    1.16    0.00    0.00    0.00    0.00    0.00    0.00   91.45
10:25:50 PM  all    3.07    4.23    1.31    0.05    0.00    0.20    0.00    0.00    0.00   91.14
10:25:51 PM  all    3.58    4.49    1.01    0.00    0.00    0.05    0.00    0.00    0.00   90.86
10:25:52 PM  all    2.48    4.55    1.21    0.05    0.00    0.10    0.00    0.00    0.00   91.60
10:25:53 PM  all    2.52    4.63    1.51    0.00    0.00    0.10    0.00    0.00    0.00   91.24
10:25:54 PM  all    3.31    4.26    1.40    0.00    0.00    0.20    0.00    0.00    0.00   90.83
10:25:55 PM  all    2.87    5.03    0.80    0.00    0.00    0.15    0.00    0.00    0.00   91.15
10:25:56 PM  all    2.82    4.68    1.41    0.00    0.00    0.15    0.00    0.00    0.00   90.95
10:25:57 PM  all    2.96    4.67    1.41    0.00    0.00    0.10    0.00    0.00    0.00   90.86
10:25:58 PM  all    2.77    4.49    1.11    0.00    0.00    0.20    0.00    0.00    0.00   91.42
10:25:59 PM  all    2.97    4.49    1.06    0.00    0.00    0.10    0.00    0.00    0.00   91.38
10:26:00 PM  all    3.48    4.64    1.26    0.00    0.00    0.10    0.00    0.00    0.00   90.52
10:26:01 PM  all    2.61    4.73    1.46    0.00    0.00    0.10    0.00    0.00    0.00   91.10
10:26:02 PM  all    2.83    4.40    1.26    0.00    0.00    0.20    0.00    0.00    0.00   91.31
10:26:03 PM  all    2.41    4.77    1.71    0.05    0.00    0.10    0.00    0.00    0.00   90.96
10:26:04 PM  all    3.03    4.70    0.86    0.00    0.00    0.10    0.00    0.00    0.00   91.31
10:26:05 PM  all    3.22    4.27    1.31    0.05    0.00    0.15    0.00    0.00    0.00   91.00
10:26:06 PM  all   17.71    0.00    0.85    0.05    0.00    0.00    0.00    0.00    0.00   81.39
10:26:07 PM  all   18.79    2.01    1.86    0.20    0.00    0.00    0.00    0.00    0.00   77.14
10:26:08 PM  all   16.42    3.06    2.01    0.25    0.00    0.05    0.00    0.00    0.00   78.21
10:26:09 PM  all    4.55    2.85    1.35    0.00    0.00    0.00    0.00    0.00    0.00   91.26
10:26:10 PM  all    7.47    2.94    1.64    0.00    0.00    0.25    0.00    0.00    0.00   87.70
10:26:11 PM  all    4.75    2.80    2.05    0.00    0.00    0.15    0.00    0.00    0.00   90.25
10:26:12 PM  all    4.28    3.07    1.51    0.00    0.00    0.15    0.00    0.00    0.00   91.00
10:26:13 PM  all    4.94    3.19    1.30    0.00    0.00    0.05    0.00    0.00    0.00   90.53
10:26:14 PM  all    4.80    2.95    1.65    0.00    0.00    0.15    0.00    0.00    0.00   90.46
10:26:15 PM  all    4.46    3.06    1.30    0.05    0.00    0.10    0.00    0.00    0.00   91.03
10:26:16 PM  all    5.18    2.92    1.41    0.00    0.00    0.05    0.00    0.00    0.00   90.44
10:26:17 PM  all    4.90    3.05    1.40    0.10    0.00    0.00    0.00    0.00    0.00   90.55
10:26:18 PM  all    4.69    2.89    1.55    0.00    0.00    0.05    0.00    0.00    0.00   90.82
10:26:19 PM  all    3.92    3.32    1.26    0.00    0.00    0.10    0.00    0.00    0.00   91.41
10:26:20 PM  all    3.87    3.37    1.66    0.05    0.00    0.10    0.00    0.00    0.00   90.96
10:26:21 PM  all    5.11    3.10    1.15    0.00    0.00    0.05    0.00    0.00    0.00   90.59
10:26:22 PM  all    4.48    3.09    1.64    0.05    0.00    0.10    0.00    0.00    0.00   90.64
10:26:23 PM  all    4.47    2.91    1.51    0.25    0.00    0.00    0.00    0.00    0.00   90.87
10:26:24 PM  all    5.32    0.95    1.10    0.00    0.00    0.00    0.00    0.00    0.00   92.63
