Linux 5.15.0-141-generic (node7) 	06/15/2025 	_x86_64_	(20 CPU)

11:01:41 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:01:42 PM  all   15.92    0.00    0.85    1.91    0.00    0.00    0.00    0.00    0.00   81.32
11:01:43 PM  all   17.07    0.00    0.80    0.30    0.00    0.00    0.00    0.00    0.00   81.83
11:01:44 PM  all    2.91    0.00    0.95    0.85    0.00    0.00    0.00    0.00    0.00   95.28
11:01:45 PM  all    1.00    0.00    0.50    0.30    0.00    0.10    0.00    0.00    0.00   98.10
11:01:46 PM  all   29.17    0.00    2.26    0.00    0.00    0.00    0.00    0.00    0.00   68.57
11:01:47 PM  all   94.16    0.00    5.84    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:01:48 PM  all   93.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:01:49 PM  all   93.46    0.00    6.54    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:01:50 PM  all   92.95    0.00    7.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:01:51 PM  all   92.80    0.00    7.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:01:52 PM  all   92.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:01:53 PM  all   93.20    0.00    6.80    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:01:54 PM  all   91.34    0.00    8.66    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:01:55 PM  all   92.09    0.00    7.91    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:01:56 PM  all   92.51    0.00    7.49    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:01:57 PM  all   93.64    0.00    6.36    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:01:58 PM  all   93.56    0.00    6.44    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:01:59 PM  all   93.75    0.00    6.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:02:00 PM  all   72.22    0.00    8.01    0.00    0.00    0.00    0.00    0.00    0.00   19.77
11:02:01 PM  all   19.54    0.00    3.81    0.00    0.00    0.00    0.00    0.00    0.00   76.65
11:02:02 PM  all   18.70    0.00    3.71    0.05    0.00    0.00    0.00    0.00    0.00   77.54
11:02:03 PM  all   19.77    0.00    4.30    0.00    0.00    0.00    0.00    0.00    0.00   75.93
11:02:04 PM  all   19.60    0.00    4.35    0.05    0.00    0.05    0.00    0.00    0.00   75.95
11:02:05 PM  all   19.97    0.00    3.82    0.05    0.00    0.15    0.00    0.00    0.00   76.01
11:02:06 PM  all   19.80    0.00    4.46    0.00    0.00    0.10    0.00    0.00    0.00   75.64
11:02:07 PM  all   20.29    0.00    4.51    0.10    0.00    0.15    0.00    0.00    0.00   74.95
11:02:08 PM  all   23.88    0.00    4.89    0.05    0.00    0.00    0.00    0.00    0.00   71.18
11:02:09 PM  all   21.29    0.00    4.31    0.05    0.00    0.15    0.00    0.00    0.00   74.20
11:02:10 PM  all   25.06    0.00    4.92    0.00    0.00    0.10    0.00    0.00    0.00   69.91
11:02:11 PM  all   15.82    0.00    2.56    0.05    0.00    0.05    0.00    0.00    0.00   81.52
11:02:12 PM  all    0.90    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.84
11:02:13 PM  all    0.20    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.65
11:02:14 PM  all    0.15    0.00    0.40    0.05    0.00    0.05    0.00    0.00    0.00   99.35
11:02:15 PM  all    0.30    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.55
11:02:16 PM  all    1.16    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.69
11:02:17 PM  all    0.50    0.00    0.25    0.10    0.00    0.00    0.00    0.00    0.00   99.15
11:02:18 PM  all    0.55    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.30
11:02:19 PM  all   68.03    0.00   11.39    0.05    0.00    0.55    0.00    0.00    0.00   19.98
11:02:20 PM  all   93.34    1.30    5.31    0.00    0.00    0.05    0.00    0.00    0.00    0.00
11:02:21 PM  all   84.12   11.04    4.70    0.00    0.00    0.10    0.00    0.00    0.00    0.05
11:02:22 PM  all   81.94   13.56    4.40    0.00    0.00    0.05    0.00    0.00    0.00    0.05
11:02:23 PM  all   31.94   49.62    6.11    0.20    0.00    0.71    0.00    0.00    0.00   11.41
11:02:24 PM  all   22.27   55.91    6.52    0.00    0.00    0.76    0.00    0.00    0.00   14.55
11:02:25 PM  all   21.58   58.06    6.11    0.00    0.00    0.96    0.00    0.00    0.00   13.29
11:02:26 PM  all   22.41   58.61    5.50    0.00    0.00    0.81    0.00    0.00    0.00   12.67
11:02:27 PM  all   21.73   58.68    5.89    0.00    0.00    0.71    0.00    0.00    0.00   12.99
11:02:28 PM  all   22.93   57.91    5.74    0.00    0.00    0.56    0.00    0.00    0.00   12.86
11:02:29 PM  all   22.31   58.77    5.68    0.00    0.00    0.46    0.00    0.00    0.00   12.78
11:02:30 PM  all   21.31   59.16    6.12    0.00    0.00    0.71    0.00    0.00    0.00   12.70
11:02:31 PM  all   22.84   57.75    5.63    0.00    0.00    1.01    0.00    0.00    0.00   12.78
11:02:32 PM  all   21.72   59.72    4.88    0.00    0.00    0.76    0.00    0.00    0.00   12.92
11:02:33 PM  all   21.77   58.43    5.97    0.00    0.00    1.01    0.00    0.00    0.00   12.81
11:02:34 PM  all   21.86   58.80    5.54    0.05    0.00    0.97    0.00    0.00    0.00   12.78
11:02:35 PM  all   21.76   59.01    5.91    0.00    0.00    0.96    0.00    0.00    0.00   12.37
11:02:36 PM  all   22.53   58.63    5.47    0.05    0.00    0.71    0.00    0.00    0.00   12.61
11:02:37 PM  all   22.24   57.98    6.09    0.00    0.00    0.86    0.00    0.00    0.00   12.83
11:02:38 PM  all   22.32   58.70    5.12    0.00    0.00    0.71    0.00    0.00    0.00   13.14
11:02:39 PM  all   21.92   58.99    5.63    0.00    0.00    0.46    0.00    0.00    0.00   13.01
11:02:40 PM  all   21.98   58.95    5.76    0.00    0.00    0.71    0.00    0.00    0.00   12.60
11:02:41 PM  all   21.94   58.74    5.76    0.05    0.00    0.77    0.00    0.00    0.00   12.74
11:02:42 PM  all   21.18   59.52    5.41    0.00    0.00    0.97    0.00    0.00    0.00   12.91
11:02:43 PM  all   22.67   58.62    5.69    0.00    0.00    0.41    0.00    0.00    0.00   12.61
11:02:44 PM  all   21.27   58.17    6.55    0.00    0.00    1.02    0.00    0.00    0.00   12.99
11:02:45 PM  all   23.10   57.67    5.61    0.00    0.00    0.92    0.00    0.00    0.00   12.70
11:02:46 PM  all   22.65   57.96    6.06    0.00    0.00    0.61    0.00    0.00    0.00   12.72
11:02:47 PM  all   21.41   58.20    5.74    0.00    0.00    0.87    0.00    0.00    0.00   13.78
11:02:48 PM  all   20.72   59.22    6.53    0.00    0.00    0.91    0.00    0.00    0.00   12.61
11:02:49 PM  all   30.88   40.63    8.18    0.00    0.00    0.61    0.00    0.00    0.00   19.71
11:02:50 PM  all   99.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:02:51 PM  all   99.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:02:52 PM  all   95.55    0.00    4.45    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:02:53 PM  all   36.14    0.00   16.32    0.10    0.00    0.20    0.00    0.00    0.00   47.25
11:02:54 PM  all   16.39    1.41    1.16    0.10    0.00    0.00    0.00    0.00    0.00   80.95
11:02:55 PM  all    3.43    3.94    0.91    0.00    0.00    0.10    0.00    0.00    0.00   91.62
11:02:56 PM  all    3.63    3.89    0.86    0.00    0.00    0.05    0.00    0.00    0.00   91.57
11:02:57 PM  all    3.92    3.62    0.86    0.00    0.00    0.05    0.00    0.00    0.00   91.55
11:02:58 PM  all    4.02    3.42    1.36    0.00    0.00    0.10    0.00    0.00    0.00   91.11
11:02:59 PM  all    5.68    2.41    1.56    0.15    0.00    0.10    0.00    0.00    0.00   90.11
11:03:00 PM  all    4.22    2.56    1.61    0.00    0.00    0.05    0.00    0.00    0.00   91.57
11:03:01 PM  all    4.66    2.55    1.35    0.00    0.00    0.00    0.00    0.00    0.00   91.44
11:03:02 PM  all    4.18    2.67    1.11    0.00    0.00    0.00    0.00    0.00    0.00   92.04
11:03:03 PM  all    4.12    2.61    1.66    0.00    0.00    0.20    0.00    0.00    0.00   91.41
11:03:04 PM  all    4.87    2.78    1.64    0.05    0.00    0.00    0.00    0.00    0.00   90.67
11:03:05 PM  all    4.21    2.51    1.50    0.00    0.00    0.10    0.00    0.00    0.00   91.68
11:03:06 PM  all    4.76    2.25    1.30    0.00    0.00    0.10    0.00    0.00    0.00   91.58
11:03:07 PM  all    5.08    2.59    1.64    0.00    0.00    0.10    0.00    0.00    0.00   90.59
11:03:08 PM  all    4.82    1.11    1.01    0.05    0.00    0.00    0.00    0.00    0.00   93.02
