Linux 5.15.0-141-generic (node7) 	06/16/2025 	_x86_64_	(20 CPU)

02:19:25 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:19:26 AM  all   15.21    0.00    0.55    1.96    0.00    0.05    0.00    0.00    0.00   82.22
02:19:27 AM  all   17.24    0.00    1.15    0.45    0.00    0.05    0.00    0.00    0.00   81.11
02:19:28 AM  all    3.12    0.00    0.30    0.91    0.00    0.05    0.00    0.00    0.00   95.62
02:19:29 AM  all    0.75    0.00    0.50    0.30    0.00    0.05    0.00    0.00    0.00   98.40
02:19:30 AM  all   17.42    0.00    0.90    0.05    0.00    0.00    0.00    0.00    0.00   81.63
02:19:31 AM  all   16.57    0.00    0.91    0.00    0.00    0.00    0.00    0.00    0.00   82.53
02:19:32 AM  all   14.99    4.20    1.15    0.40    0.00    0.20    0.00    0.00    0.00   79.06
02:19:33 AM  all    2.43    5.87    0.96    0.00    0.00    0.00    0.00    0.00    0.00   90.74
02:19:34 AM  all    2.88    5.55    1.01    0.20    0.00    0.25    0.00    0.00    0.00   90.11
02:19:35 AM  all    2.16    5.73    1.26    0.05    0.00    0.15    0.00    0.00    0.00   90.65
02:19:36 AM  all    2.42    5.64    1.26    0.00    0.00    0.25    0.00    0.00    0.00   90.44
02:19:37 AM  all    2.72    5.73    0.91    0.05    0.00    0.10    0.00    0.00    0.00   90.49
02:19:38 AM  all    2.27    5.49    1.01    0.00    0.00    0.15    0.00    0.00    0.00   91.08
02:19:39 AM  all    1.92    5.62    1.16    0.00    0.00    0.05    0.00    0.00    0.00   91.24
02:19:40 AM  all    2.12    5.60    1.16    0.05    0.00    0.10    0.00    0.00    0.00   90.97
02:19:41 AM  all    1.86    5.74    1.26    0.00    0.00    0.30    0.00    0.00    0.00   90.84
02:19:42 AM  all    1.72    5.91    1.11    0.00    0.00    0.20    0.00    0.00    0.00   91.06
02:19:43 AM  all    2.76    5.58    1.26    0.05    0.00    0.20    0.00    0.00    0.00   90.16
02:19:44 AM  all    2.21    6.08    1.01    0.00    0.00    0.10    0.00    0.00    0.00   90.60
02:19:45 AM  all    2.21    5.83    1.10    0.05    0.00    0.20    0.00    0.00    0.00   90.61
02:19:46 AM  all    1.97    5.91    1.41    0.15    0.00    0.05    0.00    0.00    0.00   90.50
02:19:47 AM  all    1.77    5.95    1.16    0.15    0.00    0.10    0.00    0.00    0.00   90.87
02:19:48 AM  all    2.17    5.90    1.06    0.00    0.00    0.10    0.00    0.00    0.00   90.77
02:19:49 AM  all    2.46    5.61    1.20    0.00    0.00    0.20    0.00    0.00    0.00   90.53
02:19:50 AM  all    2.18    5.67    0.81    0.05    0.00    0.10    0.00    0.00    0.00   91.20
02:19:51 AM  all    1.86    6.00    1.01    0.00    0.00    0.20    0.00    0.00    0.00   90.93
02:19:52 AM  all    2.67    5.39    1.36    0.00    0.00    0.20    0.00    0.00    0.00   90.39
02:19:53 AM  all    2.42    5.80    1.21    0.00    0.00    0.10    0.00    0.00    0.00   90.47
02:19:54 AM  all    1.82    5.62    1.06    0.00    0.00    0.15    0.00    0.00    0.00   91.35
02:19:55 AM  all    2.26    5.83    1.01    0.10    0.00    0.15    0.00    0.00    0.00   90.65
02:19:56 AM  all    1.97    5.85    0.86    0.05    0.00    0.05    0.00    0.00    0.00   91.23
02:19:57 AM  all    1.87    5.80    1.31    0.00    0.00    0.10    0.00    0.00    0.00   90.92
02:19:58 AM  all    2.32    5.80    1.01    0.05    0.00    0.00    0.00    0.00    0.00   90.82
02:19:59 AM  all    2.06    6.14    1.06    0.00    0.00    0.10    0.00    0.00    0.00   90.64
02:20:00 AM  all    2.70    5.76    1.35    0.00    0.00    0.00    0.00    0.00    0.00   90.19
02:20:01 AM  all    1.87    6.01    0.76    0.10    0.00    0.10    0.00    0.00    0.00   91.16
02:20:02 AM  all   17.33    0.15    1.00    0.10    0.00    0.05    0.00    0.00    0.00   81.37
02:20:03 AM  all   16.59    1.65    1.30    0.05    0.00    0.00    0.00    0.00    0.00   80.41
02:20:04 AM  all    4.39    3.94    1.35    0.00    0.00    0.05    0.00    0.00    0.00   90.26
02:20:05 AM  all    3.62    4.02    1.26    0.05    0.00    0.00    0.00    0.00    0.00   91.06
02:20:06 AM  all    3.75    4.30    1.40    0.00    0.00    0.15    0.00    0.00    0.00   90.41
02:20:07 AM  all    7.00    4.05    1.65    0.35    0.00    0.10    0.00    0.00    0.00   86.86
02:20:08 AM  all    4.22    3.87    1.56    0.00    0.00    0.00    0.00    0.00    0.00   90.36
02:20:09 AM  all    4.03    3.93    1.36    0.00    0.00    0.05    0.00    0.00    0.00   90.63
02:20:10 AM  all    5.60    4.35    1.25    0.10    0.00    0.20    0.00    0.00    0.00   88.51
02:20:11 AM  all    4.43    3.93    1.06    0.00    0.00    0.00    0.00    0.00    0.00   90.58
02:20:12 AM  all    4.92    4.42    1.21    0.00    0.00    0.05    0.00    0.00    0.00   89.40
02:20:13 AM  all    3.87    4.32    0.90    0.05    0.00    0.15    0.00    0.00    0.00   90.71
02:20:14 AM  all    3.02    4.33    1.16    0.00    0.00    0.05    0.00    0.00    0.00   91.43
02:20:15 AM  all    3.62    4.07    1.21    0.00    0.00    0.05    0.00    0.00    0.00   91.05
02:20:16 AM  all    3.61    3.91    1.45    0.05    0.00    0.10    0.00    0.00    0.00   90.87
02:20:17 AM  all    3.80    4.00    1.60    0.00    0.00    0.05    0.00    0.00    0.00   90.55
02:20:18 AM  all    4.49    3.84    1.45    0.00    0.00    0.05    0.00    0.00    0.00   90.17
02:20:19 AM  all    3.57    4.38    1.16    0.00    0.00    0.15    0.00    0.00    0.00   90.74
02:20:20 AM  all    3.75    3.90    1.25    0.05    0.00    0.00    0.00    0.00    0.00   91.05
02:20:21 AM  all    3.47    3.98    1.46    0.00    0.00    0.00    0.00    0.00    0.00   91.09
02:20:22 AM  all    3.38    4.24    1.11    0.05    0.00    0.00    0.00    0.00    0.00   91.21
02:20:23 AM  all    4.05    4.05    1.25    0.00    0.00    0.00    0.00    0.00    0.00   90.66
02:20:24 AM  all    4.33    2.11    0.76    0.00    0.00    0.00    0.00    0.00    0.00   92.80
