Linux 5.15.0-141-generic (node7) 	06/16/2025 	_x86_64_	(20 CPU)

03:34:31 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:34:32 AM  all   15.52    0.00    0.66    1.86    0.00    0.10    0.00    0.00    0.00   81.85
03:34:33 AM  all   17.44    0.00    0.85    1.15    0.00    0.05    0.00    0.00    0.00   80.50
03:34:34 AM  all    3.51    0.00    0.70    0.80    0.00    0.10    0.00    0.00    0.00   94.88
03:34:35 AM  all    0.75    0.00    0.20    0.30    0.00    0.10    0.00    0.00    0.00   98.64
03:34:36 AM  all   16.74    0.00    1.00    0.30    0.00    0.05    0.00    0.00    0.00   81.90
03:34:37 AM  all   81.53    0.05    5.76    0.00    0.00    0.00    0.00    0.00    0.00   12.66
03:34:38 AM  all   93.30    0.00    6.70    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:34:39 AM  all   92.30    0.00    7.70    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:34:40 AM  all   93.05    0.00    6.95    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:34:41 AM  all   92.24    0.00    7.76    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:34:42 AM  all   92.50    0.00    7.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:34:43 AM  all   92.90    0.00    7.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:34:44 AM  all   91.05    0.00    8.95    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:34:45 AM  all   91.75    0.00    8.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:34:46 AM  all   92.14    0.00    7.86    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:34:47 AM  all   93.21    0.00    6.79    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:34:48 AM  all   94.04    0.00    5.96    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:34:49 AM  all   93.31    0.00    6.69    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:34:50 AM  all   86.99    0.00    6.70    0.00    0.00    0.00    0.00    0.00    0.00    6.30
03:34:51 AM  all   15.94    0.00    4.01    0.05    0.00    0.00    0.00    0.00    0.00   80.00
03:34:52 AM  all   12.61    0.00    3.82    0.00    0.00    0.00    0.00    0.00    0.00   83.58
03:34:53 AM  all   12.31    0.00    3.55    0.00    0.00    0.00    0.00    0.00    0.00   84.14
03:34:54 AM  all   12.36    0.00    3.37    0.05    0.00    0.00    0.00    0.00    0.00   84.22
03:34:55 AM  all   12.70    0.00    3.60    0.00    0.00    0.20    0.00    0.00    0.00   83.50
03:34:56 AM  all   12.88    0.00    3.62    0.00    0.00    0.05    0.00    0.00    0.00   83.44
03:34:57 AM  all   12.93    0.00    4.07    0.05    0.00    0.05    0.00    0.00    0.00   82.90
03:34:58 AM  all   13.00    0.00    4.13    0.00    0.00    0.05    0.00    0.00    0.00   82.81
03:34:59 AM  all   13.15    0.00    3.96    0.05    0.00    0.05    0.00    0.00    0.00   82.79
03:35:00 AM  all   12.86    0.00    4.22    0.00    0.00    0.15    0.00    0.00    0.00   82.76
03:35:01 AM  all   13.88    0.00    3.57    0.00    0.00    0.10    0.00    0.00    0.00   82.45
03:35:02 AM  all   13.42    0.00    3.67    0.05    0.00    0.10    0.00    0.00    0.00   82.76
03:35:03 AM  all   13.71    0.00    3.87    0.00    0.00    0.15    0.00    0.00    0.00   82.27
03:35:04 AM  all   13.41    0.00    4.10    0.05    0.00    0.30    0.00    0.00    0.00   82.14
03:35:05 AM  all   13.33    0.00    4.02    0.00    0.00    0.05    0.00    0.00    0.00   82.60
03:35:06 AM  all   13.06    0.00    4.12    0.05    0.00    0.10    0.00    0.00    0.00   82.67
03:35:07 AM  all   14.25    0.00    4.32    0.15    0.00    0.10    0.00    0.00    0.00   81.18
03:35:08 AM  all   13.60    0.00    3.93    0.00    0.00    0.15    0.00    0.00    0.00   82.32
03:35:09 AM  all   13.66    0.00    4.55    0.10    0.00    0.25    0.00    0.00    0.00   81.43
03:35:10 AM  all   14.71    0.00    4.20    0.00    0.00    0.20    0.00    0.00    0.00   80.88
03:35:11 AM  all   14.18    0.00    3.92    0.00    0.00    0.15    0.00    0.00    0.00   81.75
03:35:12 AM  all   14.99    0.00    3.81    0.10    0.00    0.10    0.00    0.00    0.00   80.99
03:35:13 AM  all   15.55    0.00    4.16    0.00    0.00    0.15    0.00    0.00    0.00   80.14
03:35:14 AM  all   15.41    0.00    4.02    0.00    0.00    0.15    0.00    0.00    0.00   80.42
03:35:15 AM  all    2.51    0.00    0.85    0.05    0.00    0.05    0.00    0.00    0.00   96.54
03:35:16 AM  all    0.30    0.00    0.35    0.05    0.00    0.00    0.00    0.00    0.00   99.30
03:35:17 AM  all    0.25    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.60
03:35:18 AM  all    0.20    0.00    0.05    0.10    0.00    0.00    0.00    0.00    0.00   99.65
03:35:19 AM  all    3.46    0.00    1.20    0.05    0.00    0.00    0.00    0.00    0.00   95.29
03:35:20 AM  all   86.81    0.00   11.44    0.05    0.00    0.40    0.00    0.00    0.00    1.30
03:35:21 AM  all   92.19    2.85    4.85    0.00    0.00    0.05    0.00    0.00    0.00    0.05
03:35:22 AM  all   80.41   14.69    4.80    0.00    0.00    0.10    0.00    0.00    0.00    0.00
03:35:23 AM  all   82.46   12.93    4.26    0.00    0.00    0.10    0.00    0.00    0.00    0.25
03:35:24 AM  all   24.36   57.06    6.65    0.00    0.00    0.72    0.00    0.00    0.00   11.21
03:35:25 AM  all   13.34   64.75    7.44    0.00    0.00    0.41    0.00    0.00    0.00   14.06
03:35:26 AM  all   14.99   64.96    6.84    0.00    0.00    0.66    0.00    0.00    0.00   12.56
03:35:27 AM  all   14.98   64.78    6.85    0.05    0.00    0.46    0.00    0.00    0.00   12.87
03:35:28 AM  all   14.63   65.64    6.76    0.00    0.00    0.86    0.00    0.00    0.00   12.11
03:35:29 AM  all   12.78   67.02    6.24    0.00    0.00    0.77    0.00    0.00    0.00   13.19
03:35:30 AM  all   13.90   66.16    6.54    0.00    0.00    0.41    0.00    0.00    0.00   12.99
03:35:31 AM  all   14.68   65.46    6.96    0.00    0.00    0.46    0.00    0.00    0.00   12.44
03:35:32 AM  all   11.28   68.49    6.33    0.05    0.00    0.51    0.00    0.00    0.00   13.34
03:35:33 AM  all   14.39   66.07    6.46    0.05    0.00    0.51    0.00    0.00    0.00   12.51
03:35:34 AM  all   13.84   66.44    6.92    0.00    0.00    0.41    0.00    0.00    0.00   12.39
03:35:35 AM  all   14.58   65.27    6.83    0.00    0.00    0.51    0.00    0.00    0.00   12.80
03:35:36 AM  all   14.27   66.77    5.50    0.00    0.00    0.61    0.00    0.00    0.00   12.84
03:35:37 AM  all   13.01   68.03    5.99    0.00    0.00    0.61    0.00    0.00    0.00   12.35
03:35:38 AM  all   13.81   65.31    7.53    0.00    0.00    0.62    0.00    0.00    0.00   12.73
03:35:39 AM  all   13.15   66.97    6.68    0.00    0.00    0.46    0.00    0.00    0.00   12.74
03:35:40 AM  all   12.93   67.43    6.44    0.05    0.00    0.51    0.00    0.00    0.00   12.63
03:35:41 AM  all   13.74   66.67    6.72    0.00    0.00    0.72    0.00    0.00    0.00   12.15
03:35:42 AM  all   13.48   67.99    5.92    0.05    0.00    0.31    0.00    0.00    0.00   12.25
03:35:43 AM  all   14.11   66.17    6.62    0.05    0.00    0.71    0.00    0.00    0.00   12.33
03:35:44 AM  all   12.30   67.65    7.39    0.00    0.00    0.52    0.00    0.00    0.00   12.14
03:35:45 AM  all   13.09   67.77    6.19    0.00    0.00    0.51    0.00    0.00    0.00   12.43
03:35:46 AM  all   14.08   66.50    6.47    0.00    0.00    0.57    0.00    0.00    0.00   12.38
03:35:47 AM  all   14.02   66.67    6.52    0.00    0.00    0.66    0.00    0.00    0.00   12.13
03:35:48 AM  all   13.71   66.87    6.57    0.00    0.00    0.77    0.00    0.00    0.00   12.07
03:35:49 AM  all   14.26   66.34    6.57    0.00    0.00    0.56    0.00    0.00    0.00   12.27
03:35:50 AM  all   24.71   35.25    8.91    0.00    0.00    0.05    0.00    0.00    0.00   31.07
03:35:51 AM  all    5.10    0.00    0.20    0.05    0.00    0.00    0.00    0.00    0.00   94.65
03:35:52 AM  all    5.16    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   94.69
03:35:53 AM  all   85.09    0.00    0.65    0.00    0.00    0.00    0.00    0.00    0.00   14.26
03:35:54 AM  all   99.80    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:35:55 AM  all   97.75    0.00    2.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00
03:35:56 AM  all   46.74    0.00   21.59    0.00    0.00    0.10    0.00    0.00    0.00   31.58
03:35:57 AM  all   23.69    0.65    1.00    0.05    0.00    0.10    0.00    0.00    0.00   74.51
03:35:58 AM  all    2.77    5.09    0.86    0.00    0.00    0.05    0.00    0.00    0.00   91.24
03:35:59 AM  all    2.57    5.33    1.01    0.00    0.00    0.10    0.00    0.00    0.00   90.99
03:36:00 AM  all    3.38    5.05    1.06    0.00    0.00    0.00    0.00    0.00    0.00   90.51
03:36:01 AM  all    3.21    5.06    1.20    0.00    0.00    0.05    0.00    0.00    0.00   90.48
03:36:02 AM  all    3.52    4.43    0.86    0.00    0.00    0.15    0.00    0.00    0.00   91.04
03:36:03 AM  all    3.36    3.96    1.75    0.05    0.00    0.00    0.00    0.00    0.00   90.89
03:36:04 AM  all    4.16    3.76    1.45    0.00    0.00    0.00    0.00    0.00    0.00   90.64
03:36:05 AM  all    3.38    4.08    0.96    0.00    0.00    0.00    0.00    0.00    0.00   91.58
03:36:06 AM  all    3.70    4.10    1.20    0.05    0.00    0.10    0.00    0.00    0.00   90.85
03:36:07 AM  all   13.90    3.81    2.11    0.35    0.00    0.10    0.00    0.00    0.00   79.73
03:36:08 AM  all    6.55    4.02    1.69    0.00    0.00    0.10    0.00    0.00    0.00   87.64
03:36:09 AM  all    4.80    3.80    1.35    0.00    0.00    0.00    0.00    0.00    0.00   90.05
03:36:10 AM  all    5.71    4.05    1.30    0.05    0.00    0.25    0.00    0.00    0.00   88.64
03:36:11 AM  all    4.46    4.06    1.40    0.05    0.00    0.05    0.00    0.00    0.00   89.98
03:36:12 AM  all    3.86    4.16    1.35    0.00    0.00    0.20    0.00    0.00    0.00   90.44
03:36:13 AM  all    3.69    3.89    1.16    0.00    0.00    0.05    0.00    0.00    0.00   91.22
03:36:14 AM  all    3.61    4.16    1.40    0.00    0.00    0.00    0.00    0.00    0.00   90.83
03:36:15 AM  all    3.72    3.77    1.21    0.00    0.00    0.05    0.00    0.00    0.00   91.25
03:36:16 AM  all    4.31    3.96    1.88    0.05    0.00    0.10    0.00    0.00    0.00   89.69
