Linux 5.15.0-141-generic (node7) 	06/16/2025 	_x86_64_	(20 CPU)

04:30:25 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:30:26 AM  all   15.77    0.00    0.60    1.70    0.00    0.00    0.00    0.00    0.00   81.93
04:30:27 AM  all   17.33    0.00    0.60    0.20    0.00    0.00    0.00    0.00    0.00   81.87
04:30:28 AM  all    1.96    0.00    0.35    0.70    0.00    0.00    0.00    0.00    0.00   96.99
04:30:29 AM  all    0.35    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.50
04:30:30 AM  all    0.35    0.00    0.10    0.10    0.00    0.00    0.00    0.00    0.00   99.45
04:30:31 AM  all   16.44    0.00    1.20    0.40    0.00    0.05    0.00    0.00    0.00   81.90
04:30:32 AM  all   17.53    0.00    1.10    0.00    0.00    0.00    0.00    0.00    0.00   81.37
04:30:33 AM  all   16.49   25.29    3.07    0.77    0.00    0.05    0.00    0.00    0.00   54.33
04:30:34 AM  all    5.13   45.03    4.31    0.00    0.00    0.05    0.00    0.00    0.00   45.48
04:30:35 AM  all    4.51   44.27    4.10    0.00    0.00    0.16    0.00    0.00    0.00   46.96
04:30:36 AM  all    3.76   44.79    3.28    0.00    0.00    0.00    0.00    0.00    0.00   48.17
04:30:37 AM  all    4.51   45.61    3.91    0.00    0.00    0.10    0.00    0.00    0.00   45.86
04:30:38 AM  all    4.57   43.88    3.57    0.00    0.00    0.05    0.00    0.00    0.00   47.92
04:30:39 AM  all    3.73   43.80    3.63    0.00    0.00    0.00    0.00    0.00    0.00   48.84
04:30:40 AM  all    3.70   43.78    3.86    0.00    0.00    0.11    0.00    0.00    0.00   48.55
04:30:41 AM  all    3.53   44.58    4.05    0.00    0.00    0.00    0.00    0.00    0.00   47.85
04:30:42 AM  all    3.83   46.30    3.63    0.00    0.00    0.00    0.00    0.00    0.00   46.24
04:30:43 AM  all    4.11   44.40    3.33    0.05    0.00    0.16    0.00    0.00    0.00   47.94
04:30:44 AM  all    3.98   46.97    3.58    0.00    0.00    0.05    0.00    0.00    0.00   45.43
04:30:45 AM  all    4.17   42.93    4.27    0.00    0.00    0.11    0.00    0.00    0.00   48.52
04:30:46 AM  all    4.89   43.92    3.91    0.05    0.00    0.10    0.00    0.00    0.00   47.12
04:30:47 AM  all    4.30   45.40    3.59    0.00    0.00    0.00    0.00    0.00    0.00   46.71
04:30:48 AM  all    4.90   44.75    4.19    0.00    0.00    0.05    0.00    0.00    0.00   46.11
04:30:49 AM  all    4.74   44.58    4.53    0.05    0.00    0.10    0.00    0.00    0.00   45.99
04:30:50 AM  all    3.72   44.03    3.83    0.00    0.00    0.00    0.00    0.00    0.00   48.43
04:30:51 AM  all    4.08   45.84    4.29    0.00    0.00    0.05    0.00    0.00    0.00   45.74
04:30:52 AM  all    4.75   45.60    4.40    1.20    0.00    0.05    0.00    0.00    0.00   43.99
04:30:53 AM  all    5.00   44.95    3.79    0.51    0.00    0.00    0.00    0.00    0.00   45.76
04:30:54 AM  all    3.38   45.79    3.74    0.00    0.00    0.10    0.00    0.00    0.00   46.97
04:30:55 AM  all    5.24   44.48    3.31    0.00    0.00    0.05    0.00    0.00    0.00   46.92
04:30:56 AM  all    5.70   44.40    3.61    0.05    0.00    0.00    0.00    0.00    0.00   46.24
04:30:57 AM  all    5.16   45.23    4.37    0.00    0.00    0.05    0.00    0.00    0.00   45.18
04:30:58 AM  all    3.91   45.14    3.86    0.05    0.00    0.10    0.00    0.00    0.00   46.94
04:30:59 AM  all    5.10   45.93    4.22    0.00    0.00    0.00    0.00    0.00    0.00   44.75
04:31:00 AM  all    4.26   47.25    3.22    0.00    0.00    0.10    0.00    0.00    0.00   45.18
04:31:01 AM  all    4.18   45.59    3.36    0.05    0.00    0.05    0.00    0.00    0.00   46.77
04:31:02 AM  all    3.81   46.22    3.86    0.00    0.00    0.00    0.00    0.00    0.00   46.12
04:31:03 AM  all   18.46    5.77    1.30    0.15    0.00    0.00    0.00    0.00    0.00   74.31
04:31:04 AM  all   16.66   18.21    3.00    0.10    0.00    0.05    0.00    0.00    0.00   61.98
04:31:05 AM  all    5.58   37.68    3.96    0.00    0.00    0.05    0.00    0.00    0.00   52.74
04:31:06 AM  all    5.92   38.42    3.19    0.00    0.00    0.05    0.00    0.00    0.00   52.43
04:31:07 AM  all   10.54   37.99    3.58    0.05    0.00    0.05    0.00    0.00    0.00   47.78
04:31:08 AM  all    5.00   39.02    3.13    0.00    0.00    0.05    0.00    0.00    0.00   52.80
04:31:09 AM  all    5.31   38.49    3.27    0.00    0.00    0.10    0.00    0.00    0.00   52.83
04:31:10 AM  all    5.70   38.17    3.51    0.05    0.00    0.05    0.00    0.00    0.00   52.52
04:31:11 AM  all    4.31   39.62    3.30    0.00    0.00    0.10    0.00    0.00    0.00   52.66
04:31:12 AM  all    5.61   36.06    3.86    0.00    0.00    0.10    0.00    0.00    0.00   54.37
04:31:13 AM  all    5.14   35.00    3.73    0.05    0.00    0.00    0.00    0.00    0.00   56.08
