Linux 5.15.0-141-generic (node7) 	06/16/2025 	_x86_64_	(20 CPU)

05:47:51 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:47:52 AM  all   15.54    0.00    1.11    3.28    0.00    0.05    0.00    0.00    0.00   80.02
05:47:53 AM  all   17.13    0.00    1.00    0.35    0.00    0.05    0.00    0.00    0.00   81.47
05:47:54 AM  all    2.36    0.00    0.75    1.00    0.00    0.05    0.00    0.00    0.00   95.84
05:47:55 AM  all    0.20    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.65
05:47:56 AM  all    0.25    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.65
05:47:57 AM  all   16.72    0.00    1.20    0.35    0.00    0.05    0.00    0.00    0.00   81.68
05:47:58 AM  all   83.32    0.00    5.44    0.00    0.00    0.00    0.00    0.00    0.00   11.24
05:47:59 AM  all   92.89    0.00    7.11    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:48:00 AM  all   93.05    0.00    6.95    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:48:01 AM  all   93.29    0.00    6.71    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:48:02 AM  all   92.31    0.00    7.69    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:48:03 AM  all   92.54    0.00    7.46    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:48:04 AM  all   91.95    0.00    8.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:48:05 AM  all   92.75    0.00    7.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:48:06 AM  all   92.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:48:07 AM  all   91.06    0.00    8.94    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:48:08 AM  all   92.76    0.00    7.24    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:48:09 AM  all   93.56    0.00    6.44    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:48:10 AM  all   94.29    0.00    5.66    0.00    0.00    0.00    0.00    0.00    0.00    0.05
05:48:11 AM  all   70.82    0.00    6.86    0.00    0.00    0.00    0.00    0.00    0.00   22.32
05:48:12 AM  all   12.56    0.00    3.75    0.20    0.00    0.05    0.00    0.00    0.00   83.43
05:48:13 AM  all   12.01    0.00    3.92    0.00    0.00    0.00    0.00    0.00    0.00   84.07
05:48:14 AM  all   12.83    0.00    3.46    0.00    0.00    0.00    0.00    0.00    0.00   83.72
05:48:15 AM  all   12.10    0.00    3.77    0.15    0.00    0.05    0.00    0.00    0.00   83.94
05:48:16 AM  all   12.81    0.00    4.05    0.00    0.00    0.20    0.00    0.00    0.00   82.94
05:48:17 AM  all   13.26    0.00    4.05    0.10    0.00    0.20    0.00    0.00    0.00   82.39
05:48:18 AM  all   13.72    0.00    3.86    0.05    0.00    0.00    0.00    0.00    0.00   82.37
05:48:19 AM  all   13.72    0.00    4.01    0.00    0.00    0.05    0.00    0.00    0.00   82.22
05:48:20 AM  all   13.93    0.00    3.99    0.00    0.00    0.30    0.00    0.00    0.00   81.78
05:48:21 AM  all   13.61    0.00    3.87    0.05    0.00    0.20    0.00    0.00    0.00   82.27
05:48:22 AM  all   14.19    0.00    4.00    0.10    0.00    0.05    0.00    0.00    0.00   81.66
05:48:23 AM  all   13.93    0.00    3.72    0.00    0.00    0.05    0.00    0.00    0.00   82.30
05:48:24 AM  all   14.14    0.00    4.41    0.00    0.00    0.20    0.00    0.00    0.00   81.24
05:48:25 AM  all   13.25    0.00    4.40    0.00    0.00    0.20    0.00    0.00    0.00   82.15
05:48:26 AM  all   13.49    0.00    3.91    0.00    0.00    0.10    0.00    0.00    0.00   82.50
05:48:27 AM  all   13.20    0.00    4.32    0.20    0.00    0.05    0.00    0.00    0.00   82.23
05:48:28 AM  all   13.99    0.00    3.75    0.00    0.00    0.15    0.00    0.00    0.00   82.11
05:48:29 AM  all   13.62    0.00    3.92    0.00    0.00    0.10    0.00    0.00    0.00   82.36
05:48:30 AM  all   13.75    0.00    4.57    0.05    0.00    0.20    0.00    0.00    0.00   81.44
05:48:31 AM  all   13.86    0.00    4.15    0.00    0.00    0.20    0.00    0.00    0.00   81.78
05:48:32 AM  all   13.27    0.00    4.31    0.10    0.00    0.10    0.00    0.00    0.00   82.22
05:48:33 AM  all   14.78    0.00    4.12    0.10    0.00    0.10    0.00    0.00    0.00   80.89
05:48:34 AM  all   17.71    0.00    4.49    0.00    0.00    0.30    0.00    0.00    0.00   77.50
05:48:35 AM  all    5.50    0.00    1.35    0.00    0.00    0.15    0.00    0.00    0.00   93.00
05:48:36 AM  all    0.35    0.00    0.35    0.10    0.00    0.00    0.00    0.00    0.00   99.20
05:48:37 AM  all    0.35    0.00    0.30    0.05    0.00    0.05    0.00    0.00    0.00   99.25
05:48:38 AM  all    0.30    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.50
05:48:39 AM  all    0.20    0.00    0.20    0.10    0.00    0.05    0.00    0.00    0.00   99.45
05:48:40 AM  all   19.12    0.00    4.32    0.00    0.00    0.05    0.00    0.00    0.00   76.52
05:48:41 AM  all   83.17    7.91    8.61    0.05    0.00    0.20    0.00    0.00    0.00    0.05
05:48:42 AM  all   71.91   22.29    5.50    0.00    0.00    0.05    0.00    0.00    0.00    0.25
05:48:43 AM  all   72.84   22.61    4.50    0.00    0.00    0.00    0.00    0.00    0.00    0.05
05:48:44 AM  all   68.78   26.18    4.99    0.00    0.00    0.00    0.00    0.00    0.00    0.05
05:48:45 AM  all   42.47   47.25    5.39    0.00    0.00    0.00    0.00    0.00    0.00    4.88
05:48:46 AM  all    2.81   79.31    6.34    0.00    0.00    0.00    0.00    0.00    0.00   11.55
05:48:47 AM  all    4.79   77.89    5.41    0.00    0.00    0.21    0.00    0.00    0.00   11.71
05:48:48 AM  all    3.14   78.73    5.92    0.00    0.00    0.05    0.00    0.00    0.00   12.15
05:48:49 AM  all    2.83   79.60    6.06    0.00    0.00    0.00    0.00    0.00    0.00   11.51
